,ID,Ticker,Entry Type,Buy Date,Buy Price,Sell Date,Sell Price,Change %,P&L,P&L%,Quantity,No. of days held
0,1,,long,2015-10-15,208.20065504310074,2015-11-16,186.22320378246164,-10.56,-1138.3149489145112,-1.15,50,19
1,2,,long,2015-12-10,189.90006038490083,2016-01-22,199.1338972381541,4.86,422.7884469003585,0.43,50,30
2,3,,long,2016-02-04,187.5184542843264,2016-02-12,188.85551018792398,0.71,29.21539873265432,0.03,50,6
3,4,,long,2016-04-07,275.6788991872465,2016-05-17,274.75968072837503,-0.33,-101.00478093513492,-0.1,50,25
4,5,,long,2016-06-08,286.83472880566273,2016-07-04,274.67609247444636,-4.24,-664.0828986888295,-0.67,50,18
5,6,,long,2016-07-14,299.82899082948114,2016-09-27,318.37647523588214,6.19,865.5536737135135,0.87,50,50
6,7,,long,2016-10-10,350.24832775763406,2016-11-11,369.559401526082,5.51,893.5729154940261,0.89,50,21
7,8,,long,2016-12-06,353.75163450036683,2016-12-29,331.96257522635693,-6.16,-1158.0243846731673,-1.17,50,17
8,9,,long,2017-01-12,383.65814548258356,2017-04-24,386.22159157047156,0.67,51.18433068909431,0.05,50,67
9,10,,long,2017-05-24,420.82774935106625,2017-11-13,611.8328114821363,45.39,9446.987050470183,8.7,50,118
10,11,,long,2017-11-30,613.137368248696,2017-12-12,607.7452123287926,-0.88,-391.6960540529197,-0.36,50,8
11,12,,long,2017-12-27,627.7048226868097,2018-02-12,653.5950798695246,4.12,1166.3828688801111,1.07,50,32
12,13,,long,2018-04-27,532.1414010154592,2018-05-30,518.5400256417023,-2.56,-785.1369113535623,-0.72,50,22
13,14,,long,2018-07-18,498.0035499039415,2018-07-26,498.8862259658883,0.18,-55.5551744896446,-0.05,50,6
14,15,,long,2018-09-24,575.0269056912284,2018-10-08,526.8060054539133,-8.39,-2521.2283029802725,-2.38,50,9
15,16,,long,2019-02-18,435.6602271018166,2019-05-16,431.0611046097804,-1.06,-316.6282577729698,-0.3,50,56
16,17,,long,2019-07-04,476.6995851506994,2019-07-17,453.8180210624531,-4.8,-1237.1299650336305,-1.18,50,9
17,18,,long,2019-10-01,345.13051384641295,2019-10-16,337.312594449724,-2.27,-459.14028066406263,-0.44,50,9
18,19,,long,2019-10-29,348.5150452588854,2020-01-30,430.8410793194816,23.62,4038.366090571974,3.74,50,65
19,20,,long,2020-06-04,302.13221494293754,2020-09-21,387.3321312098961,28.2,4191.049378732644,3.73,50,77
20,21,,long,2020-10-27,399.7541702531523,2021-02-02,628.9256511637154,57.33,11355.70606338647,9.19,50,67
21,22,,long,2021-02-15,672.0603402009452,2021-06-08,1107.9068475929575,64.85,21614.328650821222,14.88,50,75
22,23,,long,2021-07-14,1231.949951171875,2021-09-13,1447.0,17.46,10484.607446289063,6.73,50,40
23,24,,long,2021-10-25,1302.0,2021-11-24,1200.4000244140625,-7.8,-5330.238781738281,-3.54,50,20
