,id,ticker,Entry Type,buy_date,buy_price,sell_date,sell_price,change_pct,pnl,pnl_pct,quantity,num_days,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
0,1,,long,2002-10-29,99.38692855834961,2002-11-19,105.09882354736328,5.75,2651.461742401123,2.58,500,15,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
1,2,,long,2003-02-17,106.92664337158203,2003-02-27,106.2758264026322,-0.61,-484.74985882421447,-0.46,450,8,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
2,3,,long,2003-04-03,103.40259388943979,2003-05-30,103.1602523492297,-0.23,-294.9602547093437,-0.28,450,40,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
3,4,,long,2003-06-30,119.22627182006836,2003-07-01,116.70870044486936,-2.11,-1345.2485938779928,-1.3,450,1,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
4,5,,long,2003-07-28,127.88067464717403,2003-08-12,145.02516261549366,13.41,6639.470517517715,6.05,400,11,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
5,6,,long,2003-09-29,141.209814453125,2003-10-21,147.48438421582037,4.44,1994.0134778751158,1.68,350,16,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
6,7,,long,2003-11-03,152.33966064453125,2003-11-18,162.66147493805798,6.78,3876.7248089446193,3.12,400,11,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
7,8,,long,2003-12-26,168.5706527709961,2004-01-01,179.17353735209895,6.29,3467.5886702998278,2.63,350,4,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
8,9,,long,2004-01-27,177.61366119384766,2004-02-19,190.1347587528683,7.05,3535.68021573816,2.55,300,17,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
9,10,,long,2004-03-03,190.79170684814454,2004-04-12,185.49731553837836,-2.77,-1814.0908063617687,-1.29,300,28,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
