,id,ticker,Entry Type,buy_date,buy_price,sell_date,sell_price,change_pct,pnl,pnl_pct,quantity,num_days,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
0,1831,,long,2011-02-28,151.07500305175782,2011-03-11,157.19237597611837,4.05,1650.25144989144,1.62,300,8,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
1,1832,,long,2011-04-28,178.874072265625,2011-05-05,174.0872261051355,-2.68,-1647.830627169303,-1.62,300,5,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
2,1833,,long,2011-05-31,188.3985153198242,2011-06-08,189.62104531228113,0.65,116.62271779817553,0.11,250,6,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
3,1834,,long,2011-07-27,184.16542205810546,2011-08-08,178.85058017371614,-2.89,-1510.218472213242,-1.5,250,8,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
4,1835,,long,2011-11-30,153.7617416381836,2012-01-16,161.3464183139498,4.93,1738.6150889654878,1.7,250,32,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
5,1836,,long,2012-03-14,163.81270294189454,2012-03-20,160.63373125113742,-1.94,-1148.3593677429562,-1.13,300,4,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
6,1837,,long,2012-04-20,175.87364501953124,2012-04-25,172.41801891408764,-1.96,-1245.6628299932513,-1.24,300,3,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
7,1838,,long,2012-06-11,161.02492065429686,2012-06-26,162.7587687597991,1.08,325.88421800221226,0.32,300,11,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
8,1839,,long,2012-09-12,182.4612579345703,2012-09-18,181.36384263736892,-0.6,-456.2663745863181,-0.46,250,4,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
9,1840,,long,2013-04-26,161.27011108398438,2013-05-07,157.55686537983914,-2.3,-1087.724914268221,-1.1,250,6,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
10,1841,,long,2013-05-28,163.59177859826931,2013-06-07,159.60172318829927,-2.44,-1622.754844740112,-1.67,350,8,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
11,1842,,long,2013-09-05,137.32232589721679,2013-09-23,150.9190260251102,9.9,3906.065227214632,3.86,300,11,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
12,1843,,long,2013-12-06,146.54082641601562,2013-12-17,145.75331005756695,-0.54,-480.2366209885423,-0.48,350,7,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
13,1844,,long,2014-01-15,153.3929656982422,2014-01-23,145.90852426842324,-4.88,-2829.065543413301,-2.89,350,6,COALINDIA,100000,90785.55931033843,-9.21444068966157,41.86046511627907,-9214.440689661573,-214.28931836422262,2411.877884259661,-2105.1297042534193,8477.50232181581,-14824.847305674923
