,id,ticker,Entry Type,buy_date,buy_price,sell_date,sell_price,change_pct,pnl,pnl_pct,quantity,num_days,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
0,1959,,long,2007-08-30,546.9564587220424,2007-09-12,542.7016973122371,-0.78,-643.4077721873828,-0.65,100,9,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
1,1960,,long,2007-10-24,775.1849835035216,2007-12-13,894.6890577677043,15.42,5808.216309082012,5.52,50,35,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
2,1961,,long,2007-12-28,916.947216796875,2008-01-08,1003.7974816141791,9.47,4150.438771024103,3.63,50,7,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
3,1962,,long,2008-01-23,832.9816467285157,2008-05-02,632.8289245381894,-24.03,-10154.217166642982,-9.36,50,66,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
4,1963,,long,2008-07-02,347.7198425292969,2008-08-05,445.1624466115122,28.02,9585.683950393372,8.12,100,24,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
5,1964,,long,2008-09-02,446.2796142578125,2008-12-23,271.9694654233115,-39.06,-17574.66469938633,-16.09,100,73,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
6,1965,,long,2009-01-28,155.56656341552736,2009-04-02,162.0411633663635,4.16,1751.8153491817066,1.58,300,43,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
7,1966,,long,2009-05-05,225.8224334716797,2009-05-27,303.55303781958503,34.42,19167.963351330705,14.73,250,16,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
8,1967,,long,2009-06-29,302.39935913085935,2009-07-29,368.4748355885779,21.85,12946.745613655934,8.34,200,22,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
9,1968,,long,2009-08-13,350.2660430908203,2009-10-27,378.13411415381984,7.96,5282.254149702054,3.05,200,46,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
10,1969,,long,2009-11-05,330.1886932373047,2010-01-18,338.9104469569468,2.64,1476.7110878507297,0.82,200,49,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
11,1970,,long,2010-02-26,276.0379302978516,2010-04-13,293.86925480307247,6.46,4172.87753375476,2.25,250,29,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
12,1971,,long,2010-06-04,248.30809783935547,2010-07-05,248.12300961912365,-0.07,-353.38513054463317,-0.19,300,21,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
13,1972,,long,2010-07-13,274.0988311767578,2010-07-21,283.38027661105394,3.39,2449.9461656161525,1.28,300,6,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
14,1973,,long,2010-08-20,292.2297637939453,2010-09-21,324.459610535481,11.03,9298.94039786304,4.56,300,21,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
15,1974,,long,2010-12-01,279.2834808349609,2011-04-04,242.0149393311246,-13.34,-9577.784586042124,-4.71,250,85,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
16,1975,,long,2011-05-30,204.83067169189454,2011-06-13,204.42726854928316,-0.2,-488.7676092374947,-0.24,400,10,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
17,1976,,long,2011-07-04,203.90422515869142,2011-07-15,209.21438981376815,2.6,1793.5709700527254,0.88,400,9,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
18,1977,,long,2011-08-30,173.20459747314453,2011-09-26,176.59343912205117,1.96,1075.6982302864972,0.52,400,17,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
19,1978,,long,2011-10-07,197.20339965820312,2011-10-18,205.74252293444803,4.33,3479.9541439768227,1.64,450,7,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
20,1979,,long,2011-12-01,192.43319702148438,2012-02-02,196.71166127390225,2.22,1400.0698143308414,0.64,400,43,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
21,1980,,long,2012-03-13,188.89237060546876,2012-06-15,172.88273380323542,-8.48,-7529.934154972832,-3.57,450,65,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
22,1981,,long,2012-07-03,187.6629440307617,2012-07-04,191.3468073111058,1.96,1462.9218888301818,0.69,500,1,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
23,1982,,long,2012-08-07,190.8103042602539,2012-08-14,194.92337253093538,2.16,1670.800458549551,0.77,500,5,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
24,1983,,long,2012-09-14,189.48129425048828,2012-09-26,211.78834544510838,11.77,10752.255957614454,4.71,500,7,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
25,1984,,long,2012-12-05,197.67212829589843,2012-12-14,194.59437415585583,-1.56,-1738.0292152257489,-0.73,450,7,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
26,1985,,long,2013-01-30,246.7675003051758,2013-01-31,245.49941256961412,-0.51,-901.0486245244978,-0.38,400,1,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
27,1986,,long,2013-02-20,246.91641387939453,2013-10-22,150.70564349332304,-38.96,-38802.40580032677,-19.66,400,164,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
28,1987,,long,2013-11-06,149.801416015625,2013-12-17,140.2019300962749,-6.41,-7125.644828101721,-3.75,700,28,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
29,1988,,long,2013-12-27,159.29588165283204,2013-12-31,152.76070142741537,-4.1,-4653.540704525155,-2.51,650,2,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
30,1989,,long,2014-02-17,134.73085708618163,2014-03-14,151.6190038605304,12.53,10605.040584095974,5.41,650,18,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
31,1990,,long,2014-05-13,139.70415420532225,2014-05-26,200.84952369945344,43.77,36278.55728299298,15.04,600,9,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
32,1991,,long,2014-07-10,204.95964508056642,2014-11-24,129.49823683276773,-36.82,-45678.194406975206,-19.7,600,87,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
33,1992,,long,2015-01-15,133.61798324584962,2015-01-29,148.73610324364034,11.31,13825.741233571162,5.63,950,9,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
34,1993,,long,2015-03-13,147.06605224609376,2015-03-26,149.05903276679777,1.36,1190.620798076492,0.46,850,9,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
35,1994,,long,2015-04-30,125.80287399291993,2015-07-06,105.1855840512436,-16.39,-17917.37682909996,-7.36,850,46,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
36,1995,,long,2015-07-30,96.8261001586914,2015-08-13,108.92244101870352,12.49,14021.812533188795,5.45,1200,10,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
37,1996,,long,2015-08-25,99.5671287536621,2015-09-21,116.50425178913004,17.01,24757.470411573522,8.46,1500,18,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
38,1997,,long,2015-11-26,105.33615341186524,2015-12-31,106.85800569287775,1.44,1316.9567553636332,0.41,1200,24,DLF,100000,229851.56167450608,129.8515616745061,63.76811594202898,129851.56167450603,1881.9066909348699,10971.840442671295,-14116.376712121237,42931.55723632811,-78635.12409417384
