stock,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
ADANIENT,ADANIENT,500000,3710744.4301188723,642.1488860237744,61.44578313253012,3210744.4301188732,38683.66783275751,132930.18839630752,-111521.72431540034,1222597.8470449233,-1160024.3379072933
VEDL,VEDL,500000,1656217.0634486557,231.24341268973114,63.06306306306306,1156217.0634486557,10416.36994097888,49784.4350786915,-56797.399806335365,244221.91758937656,-451557.8413802165
UPL,UPL,500000,1376193.3647319535,175.2386729463907,53.93258426966292,876193.3647319537,9844.869266651165,37695.12511683533,-22760.308314052243,279340.5667406463,-219296.36711187262
PNB,PNB,500000,1366921.3565219545,173.38427130439092,56.79012345679012,866921.3565219544,10702.732796567338,35690.685904142985,-22138.577001960643,284896.2,-98999.66999999997
MCDOWELL-N,MCDOWELL-N,500000,1171937.5652018501,134.38751304037,60.0,671937.56520185,8399.219565023126,25924.832477343327,-17889.199803457173,112951.43318176255,-119811.84713201919
JSWSTEEL,JSWSTEEL,500000,1165599.2485481065,133.1198497096213,56.9620253164557,665599.2485481064,8425.306943646916,28488.50712250962,-18128.928587200786,77244.30887685152,-146565.8812909631
TITAN,TITAN,500000,1002775.5816838361,100.55511633676721,56.25,502775.58168383595,4489.067693605678,42590.241057377185,-44498.15520267196,208633.07607989857,-283683.2768216014
BANKBARODA,BANKBARODA,500000,880170.0379172832,76.03400758345666,60.71428571428571,380170.03791728325,4525.8337847295625,24373.888619671463,-26148.432778362465,113116.31299591064,-129214.71395004276
SBIN,SBIN,500000,866019.0102025993,73.20380204051988,63.06306306306306,366019.0102025996,3297.4685603837797,18369.979137096696,-22436.086082784626,104871.24365957867,-132687.08122522375
HDFCBANK,HDFCBANK,500000,805589.9187908485,61.11798375816969,56.99999999999999,305589.9187908483,3055.899187908483,15006.943013321139,-12786.182162057132,62795.47338788251,-115717.6458211183
ICICIBANK,ICICIBANK,500000,735754.0229767588,47.15080459535175,53.65853658536586,235754.02297675886,2875.0490606921812,15026.897595802518,-11195.512401014523,78746.4729800167,-51825.2908963611
TCS,TCS,500000,702902.5676729536,40.580513534590715,55.072463768115945,202902.56767295374,2940.616922796431,19138.470356109272,-16914.81631803866,294494.77465658035,-186314.19740617243
KOTAKBANK,KOTAKBANK,500000,701470.7413373985,40.294148267479706,55.294117647058826,201470.74133739853,2370.2440157341002,19785.72238382566,-19169.952913221245,80701.46384588665,-116462.46681109557
JUBLFOOD,JUBLFOOD,500000,677240.0562657717,35.44801125315435,51.85185185185185,177240.05626577177,3282.2232641809587,15620.220080443309,-10004.850230255419,45093.14567568948,-31158.431167743478
HINDUNILVR,HINDUNILVR,500000,676580.6197452762,35.31612394905523,54.54545454545454,176580.61974527617,1783.6426236896582,14769.480578033052,-13799.362921522415,62917.33661527747,-69276.38043025277
GAIL,GAIL,500000,669901.3190030409,33.98026380060818,49.504950495049506,169901.31900304108,1682.1912772578326,25658.970558269117,-21824.4550766748,103375.39425668734,-129657.93650820515
INDIGO,INDIGO,500000,669659.0751982138,33.93181503964276,63.33333333333333,169659.07519821377,5655.302506607126,13630.802550414659,-8120.561205424069,52410.339309082025,-19638.743233980225
SUNPHARMA,SUNPHARMA,500000,659753.3977899745,31.950679557994892,54.90196078431373,159753.39778997455,1566.2097822546525,19569.24079224794,-20350.523621215438,74619.96986092694,-177502.10668474052
PIIND,PIIND,500000,653766.3757103386,30.753275142067714,57.14285714285714,153766.37571033865,3661.1041835794917,12857.278880839602,-8600.46207943399,77665.92099604408,-55277.48633870674
NMDC,NMDC,500000,653435.642636809,30.687128527361807,58.92857142857143,153435.64263680906,2739.922189943019,17217.734730540265,-18032.59145526173,124675.82830509354,-112463.67774902341
