stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
ADANIENT,500000,949832226.4,189866.4453,47.45762712,949332226.4,16090376.72,41649754.11,-6995512.543,923633303.8,-58221303.27
BAJFINANCE,500000,63679613.31,12635.92266,61.2244898,63179613.31,1289379.863,2263788.72,-249160.4361,12611583.42,-1713493.05
AUROPHARMA,500000,51339518.19,10167.90364,40.54054054,50839518.19,687020.5161,3304583.492,-1097681.513,34001048.9,-9667230.495
WIPRO,500000,40709781.16,8041.956231,37.68115942,40209781.16,582750.4515,2752293.553,-729066.3077,26244285.98,-2619000.351
INFY,500000,24320788.51,4764.157702,50.72463768,23820788.51,345228.819,1097910.078,-429590.1239,5303110.897,-1979767.945
HAVELLS,500000,20449580.8,3989.91616,44.23076923,19949580.8,383645.7846,1215521.244,-276117.5105,7956562.874,-1343206.548
TATASTEEL,500000,19796106.66,3859.221332,43.24324324,19296106.66,260758.1981,814949.9996,-161483.1745,7933844.584,-774506.1339
TATAMOTORS,500000,15413435.67,2982.687134,44.30379747,14913435.67,188777.6667,614490.7916,-149857.7735,5481230.854,-845518.5855
BAJAJFINSV,500000,11642531.54,2228.506309,57.44680851,11142531.54,237075.1392,493137.9163,-108609.6099,1678554.378,-336544.5634
AXISBANK,500000,11343785.82,2168.757164,50.70422535,10843785.82,152729.3777,471642.8069,-175295.8637,2620585.31,-584110.7273
SIEMENS,500000,11158329.51,2131.665902,57.37704918,10658329.51,174726.7133,539236.7403,-315959.8615,3819411.114,-1045492.301
PEL,500000,10280237.34,1956.047469,38.15789474,9780237.345,128687.3335,564993.7773,-140523.0255,3242493.755,-484792.9856
KOTAKBANK,500000,10190924.97,1938.184993,50,9690924.966,167084.9132,528174.2123,-194004.3859,3275549.719,-618305.9359
MCDOWELL-N,500000,9842755.376,1868.551075,41.81818182,9342755.376,169868.2796,707080.5301,-216253.0256,3693846.317,-1047458.77
SHREECEM,500000,9740826.797,1848.165359,53.7037037,9240826.797,171126.4222,485917.2178,-194030.9008,2328666.553,-707718.6132
TITAN,500000,9489343.764,1797.868753,42.5,8989343.764,112366.7971,560241.9515,-218671.3606,3016023.491,-1187636.499
CHOLAFIN,500000,8861752.475,1672.350495,43.85964912,8361752.475,146697.4118,551282.5159,-169384.7007,2344091.764,-881682.9227
BERGEPAINT,500000,8001809.436,1500.361887,40,7501809.436,166706.8764,829257.7713,-274993.7203,2788029.437,-789653.4159
PIDILITIND,500000,7692804.453,1438.560891,63.82978723,7192804.453,153038.3926,284198.5819,-78420.76504,983236.6826,-227762.9015
GRASIM,500000,6605117.503,1221.023501,48.8372093,6105117.503,141979.4768,388161.779,-93012.72075,3770233.226,-311430.0077
JSWSTEEL,500000,6137880.403,1127.576081,41.66666667,5637880.403,93964.67339,331227.9482,-75509.09431,5092558.357,-365391.36
BRITANNIA,500000,5734263.377,1046.852675,51.66666667,5234263.377,87237.72295,237313.1842,-73187.77014,900980.1483,-307889.5264
ADANITRANS,500000,5008638.867,901.7277734,64.70588235,4508638.867,265214.051,432848.7866,-42116.29767,2270769.157,-105068.5744
LT,500000,4947355.906,889.4711813,50,4447355.906,92653.24805,262084.9506,-76778.45451,1226308.289,-195600.3354
DIVISLAB,500000,4526909.172,805.3818344,48.14814815,4026909.172,74572.39208,266104.456,-103278.8101,1018076.325,-483034.0055
ULTRACEMCO,500000,4507799.746,801.5599491,51.06382979,4007799.746,85272.33501,285640.6695,-123807.6662,1595647.065,-357622.1435
BAJAJHLDNG,500000,4048898.396,709.7796792,50,3548898.396,84497.58085,226832.5682,-57837.40647,738462.1309,-205725.6356
TECHM,500000,3657688.49,631.5376981,51.42857143,3157688.49,90219.67116,228485.7744,-56179.73228,934417.4619,-158694.0963
HDFCBANK,500000,3405449.237,581.0898474,53.73134328,2905449.237,43364.91398,109282.6208,-33184.68099,610509.9777,-147243.0875
ADANIGREEN,500000,3238217.843,547.6435685,55.55555556,2738217.843,304246.427,573227.2929,-31979.65552,2077336.817,-103456.8836
RELIANCE,500000,3169620.212,533.9240424,45.20547945,2669620.212,36570.13989,170779.0469,-74152.20842,1386367.889,-340333.4137
ASIANPAINT,500000,3073403.124,514.6806248,55.55555556,2573403.124,57186.73609,147181.1143,-55306.23671,719537.6807,-133244.6552
BAJAJ-AUTO,500000,3022776.116,504.5552231,41.30434783,2522776.116,54842.95904,290358.8693,-110890.4593,1819758.967,-322084.0453
MARUTI,500000,3019886.128,503.9772257,55.10204082,2519886.128,51426.24752,169003.4826,-92873.08646,929481.3404,-377112.6667
INDUSINDBK,500000,2894631.667,478.9263335,45.16129032,2394631.667,38623.09141,274999.7902,-156040.0723,1946930.022,-904611.7687
GODREJCP,500000,2855430.176,471.0860351,50,2355430.176,42061.25314,147742.2144,-63619.70816,725489.8333,-186368.3448
ONGC,500000,2594838.75,418.9677501,40.50632911,2094838.75,26516.94621,177848.733,-76517.46182,612414.8239,-264123.9731
YESBANK,500000,2524987.228,404.9974456,45.09803922,2024987.228,39705.63192,244664.7717,-128653.6615,1355456.455,-932117.9892
BPCL,500000,2301760.22,360.3520439,43.20987654,1801760.22,22243.95333,153157.6439,-77364.28948,968921.8504,-319671.8536
ICICIBANK,500000,2194336.335,338.867267,32.75862069,1694336.335,29212.69543,230731.4496,-68963.1079,794461.4484,-219261.7083
TCS,500000,1922484.273,284.4968545,38.7755102,1422484.273,29030.29128,175682.8466,-63849.66043,1028494.51,-180590.1358
BANKBARODA,500000,1905784.284,281.1568568,49.12280702,1405784.284,24662.88218,142412.9335,-89026.8225,1147553.946,-455293.3086
BOSCHLTD,500000,1821713.712,264.3427425,42.55319149,1321713.712,28121.56835,136576.4204,-52215.35912,529789.4325,-129018.7451
UPL,500000,1815549.333,263.1098665,46.77419355,1315549.333,21218.53762,104232.0355,-51732.71809,427194.6261,-292123.2574
BHARTIARTL,500000,1766167.917,253.2335834,37.73584906,1266167.917,23889.9607,201019.3745,-83461.19918,688579.0167,-263905.5927
LUPIN,500000,1666554.13,233.3108259,43.63636364,1166554.13,21210.07508,168788.8393,-93044.45202,617112.8978,-297418.0266
CADILAHC,500000,1550232.217,210.0464435,40,1050232.217,21004.64435,152491.5699,-66653.30602,694767.9058,-175609.3537
