stock,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
GAIL,GAIL,500000,2015630.2577675243: 1007 Lakh,303.12605155350485,47.72727272727273,1515630.257767524,17223.07111099459,70115.72176262464,-31070.218614406767,1281890.430567589,-222799.24421579135
MCDOWELL-N,MCDOWELL-N,500000,1491722.0621060096: 7458 Lakh,198.34441242120192,64.28571428571429,991722.0621060099,14167.458030085856,36633.37765519833,-26271.19729511661,213824.9227324669,-133124.27459113245
UPL,UPL,500000,1423818.2545154798: 7119 Lakh,184.76365090309596,58.108108108108105,923818.2545154799,12484.030466425404,42372.13790781147,-28973.666952271393,386622.31396651134,-217555.9197538418
BERGEPAINT,BERGEPAINT,500000,1309907.6214801315: 6549 Lakh,161.9815242960263,51.470588235294116,809907.6214801313,11910.406198237224,60158.80164601993,-39262.13442819899,406096.66682757635,-209199.1640946865
TITAN,TITAN,500000,1262347.6914876925: 6311 Lakh,152.46953829753852,54.0,762347.6914876924,7623.476914876924,49749.66885586898,-41829.00927672245,245620.2722190648,-282524.69420695957
AXISBANK,AXISBANK,500000,982443.5529350283: 9.82 Lakh,96.48871058700567,57.647058823529406,482443.5529350285,5675.806505117983,38039.14240818185,-38374.289585163395,135294.2792186447,-150459.6475893385
TATAMOTORS,TATAMOTORS,500000,954164.2116876465: 9.54 Lakh,90.8328423375293,55.91397849462365,454164.21168764646,4883.4861471789945,28218.31341390426,-24711.904532570126,128804.94414550783,-139958.025
PNB,PNB,500000,921634.5986134908: 9.21 Lakh,84.32691972269816,52.85714285714286,421634.5986134908,6023.351408764154,34777.730444950765,-26216.406904535987,260389.0,-76195.34106605532
BANKBARODA,BANKBARODA,500000,916052.3881805245: 9.16 Lakh,83.2104776361049,64.0,416052.38818052446,5547.365175740326,29671.08522051841,-37339.24823719849,131747.23513641357,-153162.38137573245
SBIN,SBIN,500000,864637.3719699961: 8.64 Lakh,72.92747439399922,59.59595959595959,364637.3719699962,3683.205777474709,23182.097591577996,-25077.65964832765,129329.95298472395,-202593.14585244685
HAVELLS,HAVELLS,500000,854613.3290030586: 8.54 Lakh,70.92266580061171,55.072463768115945,354613.3290030586,5139.32360873998,25927.531763531686,-20342.99606487566,89296.38674682457,-148398.74916912458
ADANIGREEN,ADANIGREEN,500000,822265.9303881454: 8.22 Lakh,64.45318607762907,69.23076923076923,322265.93038814544,24789.686952934266,43890.4808842426,-18187.09939250946,115790.12672729489,-48556.78233642578
JSWSTEEL,JSWSTEEL,500000,810926.2734973147: 8.10 Lakh,62.18525469946293,53.73134328358209,310926.2734973146,4640.69064921365,30707.97707730312,-25630.99681566445,74289.22182096206,-260569.50431988525
TATACONSUM,TATACONSUM,500000,798410.6794011048: 7.98 Lakh,59.68213588022097,55.55555555555556,298410.67940110463,3315.6742155678294,21153.01161982385,-18980.997539752196,146669.39409330004,-102522.16213390682
TCS,TCS,500000,779124.0644500954: 7.79 Lakh,55.82481289001908,53.2258064516129,279124.06445009535,4502.001039517667,25241.588442123117,-19098.21910827474,301681.34629069816,-180625.87411621903
JUBLFOOD,JUBLFOOD,500000,775706.2140609344: 7.75 Lakh,55.141242812186874,57.446808510638306,275706.2140609344,5866.0896608709445,19267.647341750915,-12226.013208317017,95862.81541481937,-34713.58245696541
KOTAKBANK,KOTAKBANK,500000,765581.6887494372: 7.65 Lakh,53.11633774988744,56.16438356164384,265581.6887494373,3638.1053253347573,20877.920777229137,-18450.40822240492,112047.4115425922,-108270.24322073982
PIIND,PIIND,500000,753687.998960061: 7.53 Lakh,50.7375997920122,58.333333333333336,253687.9989600611,7046.888860001697,17038.55708930025,-6941.446661016284,87803.11226674085,-20038.968293568712
HDFCBANK,HDFCBANK,500000,739746.8688767799: 7.39 Lakh,47.94937377535599,54.44444444444444,239746.86887677974,2663.8540986308863,19712.16362941021,-17710.9548527883,76848.56339632215,-91983.17157076247
MUTHOOTFIN,MUTHOOTFIN,500000,711540.0191073732: 7.11 Lakh,42.308003821474635,54.761904761904766,211540.01910737314,5036.667121604122,15481.883644235522,-7607.542353160202,82903.99159639099,-27928.431226146546
HINDUNILVR,HINDUNILVR,500000,709400.2993959261: 7.09 Lakh,41.88005987918521,52.32558139534884,209400.29939592618,2434.8872022782116,16888.124165001525,-13428.421659247382,94269.74159062319,-61821.21530966843
GODREJCP,GODREJCP,500000,701451.6985364556: 7.01 Lakh,40.29033970729113,47.94520547945205,201451.69853645557,2759.6123087185697,20960.511204232927,-14004.373516097292,89569.19654541013,-55820.864639319945
ICICIBANK,ICICIBANK,500000,686838.7911039067: 6.86 Lakh,37.36775822078134,56.16438356164384,186838.7911039067,2559.4354945740643,14050.301983000438,-12163.237193722225,82986.66767894072,-73175.64247462328
INDIGO,INDIGO,500000,670000.4501199623: 6.70 Lakh,34.00009002399247,70.83333333333334,170000.45011996233,7083.352088331764,14984.851876372413,-12106.004539766958,42629.007927246144,-34693.50384475946
BHARTIARTL,BHARTIARTL,500000,647449.8156736447: 6.47 Lakh,29.48996313472893,55.223880597014926,147449.8156736447,2200.7435175170854,15813.449075535937,-14588.260004039495,54495.65834303475,-77073.47459862455
ICICIPRULI,ICICIPRULI,500000,632735.113545542: 6.32 Lakh,26.547022709108397,73.68421052631578,132735.11354554197,6986.058607660104,11415.517109711082,-5416.425198082631,36404.708981768155,-13909.725
RELIANCE,RELIANCE,500000,611227.3584393624: 6.11 Lakh,22.245471687872474,51.08695652173913,111227.35843936236,1208.9930265148082,19754.556208278413,-18160.817407771618,86531.96741476507,-160071.86028718392
SHREECEM,SHREECEM,500000,600773.0210588916: 6.00 Lakh,20.15460421177831,51.06382978723404,100773.02105889157,2144.106831040246,25251.892051208608,-21968.364703048483,94367.65092606025,-186296.91938163064
ITC,ITC,500000,588075.1907918901: 5.88 Lakh,17.61503815837803,43.87755102040816,88075.19079189014,898.7264366519403,17061.00239983517,-11737.234770927676,104407.5036445885,-77131.4753061043
COALINDIA,COALINDIA,500000,583960.2928764838: 5.83 Lakh,16.79205857529675,52.77777777777778,83960.29287648373,2332.2303576801037,8534.437708032721,-4599.648445655177,44197.99126892085,-10824.548760130527
MARUTI,MARUTI,500000,557547.7069462547: 5.57 Lakh,11.509541389250941,53.57142857142857,57547.70694625465,1027.6376240402617,8346.143744277628,-7416.792514695161,37020.883474409595,-47454.20013523326
GRASIM,GRASIM,500000,554943.9315493334: 5.54 Lakh,10.988786309866677,48.333333333333336,54943.93154933344,915.7321924888907,11518.105131380247,-9002.616685828829,35574.98089017372,-84449.41355239513
DMART,DMART,500000,551320.3467260742: 5.51 Lakh,10.264069345214846,53.333333333333336,51320.346726074255,3421.3564484049502,11412.440011291506,-5711.31048060826,33678.09138183594,-19674.12250000002
DIVISLAB,DIVISLAB,500000,549695.6370192625: 5.49 Lakh,9.939127403852506,50.81967213114754,49695.6370192626,814.6825740862721,11901.424798327893,-10641.61772429674,62415.194257411735,-55483.86626925972
INDUSINDBK,INDUSINDBK,500000,543290.5419656562: 5.43 Lakh,8.658108393131243,51.06382978723404,43290.541965656215,921.0753609714088,17052.717198789822,-15911.942208926064,60868.11389208646,-109127.43516087715
SBILIFE,SBILIFE,500000,543225.5317854767: 5.43 Lakh,8.645106357095344,38.46153846153847,43225.53178547677,3325.0409065751364,13291.182390370155,-2903.797520796752,34877.59549420003,-6415.2954930970955
NAUKRI,NAUKRI,500000,542721.759496905: 5.42 Lakh,8.544351899381006,49.122807017543856,42721.759496905055,749.5045525772816,16363.738900910192,-14326.307921675185,69150.53234499406,-172716.41536075255
ADANIPORTS,ADANIPORTS,500000,537828.5624084943: 5.37 Lakh,7.565712481698859,44.89795918367347,37828.56240849427,772.0114777243729,18313.435974471035,-13521.001075180315,60872.46891299997,-61930.54681005112
ICICIGI,ICICIGI,500000,527008.5551725909: 5.27 Lakh,5.401711034518178,64.28571428571429,27008.555172590848,1929.1825123279177,5486.415509175362,-4473.836881997483,13577.557818788584,-7650.766762317822
DABUR,DABUR,500000,525476.7276045345: 5.25 Lakh,5.095345520906895,40.98360655737705,25476.727604534455,417.6512722054829,14918.976503891032,-9652.713472020592,52105.4886451196,-38126.34637410079
HDFCLIFE,HDFCLIFE,500000,521058.8774510162: 5.21 Lakh,4.211775490203244,50.0,21058.87745101623,2105.887745101623,9269.707284354949,-5057.931794151702,16548.81044570422,-10458.086216528201
SBICARD,SBICARD,500000,516383.2001926567: 5.16 Lakh,3.2766400385313434,42.857142857142854,16383.20019265669,2340.4571703795273,14261.2835277768,-6600.16259766843,37648.16426185177,-11823.820985091554
BIOCON,BIOCON,500000,509967.5061395017: 5.09 Lakh,1.9935012279003392,40.0,9967.506139501744,153.34624830002682,13485.383244938315,-8734.678416125496,69622.52109191896,-35163.33689300646
LTI,LTI,500000,507802.32473532355: 5.07 Lakh,1.5604649470647098,47.05882352941176,7802.324735323535,458.9602785484432,12645.286874188005,-10373.330028686723,41237.31507807371,-35563.26551676101
ADANITRANS,ADANITRANS,500000,504117.7023979568: 5.04 Lakh,0.8235404795913608,70.83333333333334,4117.702397956775,171.57093324819894,17010.29167429194,-40722.46515214375,58518.23718261719,-120074.92078186033
HDFCAMC,HDFCAMC,500000,493357.44848980295: 4.93 Lakh,-1.3285103020394105,41.66666666666667,-6642.551510197065,-553.5459591830887,3590.2574438566094,-3513.405532782873,10108.52687321152,-8778.551809082026
GLAND,GLAND,500000,489733.3536083984: 4.89 Lakh,-2.0533292783203185,25.0,-10266.646391601576,-2566.661597900394,5263.956872558594,-5176.867754720057,5263.956872558594,-8576.513818359375
LT,LT,500000,485057.2926961489: 4.85 Lakh,-2.988541460770217,59.67741935483871,-14942.70730385111,-241.0114081266308,8349.279701886111,-12954.642250945486,40109.097577228524,-54272.1836824557
PGHH,PGHH,500000,478782.8460036123: 4.78 Lakh,-4.243430799277535,44.44444444444444,-21217.15399638772,-589.3653887885478,10859.588414855876,-9748.528431704084,30129.42714514524,-31322.867876187476
BAJAJ-AUTO,BAJAJ-AUTO,500000,471572.72545232665: 4.71 Lakh,-5.685454909534671,39.285714285714285,-28427.27454767335,-507.62990263702414,13790.042353881263,-9759.064892148856,61628.54910612706,-95221.65263708349
INDUSTOWER,INDUSTOWER,500000,466582.7814992833: 4.66 Lakh,-6.683443700143346,41.17647058823529,-33417.21850071667,-982.8593676681373,14611.7820778361,-11899.108379521103,46425.035975121325,-47438.421601327536
