stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
ADANIENT,"100,000.00","31,502,755.01","31,402.76",64.13,"31,402,755.01","341,334.29","853,862.19","-575,003.46","4,190,150.21","-2,548,186.90"
VEDL,"100,000.00","4,865,960.76","4,765.96",62.02,"4,765,960.76","36,945.43","114,825.71","-90,206.04","611,816.70","-638,953.84"
AUROPHARMA,"100,000.00","3,681,323.77","3,581.32",64.96,"3,581,323.77","30,609.60","84,561.02","-69,397.90","911,883.25","-440,749.34"
MCDOWELL-N,"100,000.00","977,374.71",877.37,62.75,"877,374.71","8,601.71","23,639.51","-16,725.10","115,909.92","-104,227.08"
JINDALSTEL,"100,000.00","971,029.02",871.03,66.04,"871,029.02","8,217.25","88,674.10","-148,226.61","615,518.66","-816,695.10"
BPCL,"100,000.00","847,298.29",747.30,59.54,"747,298.29","5,704.57","20,227.20","-15,668.37","119,394.13","-91,960.04"
TATASTEEL,"100,000.00","830,274.08",730.27,65.25,"730,274.08","6,188.76","24,503.36","-28,206.93","141,213.35","-266,371.86"
HINDALCO,"100,000.00","763,901.98",663.90,57.94,"663,901.98","5,269.06","22,667.68","-18,695.07","156,914.69","-141,947.05"
GRASIM,"100,000.00","692,934.08",592.93,59.14,"592,934.08","6,375.64","18,454.94","-11,107.58","287,888.46","-107,128.24"
SUNPHARMA,"100,000.00","642,093.91",542.09,55.56,"542,093.91","4,302.33","22,089.98","-17,932.23","101,283.13","-137,516.47"
M&M,"100,000.00","608,528.48",508.53,64.52,"508,528.48","4,101.04","15,740.63","-17,061.86","96,443.95","-158,032.04"
JSWSTEEL,"100,000.00","590,543.14",490.54,66.67,"490,543.14","6,056.09","21,838.02","-25,507.77","97,795.91","-135,883.11"
BERGEPAINT,"100,000.00","553,072.79",453.07,61.61,"453,072.79","4,045.29","13,456.49","-11,056.39","55,739.68","-40,774.13"
HAVELLS,"100,000.00","544,972.61",444.97,59.79,"444,972.61","4,587.35","14,721.61","-10,484.12","73,559.79","-112,130.64"
INFY,"100,000.00","523,139.86",423.14,57.60,"423,139.86","3,385.12","14,600.60","-11,851.01","66,677.63","-71,449.18"
AXISBANK,"100,000.00","507,470.33",407.47,65.52,"407,470.33","3,512.68","13,640.99","-15,731.12","55,560.99","-80,747.40"
RELIANCE,"100,000.00","507,119.09",407.12,58.06,"407,119.09","3,283.22","13,400.69","-10,725.59","84,477.76","-82,572.13"
SBIN,"100,000.00","496,746.78",396.75,64.35,"396,746.78","3,449.97","18,196.44","-23,165.60","242,120.66","-242,427.07"
HDFCBANK,"100,000.00","496,321.30",396.32,60.66,"396,321.30","3,248.54","10,244.02","-7,536.17","48,699.06","-69,596.80"
ADANITRANS,"100,000.00","375,269.47",275.27,81.82,"275,269.47","8,341.50","13,900.30","-16,673.13","60,860.66","-58,508.89"
TATACONSUM,"100,000.00","364,116.01",264.12,60.66,"264,116.01","2,164.89","13,298.27","-14,999.08","95,187.06","-77,526.42"
LUPIN,"100,000.00","352,554.90",252.55,54.64,"252,554.90","2,603.66","11,564.93","-8,190.60","101,867.30","-54,763.03"
UPL,"100,000.00","338,566.31",238.57,60.20,"238,566.31","2,434.35","11,526.62","-11,320.63","62,697.59","-52,456.03"
CADILAHC,"100,000.00","311,700.09",211.70,56.52,"211,700.09","2,301.09","7,783.00","-4,825.40","52,987.96","-25,767.91"
CHOLAFIN,"100,000.00","305,434.89",205.43,58.16,"205,434.89","2,096.27","12,068.26","-11,767.21","56,692.04","-69,828.70"
DRREDDY,"100,000.00","301,482.34",201.48,52.99,"201,482.34","1,722.07","8,656.36","-6,094.76","39,355.59","-55,907.04"
GAIL,"100,000.00","275,454.39",175.45,53.39,"175,454.39","1,486.90","11,615.33","-10,114.75","58,573.76","-77,910.76"
INDUSINDBK,"100,000.00","261,215.59",161.22,60.42,"161,215.59","1,679.33","11,887.16","-13,901.05","66,114.72","-207,355.62"
CIPLA,"100,000.00","257,443.11",157.44,49.59,"157,443.11","1,301.18","9,038.10","-6,308.90","80,372.71","-34,145.93"
BHARTIARTL,"100,000.00","238,302.63",138.30,56.70,"138,302.63","1,425.80","6,230.25","-4,865.74","25,459.31","-34,273.01"
DIVISLAB,"100,000.00","235,163.08",135.16,57.14,"135,163.08","1,485.31","6,968.52","-5,825.64","20,686.88","-39,646.97"
DLF,"100,000.00","229,851.60",129.85,63.77,"129,851.60","1,881.91","10,971.84","-14,116.38","42,931.56","-78,635.12"
ICICIBANK,"100,000.00","226,930.15",126.93,64.13,"126,930.15","1,379.68","4,599.20","-4,376.44","19,543.06","-25,763.58"
MUTHOOTFIN,"100,000.00","222,127.06",122.13,64.29,"122,127.06","2,180.84","6,328.83","-5,285.53","36,479.65","-17,600.19"
BANKBARODA,"100,000.00","218,553.54",118.55,55.00,"118,553.54","1,185.54","9,348.04","-8,790.85","38,080.38","-45,973.01"
ADANIGREEN,"100,000.00","207,237.72",107.24,68.75,"107,237.72","6,702.36","12,331.33","-5,681.39","33,462.61","-15,728.53"
TCS,"100,000.00","205,394.09",105.39,54.22,"105,394.09","1,269.81","5,079.87","-3,242.10","28,112.43","-47,500.70"
ACC,"100,000.00","198,904.38",98.90,54.65,"98,904.38","1,150.05","3,786.67","-2,027.41","12,454.74","-16,424.84"
KOTAKBANK,"100,000.00","195,046.43",95.05,54.46,"95,046.43",941.05,"11,712.11","-11,937.38","52,895.34","-123,892.06"
ADANIPORTS,"100,000.00","191,393.20",91.39,57.97,"91,393.20","1,324.54","6,850.78","-6,297.86","41,748.91","-34,617.88"
JUBLFOOD,"100,000.00","190,003.08",90.00,64.81,"90,003.08","1,666.72","3,844.18","-2,344.38","10,966.00","-10,309.03"
MARUTI,"100,000.00","177,019.26",77.02,64.29,"77,019.26","1,375.34","4,619.77","-4,464.63","24,682.91","-17,735.29"
SHREECEM,"100,000.00","175,830.24",75.83,60.00,"75,830.24","1,166.62","9,788.09","-11,765.59","47,251.49","-54,566.37"
HINDUNILVR,"100,000.00","165,347.31",65.35,53.15,"65,347.31",588.71,"4,186.63","-3,493.53","21,083.97","-13,281.28"
ITC,"100,000.00","155,854.47",55.85,56.30,"55,854.47",469.37,"3,899.83","-3,950.66","22,244.25","-17,635.41"
TECHM,"100,000.00","154,538.30",54.54,54.05,"54,538.30",737.00,"4,466.50","-3,650.64","21,009.86","-38,678.31"
HEROMOTOCO,"100,000.00","150,215.45",50.22,54.41,"50,215.45",738.46,"3,407.78","-2,447.50","13,915.64","-10,291.35"
PIIND,"100,000.00","150,104.39",50.10,57.14,"50,104.39","1,022.54","3,934.80","-2,860.48","20,246.54","-14,395.51"
