,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,2273.0,2284.89990234375,2235.449951171875,2240.89990234375,249365,2240.89990234375,2240.89990234375,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,2250.0,2274.800048828125,2242.14990234375,2249.85009765625,211576,2246.27001953125,2245.547119140625,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,2245.0,2259.0,2226.949951171875,2245.64990234375,183872,2245.976279810855,2245.5840481475634,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,2257.5,2269.800048828125,2250.0,2259.699951171875,280779,2251.676881760817,2249.530237774133,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,2270.0,2349.5,2267.0,2309.85009765625,1290679,2274.0087798059835,2263.518662076025,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,2364.0,2364.0,2291.85009765625,2304.39990234375,627590,2285.114107289709,2271.706848444575,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,2319.0,2328.0,2232.449951171875,2242.75,679577,2270.114867749059,2266.55702305703,,,,,0,0,0,0,0,0,0,1,10
21,2021-10-20,2289.0,2359.0,2221.0,2263.60009765625,3817624,2267.8551053076676,2266.0805891073037,,,,,0,0,0,0,0,0,1,0,5
22,2021-10-21,2285.949951171875,2286.75,2202.85009765625,2236.35009765625,803674,2257.072967954324,2261.673877602651,,,,,0,0,0,1,0,0,0,0,5
23,2021-10-22,2241.199951171875,2259.35009765625,2165.0,2212.050048828125,528370,2241.8004799377627,2254.8262722050035,,,,,0,0,0,0,0,0,0,0,5
24,2021-10-25,2210.0,2215.949951171875,2142.050048828125,2208.449951171875,683253,2230.553611748356,2248.8112486749674,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,2215.0,2244.949951171875,2210.0,2236.300048828125,484377,2232.4839687051303,2247.2740506421687,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,2238.39990234375,2275.0,2233.5,2249.39990234375,471518,2238.1517355471137,2247.5230937855617,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,2252.0,2324.89990234375,2245.0,2287.85009765625,889979,2254.77479834216,2252.0522962424975,,,,,0,0,1,0,0,0,1,0,0
28,2021-10-29,2285.0,2354.800048828125,2237.550048828125,2333.39990234375,732835,2281.043154290742,2260.8521145780937,63.39023807537946,,,,0,0,0,0,1,0,0,0,10
29,2021-11-01,2345.050048828125,2399.800048828125,2328.39990234375,2374.300048828125,703217,2312.176183936754,2272.719700453181,67.53078657745151,,,,0,0,0,0,1,0,0,0,10
30,2021-11-02,2385.0,2416.0,2374.89990234375,2392.0,461093,2338.811156035192,2284.827692516434,69.156544530025,,,,0,0,0,0,1,0,0,0,10
31,2021-11-03,2404.14990234375,2428.75,2394.14990234375,2420.5,364903,2366.059207797829,2298.2318772986027,71.6205703657429,,,,0,0,0,0,1,0,0,0,10
32,2021-11-04,2425.89990234375,2437.449951171875,2419.050048828125,2431.449951171875,68940,2387.8659591284986,2311.0760272711045,72.52863037167762,,,,0,0,0,0,1,0,0,0,10
33,2021-11-08,2453.85009765625,2530.0,2440.050048828125,2518.35009765625,878142,2431.373756012531,2330.623547549338,78.42787944994602,,,,0,0,0,0,1,0,1,0,0
34,2021-11-09,2523.0,2552.5,2502.050048828125,2538.300048828125,531520,2467.0230007841315,2349.8205961249364,79.51542960152013,,,,0,0,0,0,1,0,0,0,5
35,2021-11-10,2530.699951171875,2568.35009765625,2513.10009765625,2554.14990234375,414868,2496.0691835349426,2368.367655861157,80.36248363308266,,,,0,0,0,0,1,0,0,0,5
36,2021-11-11,2545.949951171875,2564.800048828125,2525.0,2558.199951171875,298854,2516.7812849613288,2385.315842609989,80.58342476421983,,,,0,0,0,0,1,0,0,0,5
37,2021-11-12,2568.0,2578.0,2546.0,2571.949951171875,303364,2535.1719328280315,2401.7289233478623,81.35057866263934,,,,0,0,0,0,1,0,0,0,5
38,2021-11-15,2570.0,2589.0,2530.300048828125,2563.10009765625,229541,2544.4816897902915,2415.726196110262,79.18210099024007,,,,0,0,0,0,1,0,0,0,5
39,2021-11-16,2561.14990234375,2566.449951171875,2483.0,2492.75,248153,2527.237337918174,2422.323650540697,64.47025962834834,,,,0,0,0,0,1,0,0,0,0
40,2021-11-17,2482.0,2496.35009765625,2463.050048828125,2471.550048828125,279037,2508.674581499422,2426.4918546208273,60.80396986083404,,,,0,0,0,0,1,0,0,0,3
41,2021-11-18,2474.800048828125,2502.300048828125,2415.10009765625,2440.5,237386,2485.9494543437936,2427.665541423503,55.79895318105199,,,,0,0,0,0,0,0,0,0,3
42,2021-11-22,2440.5,2445.0,2355.0,2373.550048828125,244687,2448.4826927494864,2423.17503108172,46.84509210523091,,,,0,0,0,0,0,0,0,0,3
43,2021-11-23,2350.0,2420.10009765625,2349.89990234375,2403.89990234375,209320,2433.6216851126737,2421.589697550236,50.70665908676168,,,,0,0,0,0,0,0,0,0,0
44,2021-11-24,2410.0,2428.25,2392.550048828125,2404.75,237362,2423.9977566153148,2420.2159012382235,50.814443186235344,,,,0,0,0,0,0,0,0,0,0
45,2021-11-25,2404.89990234375,2413.550048828125,2380.0,2385.449951171875,201394,2411.1484583518077,2417.4007988253475,48.23569319176162,,,,0,0,0,1,0,0,0,0,0
46,2021-11-26,2358.800048828125,2388.0,2300.10009765625,2311.5,208380,2377.93225424175,2408.8844495192407,39.883834437328176,,,,0,0,0,0,0,1,0,0,0
47,2021-11-29,2280.0,2325.0,2240.0,2289.60009765625,458730,2348.4881717149906,2399.352292258406,37.79666790747175,29.33274353026445,76.44603620429547,-47.113292674031015,0,0,0,0,0,1,0,1,0
48,2021-11-30,2283.14990234375,2322.949951171875,2269.85009765625,2286.39990234375,415128,2327.7920677112897,2390.378510967102,37.487943614380995,18.468595208530587,64.85054800514249,-46.3819527966119,0,0,0,0,0,1,0,1,0
49,2021-12-01,2296.0,2332.449951171875,2248.0,2253.449951171875,423543,2303.0113508525237,2379.5580264230844,34.37466006996966,7.117843635529425,53.304007131219876,-46.18616349569045,0,0,0,0,0,1,0,1,0
50,2021-12-02,2248.14990234375,2278.75,2229.60009765625,2264.64990234375,457153,2290.2241974466106,2370.5223747701416,36.31080929112842,-0.9628669750259178,42.450632309970715,-43.41349928499663,0,0,0,0,0,1,1,0,0
51,2021-12-03,2268.10009765625,2304.550048828125,2250.10009765625,2262.199951171875,439164,2280.8827801208618,2362.0432428740564,36.06018612808348,-7.478372908972233,32.464831266182124,-39.94320417515436,0,0,0,0,0,1,0,1,5
52,2021-12-06,2265.0,2272.949951171875,2205.0,2217.300048828125,234956,2259.688533481477,2350.7606275374465,31.73682593849942,-16.079648993941646,22.75593521415737,-38.835584208099014,0,0,0,0,0,1,0,0,5
53,2021-12-07,2239.0,2254.949951171875,2211.0,2245.050048828125,293341,2254.809038155736,2342.5523810532945,36.78157320460966,-20.42162143665064,14.120423883995766,-34.54204532064641,0,0,0,0,0,1,0,0,5
54,2021-12-08,2255.14990234375,2299.89990234375,2249.199951171875,2292.25,315816,2267.289359522952,2338.660397614072,44.31900152955084,-19.825488397294066,7.331241427737798,-27.156729825031864,0,0,0,0,0,0,0,0,5
55,2021-12-09,2294.10009765625,2324.0,2287.949951171875,2320.0,286871,2284.8595737215282,2337.221355425407,48.22728932733418,-16.918825891846154,2.4812279638210075,-19.40005385566716,0,0,0,0,0,0,0,0,5
56,2021-12-10,2319.0,2330.199951171875,2302.0,2315.550048828125,202000,2295.089732364525,2335.5551903869227,47.64970331823925,-14.803700935284724,-0.9757578160001383,-13.827943119284585,0,0,0,0,0,0,0,0,0
57,2021-12-13,2329.0,2340.85009765625,2290.0,2296.050048828125,282819,2295.40983785811,2332.5264074286256,45.10069587230334,-14.533404163787509,-3.6872870855576125,-10.846117078229897,0,0,0,0,0,0,0,1,0
58,2021-12-14,2280.0,2326.300048828125,2272.449951171875,2320.14990234375,408050,2303.656526118204,2331.5799797001214,48.7496798834862,-12.233514912350529,-5.396532650916196,-6.836982261434333,0,0,0,0,0,0,1,0,0
59,2021-12-15,2317.25,2330.800048828125,2275.0,2285.5,252969,2297.604350697417,2328.0646784874566,44.20077077848091,-13.056288877679435,-6.928483896268844,-6.127804981410591,0,0,0,0,0,0,0,0,5
60,2021-12-16,2297.5,2298.5,2263.0,2266.449951171875,247839,2287.2195508006016,2323.3746571706756,41.88663051744882,-15.07178475272849,-8.557144067560774,-6.514640685167716,0,0,0,0,0,0,0,0,5
61,2021-12-17,2266.0,2274.0,2207.5,2215.050048828125,290265,2263.1630500582205,2315.145972277235,36.35586549571684,-20.57939584176711,-10.96159442240204,-9.617801419365069,0,0,0,0,0,1,0,1,5
62,2021-12-20,2194.89990234375,2199.64990234375,2087.800048828125,2115.89990234375,307702,2214.0753340379188,2300.0391402173946,28.530071782955,-32.56936612006075,-15.283148761933782,-17.28621735812697,0,0,0,0,0,1,0,1,5
