,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,1522.0,1569.449951171875,1511.449951171875,1547.9000244140625,2646112,1547.9000244140625,1547.9000244140625,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,1553.0,1563.699951171875,1532.1500244140625,1539.75,1910095,1543.010009765625,1543.6682809682993,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,1539.0,1566.9000244140625,1514.5,1554.449951171875,1900749,1548.4289293791117,1547.5420303908754,,,,,0,0,1,0,0,0,0,0,0
17,2021-10-13,1568.449951171875,1608.300048828125,1551.300048828125,1569.699951171875,3923958,1557.2645845853365,1553.73641674942,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,1580.0,1656.0,1574.800048828125,1646.3499755859375,5256882,1591.463241794098,1575.2138830373935,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,1672.949951171875,1672.949951171875,1608.550048828125,1615.5,3791222,1600.2465985520441,1583.2828709544615,,,,,0,0,0,0,0,0,0,1,10
20,2021-10-19,1625.199951171875,1637.0,1562.050048828125,1569.449951171875,1822638,1589.3428802712558,1580.8227578790836,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,1574.0,1607.3499755859375,1539.0999755859375,1589.699951171875,2768997,1589.4667365852374,1582.2530936805395,,,,,0,0,0,0,0,0,0,0,10
22,2021-10-21,1601.949951171875,1626.8499755859375,1581.699951171875,1595.050048828125,3129269,1591.3775451828894,1584.1498833641622,,,,,0,0,0,0,0,0,1,0,5
23,2021-10-22,1595.050048828125,1608.800048828125,1537.0,1543.0,2580699,1574.967114819515,1578.4715999588796,,,,,0,0,0,1,0,0,0,0,5
24,2021-10-25,1545.0,1551.4000244140625,1494.050048828125,1532.199951171875,2276050,1560.5446552610395,1572.4701524523257,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,1532.0,1557.25,1520.9000244140625,1543.8499755859375,1661783,1554.9365383349186,1568.9537127730046,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,1548.0,1581.1500244140625,1540.0,1566.550048828125,2121282,1558.8277021984459,1568.6721239754193,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,1550.0,1566.9000244140625,1367.699951171875,1398.550048828125,7093354,1505.2181789959163,1549.565390353282,,,,,0,0,0,0,0,0,0,1,5
28,2021-10-29,1400.0,1454.800048828125,1377.75,1423.5999755859375,3165141,1477.949839624133,1535.939018052406,37.7536956618998,,,,0,0,0,0,0,1,0,0,0
29,2021-11-01,1436.0,1457.0,1411.199951171875,1445.300048828125,1543436,1467.0499816583424,1526.4574372901875,40.49382861920843,,,,0,0,0,0,0,0,0,0,0
30,2021-11-02,1455.0,1489.0,1452.800048828125,1472.800048828125,1667692,1468.968618052648,1521.0107437783345,43.86622409886263,,,,0,0,0,0,0,0,0,0,0
31,2021-11-03,1474.0,1501.0,1464.449951171875,1485.9000244140625,1710819,1474.6162415781912,1517.541866607136,45.452127683855906,,,,0,0,0,0,0,0,0,0,0
32,2021-11-04,1495.0,1511.5,1483.0,1489.449951171875,272261,1479.563042910155,1514.8333994721993,45.89819241837718,,,,0,0,0,0,0,0,0,0,0
33,2021-11-08,1495.0,1575.1500244140625,1485.6500244140625,1568.25,2565017,1509.1342548510395,1519.8709909088477,54.74486094815032,,,,0,0,0,0,0,0,1,0,0
34,2021-11-09,1555.0,1659.0,1554.949951171875,1635.449951171875,4713708,1551.24793015074,1530.5547943282243,60.65366300375885,,,,0,0,1,0,1,0,1,0,5
35,2021-11-10,1625.550048828125,1686.0,1620.4000244140625,1655.8499755859375,3728328,1586.1199395236479,1541.9278922672875,62.26441627919424,,,,0,0,0,0,1,0,1,0,10
36,2021-11-11,1650.0,1704.0,1640.8499755859375,1664.9000244140625,4470709,1612.382307923224,1552.9068179401518,62.9882997673745,,,,0,0,0,0,1,0,1,0,10
37,2021-11-12,1678.300048828125,1719.5,1670.0999755859375,1705.199951171875,5349189,1643.32336033672,1566.299865496232,66.10628983428711,,,,0,0,0,0,1,0,1,0,10
38,2021-11-15,1713.75,1764.0,1691.800048828125,1749.550048828125,3997553,1678.7336588236963,1582.194914973622,69.18309320776022,,,,0,0,0,0,1,0,0,0,10
39,2021-11-16,1759.449951171875,1766.550048828125,1706.9000244140625,1711.5999755859375,2172117,1689.6893869912099,1593.2790726929625,63.84245756904937,,,,0,0,0,0,1,0,0,0,10
