,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,739.7000122070312,747.0,733.5,739.9000244140625,2878232,739.9000244140625,739.9000244140625,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,743.9000244140625,746.0,736.5,737.4500122070312,2118247,738.4300170898438,738.6279026911808,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,737.6500244140625,740.9500122070312,728.8499755859375,736.9000244140625,2152513,737.7052837171051,738.0070928025563,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,740.5999755859375,764.5999755859375,739.0999755859375,759.0,9083125,746.5507812499999,743.8757922737425,,,,,0,0,1,0,0,0,1,0,0
18,2021-10-14,766.0999755859375,817.7000122070312,764.25,812.7999877929688,19754735,771.9829411077272,759.8595974993137,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,820.9000244140625,829.9000244140625,807.0,810.5499877929688,8883845,786.0758619265449,770.0124783830834,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,815.0,820.0,785.0,792.25,5543852,788.2618486460927,773.9673063263957,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,792.0,802.9000244140625,777.5,794.9000244140625,5467049,790.5644165135867,777.3400858880268,,,,,0,0,0,0,0,0,0,0,10
22,2021-10-21,799.0,802.9000244140625,775.2999877929688,779.3499755859375,4607499,786.7264348263348,777.6379956642392,,,,,0,0,0,0,0,0,0,0,10
23,2021-10-22,780.2999877929688,787.2999877929688,753.9000244140625,761.7999877929688,3860760,778.2709887779463,775.4525047243914,,,,,0,0,0,0,0,0,0,0,5
24,2021-10-25,765.0,765.5499877929688,738.5499877929688,752.0499877929688,2973109,769.4284260724943,772.4171908644578,,,,,0,0,0,1,0,0,0,0,0
25,2021-10-26,752.0,758.5499877929688,740.0499877929688,749.9000244140625,3093933,762.8683984462037,769.6506021762852,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,753.6500244140625,756.5499877929688,743.6500244140625,745.8499755859375,3246881,757.1662920859582,766.8623630642298,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,724.3499755859375,734.5,681.1500244140625,688.0999755859375,18160551,734.065053584754,758.0164096176337,,,,,0,0,0,0,0,0,0,1,0
28,2021-10-29,697.0,709.5999755859375,687.0,693.0,7612968,720.3453713241098,750.9832267018911,39.031802221016875,,,,0,0,0,0,0,1,0,0,0
29,2021-11-01,705.0,707.0,690.0,704.4000244140625,3233662,715.0221514106755,746.1102410707119,42.34263650853936,,,,0,0,0,0,0,0,0,0,0
30,2021-11-02,707.0,715.0,700.6500244140625,702.3499755859375,3028354,710.793801199368,741.6681919713337,41.90196840257274,,,,0,0,0,0,0,0,0,0,0
31,2021-11-03,702.0,719.7999877929688,702.0,709.2000122070312,3036191,710.2621784850029,738.4603930536799,43.99917641420028,,,,0,0,0,0,0,0,0,0,0
32,2021-11-04,713.0,716.4500122070312,713.0,713.7000122070312,453287,711.4086402198639,736.0731340600305,45.39370400867306,,,,0,0,0,0,0,0,0,0,0
33,2021-11-08,717.0,735.0999755859375,709.0999755859375,730.4500122070312,3227351,717.7576735518714,735.5428309292809,50.349810087265645,,,,0,0,0,0,0,0,0,0,0
34,2021-11-09,731.0,744.5,727.7999877929688,737.3499755859375,3456614,724.2897504850548,735.7098784456987,52.27153831420617,,,,0,0,0,0,0,0,1,0,0
35,2021-11-10,736.4000244140625,745.0499877929688,730.0999755859375,737.9000244140625,2751881,728.8271149127345,735.9086789450396,52.429607396646816,,,,0,0,0,0,0,0,0,0,5
36,2021-11-11,734.9500122070312,741.5499877929688,728.5,735.0999755859375,2325810,730.9182548010455,735.8364780819986,51.49467362091858,,,,0,0,0,0,0,0,0,0,5
37,2021-11-12,737.7000122070312,755.5,734.25,750.2999877929688,4585484,737.3792162667547,737.1084361097588,56.07387890962503,,,,0,0,1,0,0,0,1,0,5
38,2021-11-15,753.9000244140625,756.5,740.5499877929688,749.7999877929688,2434426,741.5196374116479,738.2092963560162,55.88697343413137,,,,0,0,0,0,0,0,0,0,10
39,2021-11-16,752.7000122070312,761.7000122070312,743.4500122070312,746.4500122070312,3378779,743.1631390675511,738.915152786829,54.57444985994291,,,,0,0,0,0,0,0,0,1,10
