,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,4459.0,4459.0,4365.60009765625,4379.25,269607,4379.25,4379.25,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,4401.10009765625,4422.9501953125,4360.0,4377.14990234375,331320,4377.98994140625,4378.159564678485,,,,,0,0,0,1,0,0,0,1,0
16,2021-10-12,4349.0,4407.0498046875,4293.2998046875,4351.2998046875,612692,4365.347245065789,4368.509113700946,,,,,0,0,0,0,0,0,0,1,0
17,2021-10-13,4385.0,4409.0,4340.0,4377.5,302343,4370.3953125,4371.02257261221,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,4403.9501953125,4429.75,4312.35009765625,4328.39990234375,436160,4354.273851729117,4361.138199575535,,,,,0,0,0,0,0,0,0,1,0
19,2021-10-18,4449.0,4449.0,4321.64990234375,4330.39990234375,345049,4345.549987517623,4354.981563799872,,,,,0,0,0,0,0,0,0,0,0
20,2021-10-19,4352.0,4387.64990234375,4226.64990234375,4301.0498046875,285362,4329.79445896825,4345.390080016565,,,,,0,0,0,0,0,0,0,0,0
21,2021-10-20,4301.0498046875,4317.35009765625,4135.0,4146.75,510321,4266.3022731215315,4313.384241157284,,,,,0,0,0,0,0,0,0,1,0
22,2021-10-21,4187.0,4234.89990234375,4075.25,4134.85009765625,698306,4221.31464998097,4286.92156174162,,,,,0,0,0,0,0,0,0,1,0
23,2021-10-22,4155.5,4189.4501953125,4002.35009765625,4028.39990234375,347114,4155.874908873802,4251.248088855339,,,,,0,0,0,0,0,0,0,0,0
24,2021-10-25,4045.39990234375,4250.89990234375,3955.0,4164.0,1151030,4158.614950255597,4239.931984090567,,,,,0,0,0,0,0,0,1,0,0
25,2021-10-26,4164.0,4308.5,4135.5498046875,4267.9501953125,790450,4195.343108588558,4243.374462805649,,,,,0,0,0,0,0,0,1,0,5
26,2021-10-27,4278.7998046875,4325.10009765625,4215.14990234375,4276.5498046875,623848,4222.5518118933405,4247.260948123154,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,4277.7998046875,4314.0,4225.0,4289.5,537955,4244.9445807429,4252.004896326018,,,,,0,0,0,0,0,0,0,0,5
28,2021-10-29,4289.5,4349.0,4161.0498046875,4262.0498046875,705546,4250.6593726896035,4253.091509356384,41.57803508771929,,,,0,0,0,0,0,0,0,1,5
29,2021-11-01,4281.2001953125,4350.0,4258.0,4336.60009765625,239375,4279.349960677325,4261.827193699228,47.621701840038185,,,,0,0,1,0,0,0,0,0,5
