,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,3303.099491312775,3325.07354296348,3260.250188134968,3302.99951171875,882436,3302.99951171875,3302.99951171875,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,3322.476486072029,3340.4055095199187,3293.8603756644075,3302.150634765625,460197,3302.490185546875,3302.5587486853965,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,3276.1313343959223,3331.0664634787813,3276.1313343959223,3319.330322265625,564524,3310.4670924136512,3308.5846122339362,,,,,0,0,1,0,0,0,0,0,0
17,2021-10-13,3339.057078733827,3354.938227843033,3287.517841120169,3319.580078125,770144,3314.2524864783654,3311.658463999841,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,3338.0582191504473,3348.9952552092664,3286.1195514676756,3293.910400390625,648597,3306.443439212456,3307.54261484522,,,,,0,0,0,1,0,0,0,0,0
19,2021-10-18,3248.6637836758155,3280.0766406690336,3228.1879627487274,3237.6767578125,1576121,3281.315163152021,3293.5490409116524,,,,,0,0,0,0,0,0,0,1,10
20,2021-10-19,3257.0537796536096,3265.2443031091993,3172.3539935078297,3179.994873046875,1042069,3245.4421706864305,3273.3540208061036,,,,,0,0,0,0,0,0,0,1,10
21,2021-10-20,3186.237413039925,3216.152038413765,3132.9502415221577,3165.861572265625,1205540,3217.8382422571995,3256.0343238633254,,,,,0,0,0,0,0,0,0,1,10
22,2021-10-21,3190.232770112893,3191.6810111096306,2917.0053655927086,2998.459228515625,5103543,3142.7589188437905,3217.8560402029466,,,,,0,0,0,0,0,0,0,1,5
23,2021-10-22,2971.4911496564728,2999.408135384391,2908.715180264677,2978.88232421875,2855592,3087.169379645089,3184.87999325372,,,,,0,0,0,0,0,0,0,1,0
24,2021-10-25,2946.520666718372,2946.520666718372,2853.880059315617,2914.6083984375,2161537,3028.976281001882,3149.8256817838924,,,,,0,0,0,0,0,0,0,0,0
25,2021-10-26,2914.6083990325033,3020.433389144185,2894.581997929844,2966.29736328125,1988263,3007.921028297378,3127.276336108126,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,3025.6272420285577,3141.290713575581,3025.6272420285577,3091.0,4609951,3035.7570467603,3123.026569876351,,,,,0,0,0,0,0,0,1,0,0
27,2021-10-28,3103.0,3147.60009765625,3062.0,3116.300048828125,1791065,3062.6969965746393,3122.271101511879,,,,,0,0,0,0,0,0,0,0,5
