,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,719.425314658753,728.8546877594084,711.5425441318476,713.18896484375,2179776,713.18896484375,713.18896484375,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,717.1303222115245,723.4165504001486,709.5468845903571,718.9762573242188,1309853,716.6613403320313,716.1939051701471,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,720.4231502253498,733.8936661921671,718.4773968497716,728.2559814453125,2505322,722.1535387541118,720.5276920625057,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,733.3947263546468,733.3947263546468,723.4664454297473,726.9588012695312,1220720,724.1495708759014,722.3255491600213,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,733.0455092450238,735.3903523578799,722.6183204267431,725.5618896484375,1592618,724.6917406416617,723.0760698678916,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,725.8113761265083,729.4034893329327,715.5837622199933,716.6813354492188,2001971,721.7646301728442,721.7952555664035,,,,,0,0,0,1,0,0,0,1,10
20,2021-10-19,721.4209637327561,725.5619244690042,708.4493558094839,710.9937744140625,1518895,717.9511508876807,719.8742681368536,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,711.4427887838311,715.1347200644827,689.9398667449992,700.16748046875,2049982,711.7825724251586,716.6990163423176,,,,,0,0,0,0,0,0,0,1,5
22,2021-10-21,706.4537266375604,716.2323112383307,696.5753238958695,704.3583374023438,1519098,709.2417343893396,714.8698568092658,,,,,0,0,0,0,0,0,0,0,0
23,2021-10-22,706.4537115004532,711.293094626685,687.5949651801657,693.531982421875,1592318,703.9127374401693,711.9254378186777,,,,,0,0,0,0,0,0,0,0,0
24,2021-10-25,695.4777298038057,696.2759703979589,674.0745651065174,683.8531494140625,1798234,697.1480008434236,708.2844531192853,,,,,0,0,0,0,0,0,0,1,0
25,2021-10-26,684.5017818621735,703.9591940288096,681.9074846006978,701.9635620117188,1717288,698.7656557264319,707.5078320521592,,,,,0,0,0,0,0,0,1,0,0
26,2021-10-27,703.1609488325107,713.188987472849,701.015620067338,705.0567626953125,1637432,700.8735220871858,707.2206897191127,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,704.4580896738753,704.956997669395,673.7253693302303,677.1678466796875,1919106,692.9444694147361,703.845397793917,,,,,0,0,0,0,0,0,0,1,5
28,2021-10-29,678.6146235725981,697.7228239485191,670.2828845011337,687.8444213867188,2550003,691.2405622637565,702.1144840974493,40.070360799966714,,,,0,0,0,0,0,0,1,0,5
