,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,3843.550048828125,3878.550048828125,3806.10009765625,3815.550048828125,215542,3815.550048828125,3815.550048828125,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,3845.0,3879.89990234375,3830.35009765625,3852.10009765625,239321,3837.480078125,3834.5279587965742,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,3860.0,3994.5,3858.0,3978.75,1353877,3904.397409539473,3886.3455379179627,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,3994.949951171875,4050.0,3956.60009765625,3967.64990234375,648769,3930.671521935096,3909.0746852448683,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,3970.0,4009.050048828125,3954.199951171875,3965.89990234375,272066,3944.1952129924466,3922.252687471329,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,3861.0,3969.699951171875,3861.0,3915.949951171875,463126,3933.874012056509,3920.9902996593696,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,3930.199951171875,3955.0,3892.25,3911.550048828125,275481,3925.9700930698696,3919.311399985996,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,3903.75,3909.89990234375,3828.0,3848.64990234375,321450,3899.1502267545607,3907.926081842223,,,,,0,0,0,1,0,0,0,0,5
22,2021-10-21,3870.0,3875.14990234375,3769.5,3804.0,373336,3866.5864252973247,3892.521955030475,,,,,0,0,0,0,0,0,0,0,0
23,2021-10-22,3839.449951171875,3910.0,3813.050048828125,3866.5,408499,3866.5571084661788,3888.9311784998363,,,,,0,0,0,0,0,0,1,0,0
24,2021-10-25,3854.0,3884.75,3735.0,3763.75,306195,3831.887253425206,3872.695139990953,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,3779.85009765625,3811.800048828125,3762.25,3791.75,170050,3818.4042507751105,3862.7497541381263,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,3795.0,3815.0,3760.0,3776.5,251226,3804.3640252602095,3852.64561099802,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,3854.949951171875,3860.0,3688.85009765625,3700.699951171875,706705,3769.6905603806917,3835.580305129723,,,,,0,0,0,0,0,0,0,1,5
28,2021-10-29,3720.0,3754.85009765625,3665.0,3707.25,316325,3748.8294004936943,3821.698109620643,41.38835556470134,,,,0,0,0,0,0,0,0,0,5
29,2021-11-01,3721.800048828125,3750.0,3681.60009765625,3726.14990234375,228051,3741.2580408450426,3811.702982229694,43.22608068977095,,,,0,0,0,0,0,0,0,0,0
30,2021-11-02,3735.0,3790.0,3727.050048828125,3741.85009765625,250053,3741.45559362346,3804.6123044293868,44.77511710912855,,,,0,0,0,0,0,0,0,0,0
31,2021-11-03,3726.199951171875,3763.949951171875,3689.050048828125,3698.39990234375,261709,3727.093978894635,3794.118706361216,41.40792724674057,,,,0,0,0,0,0,0,0,0,0
32,2021-11-04,3718.5,3764.89990234375,3718.5,3759.35009765625,65679,3737.8508708403874,3790.7665093840506,47.38524667834442,,,,0,0,0,0,0,0,0,0,0
33,2021-11-08,3791.0,3800.0,3743.60009765625,3777.300048828125,261609,3751.004552525365,3789.496519798263,49.03424023836586,,,,0,0,0,0,0,0,1,0,0
34,2021-11-09,3780.0,3845.0,3772.0,3794.449951171875,521920,3765.4892560511885,3789.95440146571,50.62640935695772,,,,0,0,0,0,0,0,1,0,5
35,2021-11-10,3790.0,3801.60009765625,3744.0,3771.699951171875,373526,3767.559764496408,3788.2974370961983,48.46354013098691,,,,0,0,0,0,0,0,0,1,5
36,2021-11-11,3774.5,3781.85009765625,3726.0,3749.949951171875,446382,3761.689303635393,3784.873781749621,46.42163251993986,,,,0,0,0,0,0,0,0,1,5
