,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,17620.0,17740.5,17460.0,17549.44921875,152238,17549.44921875,17549.44921875,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,17665.650390625,18045.0,17607.0,17713.94921875,234090,17648.14921875,17634.86268028846,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,17713.94921875,18475.0,17631.0,18222.650390625,454592,17920.281352796053,17846.049097654326,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,18355.0,18574.900390625,18148.599609375,18188.25,318388,18031.59140625,17941.71351591461,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,18350.0,18540.0,18215.099609375,18488.900390625,196805,18207.146040062205,18068.608409086344,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,18850.0,19100.0,18552.80078125,18677.94921875,293948,18379.18389332707,18190.654513334022,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,19000.0,19325.0,18600.5,19076.55078125,387846,18626.090382543105,18348.20657221836,,,,,0,0,0,0,0,0,1,0,10
21,2021-10-20,19063.0,19063.0,18404.25,18603.19921875,224798,18618.150180288463,18389.29220586547,,,,,0,0,0,0,0,0,0,0,5
22,2021-10-21,18788.0,18789.30078125,18346.69921875,18579.599609375,192533,18604.956799882475,18417.49994087203,,,,,0,0,0,0,0,0,0,0,5
23,2021-10-22,18600.0,19250.55078125,18550.0,18658.150390625,505330,18623.00090925921,18450.707360762222,,,,,0,0,0,0,0,0,1,0,5
24,2021-10-25,18700.0,18947.0,18000.0,18087.150390625,301804,18442.294924217425,18403.553906560413,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,18200.0,18450.0,17975.05078125,18353.349609375,296749,18412.416200254193,18397.385517611616,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,18599.0,18599.0,17770.0,18012.0,325301,18278.25478112848,18352.23767373677,,,,,0,0,0,1,0,0,0,1,5
27,2021-10-28,18012.0,18372.05078125,17802.0,17987.69921875,342550,18181.070021834785,18311.295666954717,,,,,0,0,0,0,0,0,0,1,5
28,2021-10-29,17987.69921875,18174.0,17139.55078125,17821.150390625,320536,18060.822206514757,18258.273954374956,53.836717155085445,,,,0,0,0,0,0,0,0,0,5
29,2021-11-01,17900.0,17980.0,17171.0,17565.69921875,384929,17895.529562652133,18185.82494766294,49.95544843178126,,,,0,0,0,0,0,0,0,1,0
30,2021-11-02,17650.0,17894.900390625,17392.55078125,17542.599609375,271929,17777.766720409767,18120.531958623986,49.60717443205589,,,,0,0,0,0,0,0,0,0,0
31,2021-11-03,17579.69921875,17754.75,17449.099609375,17509.44921875,183802,17688.26699414119,18060.158061294518,49.078367670817386,,,,0,0,0,0,0,0,0,0,0
32,2021-11-04,17650.0,17750.0,17500.0,17594.0,31506,17656.83048197053,18015.213678929005,50.52692300193561,,,,0,0,0,0,0,0,0,0,0
33,2021-11-08,17650.900390625,18392.94921875,17515.0,18319.75,316199,17877.87012760342,18043.933768714152,60.82762416045947,,,,0,0,0,0,1,0,1,0,0
34,2021-11-09,18320.0,18475.0,18080.0,18172.5,198087,17976.099778716503,18055.818079996257,58.1807684861407,,,,0,0,0,0,0,0,0,0,5
35,2021-11-10,18142.5,18375.0,18002.5,18326.150390625,178433,18092.798913696875,18080.35626106605,60.13032209940816,,,,0,0,1,0,1,0,0,0,5
36,2021-11-11,18250.0,18350.0,17810.0,17871.349609375,215558,18018.975900939007,18061.696191878083,52.35077261855756,,,,0,0,0,1,0,0,0,1,10
37,2021-11-12,18135.0,18349.0,17925.05078125,18273.80078125,207802,18103.922573812863,18080.349211827437,57.580758253291265,,,,0,0,1,0,0,0,0,0,10
38,2021-11-15,18275.0,18345.0,18000.0,18130.5,170461,18112.782066730015,18084.699271646416,55.255145476682465,,,,0,0,0,0,0,0,0,0,10
39,2021-11-16,18230.0,18511.0,18118.75,18209.75,218955,18145.105564539543,18095.41046013805,56.3061763487934,,,,0,0,0,0,0,0,1,0,5
40,2021-11-17,18185.0,18420.0,18111.900390625,18255.400390625,146100,18181.871153677173,18108.957473615283,56.93371387935616,,,,0,0,0,0,0,0,0,0,10
41,2021-11-18,18256.0,18472.0,17811.19921875,17921.25,274556,18094.996416399754,18093.230210756246,51.14352813444917,,,,0,0,0,0,0,0,0,1,10
42,2021-11-22,18140.0,18140.0,16830.05078125,17073.75,370700,17754.578281297105,18008.633615399096,40.02521158200247,,,,0,0,0,1,0,0,0,1,10
43,2021-11-23,16880.0,17437.849609375,16757.25,17368.099609375,251315,17625.75138547856,17955.951215628367,44.535188622568775,,,,0,0,0,0,0,0,0,0,5
44,2021-11-24,17432.0,17647.0,17140.400390625,17408.69921875,274024,17553.400411690905,17911.305949713696,45.14788046056611,,,,0,0,0,0,0,0,1,0,5
45,2021-11-25,17349.0,17522.0,17225.25,17368.849609375,161620,17491.883335000093,17867.38164591492,44.62679714226815,,,,0,0,0,0,0,0,0,0,5
46,2021-11-26,17200.0,17237.19921875,16610.0,16682.55078125,342486,17222.10540021893,17772.099706363322,36.75819102588561,,,,0,0,0,0,0,1,0,1,5
47,2021-11-29,16670.0,17098.0,16273.650390625,16890.400390625,304218,17111.53694978639,17701.64204445607,40.19728188484141,-337.5821433007259,-230.23078426606864,-107.35135903465724,0,0,0,0,0,0,1,0,5
48,2021-11-30,16880.0,17500.0,16880.0,17237.349609375,458642,17153.47453178371,17664.755186455346,45.52272920025061,-326.7270732152683,-249.53004205590858,-77.19703115935974,0,0,0,0,0,0,1,0,5
49,2021-12-01,17444.0,17546.69921875,17201.0,17382.94921875,238349,17229.966129126795,17642.48607676393,47.63035626850224,-302.8842195717916,-260.2008775590852,-42.68334201270642,0,0,0,0,0,0,0,0,5
50,2021-12-02,17400.0,17890.0,17273.44921875,17758.150390625,213881,17406.02760336497,17651.581190421897,52.70792124029844,-250.82167130186644,-258.3250363076414,7.503365005774981,1,0,0,0,0,0,0,0,5
51,2021-12-03,17750.0,17889.75,17450.0,17488.69921875,203459,17433.584814100792,17638.83131209179,49.03129243891697,-228.6682392593102,-252.39367689797518,23.72543763866497,0,0,0,0,0,0,0,0,10
52,2021-12-06,17487.0,17598.94921875,16851.0,16893.44921875,203690,17253.539591226207,17580.72937857149,42.052645468395724,-256.18998635691605,-253.15293878976337,-3.0370475671526833,0,1,0,0,0,0,0,0,10
53,2021-12-07,17140.0,17250.0,16931.69921875,17109.0,230078,17205.35972312686,17544.10039535707,45.099881204184705,-257.6381306059593,-254.04997715300254,-3.5881534529567602,0,0,0,0,0,0,0,0,10
54,2021-12-08,17166.0,17674.25,17166.0,17621.650390625,284299,17344.123287325885,17550.10057449322,51.616549964873734,-214.94148162750935,-246.2282780479039,31.286796420394552,1,0,0,0,0,0,1,0,5
55,2021-12-09,17625.349609375,17771.900390625,17487.0,17596.599609375,210382,17428.282064724983,17553.686461263213,51.296128489174265,-181.03856846344934,-233.190336131013,52.15176766756366,0,0,0,0,0,0,0,0,10
56,2021-12-10,17580.0,17763.55078125,17300.650390625,17711.099609375,233314,17522.554582134482,17565.788928772694,52.74021522228459,-143.27943628689536,-215.20815616218948,71.92871987529412,0,0,0,0,0,0,0,0,10
57,2021-12-13,17750.0,17835.94921875,17250.0,17324.0,219913,17456.369720240647,17547.25143825689,47.60152338214836,-142.94299745156968,-200.75512442006553,57.812126968495846,0,0,0,0,0,0,0,0,10
58,2021-12-14,17200.0,17260.0,16865.0,17123.5,242026,17345.413145505663,17514.847289556637,45.147810743827804,-157.0447277378371,-192.01304508361983,34.96831734578274,0,0,0,0,0,0,0,1,10
59,2021-12-15,17169.0,17214.94921875,16620.0,16660.69921875,253221,17117.17516810831,17449.68693643491,40.019870904376134,-203.2219892557041,-194.2548339180367,-8.967155337667407,0,1,0,0,0,0,0,1,10
60,2021-12-16,16870.0,16950.0,16575.0,16703.349609375,325350,16979.233314467067,17392.876850179196,40.6884596193576,-233.6825249334579,-202.14037212112095,-31.54215281233695,0,0,0,0,0,0,1,0,0
61,2021-12-17,16650.0,16850.0,16133.0,16204.2001953125,305435,16720.888940503915,17302.581156682147,35.67631218753817,-294.70275514826426,-220.65284872654962,-74.04990642171464,0,0,0,0,0,1,0,1,5
62,2021-12-20,15940.0,15940.0,15450.0,15826.2001953125,337160,16422.65935807186,17190.641988962536,32.41941751572682,-369.3060380214265,-250.383486585525,-118.92255143590151,0,0,0,0,0,1,0,1,5
63,2021-12-21,16150.0,16150.0,15677.0,15831.9501953125,336805,16225.756303509932,17087.805553246162,32.520332909149104,-423.08859824374304,-284.9245089171686,-138.1640893265744,0,0,0,0,0,1,1,0,5
64,2021-12-22,15931.0,16184.9501953125,15830.0,15945.900390625,261292,16132.47099911742,17001.516477207526,34.6044196836411,-451.3143651936334,-318.2024801724616,-133.11188502117182,0,0,0,0,0,1,0,0,5
