,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,4792.9501953125,4792.9501953125,4700.0,4716.60009765625,21606,4716.60009765625,4716.60009765625,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,4709.10009765625,4780.0,4672.10009765625,4700.75,29110,4707.0900390625,4708.3702392578125,,,,,0,0,0,1,0,0,0,1,0
16,2021-10-12,4700.0,4789.14990234375,4683.0,4747.7001953125,36062,4726.326428865131,4722.501110605209,,,,,0,0,1,0,0,0,1,0,0
17,2021-10-13,4790.0,4794.0,4710.0,4732.10009765625,22211,4728.724722055288,4725.184567912981,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,4755.4501953125,4808.0,4716.7001953125,4745.64990234375,27294,4735.222066147067,4729.930563378773,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,4784.9501953125,4796.60009765625,4716.5,4773.2998046875,29219,4749.136187147557,4738.617076512251,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,4807.9501953125,4915.5,4747.5498046875,4805.60009765625,60765,4769.127537687061,4750.529659591934,,,,,0,0,0,0,0,0,1,0,10
21,2021-10-20,4810.0,4888.0,4686.64990234375,4783.7998046875,21788,4774.216871220758,4755.890304345323,,,,,0,0,0,0,0,0,0,0,10
22,2021-10-21,4785.0,4824.2001953125,4702.5498046875,4733.14990234375,20080,4760.16228967561,4752.519677550076,,,,,0,0,0,0,0,0,0,0,5
23,2021-10-22,4735.0,4799.75,4691.39990234375,4747.39990234375,48576,4755.8330855419945,4751.813198400778,,,,,0,0,0,0,0,0,1,0,5
24,2021-10-25,4748.10009765625,4784.7998046875,4654.60009765625,4735.4501953125,39884,4748.959321070687,4749.690911716421,,,,,0,0,0,1,0,0,0,1,5
25,2021-10-26,4735.5498046875,4778.0,4703.10009765625,4725.5,10372,4741.078809546526,4746.718677050098,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,4749.9501953125,4950.0,4725.60009765625,4783.35009765625,33423,4755.242012727297,4751.01004136677,,,,,0,0,1,0,0,0,1,0,5
27,2021-10-28,4770.0,4785.0,4730.0,4771.85009765625,16493,4760.7970698149575,4753.350627700723,,,,,0,0,0,0,0,0,0,0,10
28,2021-10-29,4850.0,5090.0,4731.0,4829.7001953125,165706,4783.817348764321,4761.609780700858,64.58600699486531,,,,0,0,0,0,1,0,1,0,10
29,2021-11-01,4855.0,4882.4501953125,4734.0,4763.75,53708,4777.118033211346,4761.83366522103,54.58628860383718,,,,0,0,0,0,0,0,0,0,10
30,2021-11-02,4784.0,4877.0,4762.35009765625,4866.9501953125,22436,4807.0925101169705,4772.503910994219,63.98351649243635,,,,0,0,0,0,1,0,0,0,10
31,2021-11-03,4889.0,4980.0,4817.7998046875,4925.7998046875,37958,4846.688400449974,4787.649275022624,68.04429179192887,,,,0,0,0,0,1,0,0,0,10
32,2021-11-04,4945.0,4970.0,4931.85009765625,4957.75,6691,4883.72564087283,4804.0494462495335,70.02055956873319,,,,0,0,0,0,1,0,0,0,5
33,2021-11-08,4950.10009765625,5067.75,4914.0498046875,5021.39990234375,48440,4929.630866380083,4824.547246288344,73.5323003283485,,,,0,0,0,0,1,0,1,0,5
34,2021-11-09,5000.10009765625,5090.0,4980.0,5018.7001953125,28775,4959.326596262255,4842.494214628825,73.14095233076155,,,,0,0,0,0,1,0,0,0,5
35,2021-11-10,4968.5,5090.0,4968.5,5073.0,28976,4997.222795940766,4863.417324729562,75.91720028052815,,,,0,0,0,0,1,0,0,0,5
36,2021-11-11,5026.0,5160.0,4872.35009765625,4911.60009765625,48312,4968.679353155174,4867.719072397425,57.04328987500645,,,,0,0,0,0,0,0,0,1,5
37,2021-11-12,4975.0,4992.0498046875,4890.10009765625,4984.2998046875,27712,4973.886479652551,4877.9714800966485,61.66622093997533,,,,0,0,0,0,1,0,0,0,5
38,2021-11-15,5033.64990234375,5055.0,4839.64990234375,4894.2998046875,31587,4947.356537355362,4879.387792607422,53.928714795415914,,,,0,0,0,0,0,0,0,0,5
39,2021-11-16,4900.0,4971.0,4869.89990234375,4897.5,14196,4930.737252797551,4880.9391891481355,54.149018079728116,,,,0,0,0,0,0,0,0,0,0
40,2021-11-17,4897.5,4983.9501953125,4897.5,4929.7001953125,13178,4930.391560884696,4885.067986539706,56.407759617657035,,,,0,0,0,0,0,0,0,0,0
41,2021-11-18,4929.7001953125,4967.4501953125,4805.0,4890.14990234375,11522,4916.977517304478,4885.49378005841,52.956981742594955,,,,0,0,0,0,0,0,0,0,0
42,2021-11-22,4900.0,4931.0,4850.0,4872.10009765625,69813,4902.018260400816,4884.382370618028,51.41121656247966,,,,0,0,0,0,0,0,0,1,0
43,2021-11-23,4872.10009765625,5023.64990234375,4789.60009765625,4974.35009765625,24505,4926.128998559085,4891.782002359224,58.75567803605322,,,,0,0,0,0,0,0,0,0,0
44,2021-11-24,5011.7001953125,5011.7001953125,4900.0,4910.9501953125,18142,4921.069379885962,4893.345759232446,53.36897820882535,,,,0,0,0,0,0,0,0,0,0
45,2021-11-25,4825.39990234375,4974.0,4825.39990234375,4935.5498046875,13121,4925.89619934084,4896.763146358841,55.08944258129691,,,,0,0,0,0,0,0,0,0,0
46,2021-11-26,4970.0,5099.0,4890.2998046875,5036.7001953125,111567,4962.830921736752,4908.016628891306,61.39643366091121,,,,0,0,0,0,1,0,1,0,0
47,2021-11-29,5036.7001953125,5084.7001953125,4890.0,4940.35009765625,152223,4955.337305990428,4910.600435603939,53.66540223862778,59.04939481696874,72.0371576254059,-12.987762808437154,0,0,0,0,0,0,0,1,5
48,2021-11-30,4966.39990234375,5080.0,4966.39990234375,5037.7998046875,26991,4982.824824433487,4920.706103305261,59.25388099911034,62.36908364412011,70.10354282914874,-7.734459185028626,0,0,0,0,0,0,0,0,5
49,2021-12-01,5061.0,5214.89990234375,4980.0,5186.4501953125,74613,5050.699979135853,4941.705957861013,65.99201065853227,76.11737147998883,71.30630855931676,4.811062920672072,1,0,0,0,1,0,1,0,5
50,2021-12-02,5220.0,5394.89990234375,5188.0,5347.0,178403,5149.466682903532,4973.575730439084,71.47806929387234,98.82877945774999,76.8108027390034,22.01797671874658,0,0,0,0,1,0,1,0,10
51,2021-12-03,5347.0,5470.0,5347.0,5423.7001953125,89750,5240.877872307317,5008.810029862362,73.66383401280174,121.61489781901219,85.77162175500516,35.84327606400703,0,0,0,0,1,0,0,0,10
52,2021-12-06,5481.0,5526.60009765625,5163.75,5253.25,120745,5245.001915430998,5027.863928556074,62.24737882389548,124.48417841536957,93.51413308707804,30.970045328291533,0,0,0,0,1,0,0,1,10
53,2021-12-07,5294.0,5410.0,5222.9501953125,5393.2001953125,60742,5294.4013465257385,5056.231667752569,66.79736610937597,136.47768530735448,102.10684353113332,34.370841776221155,0,0,0,0,1,0,0,0,10
54,2021-12-08,5407.0498046875,5549.0,5407.0498046875,5503.4501953125,74031,5364.084300322638,5090.833749533402,69.87733440488917,153.11387805398226,112.30825043570312,40.805627618279146,0,0,0,0,1,0,0,0,10
55,2021-12-09,5549.0,5564.75,5433.75,5467.85009765625,32267,5398.6729008241155,5119.908287063939,67.6937033710706,161.56315087088205,122.15923052273891,39.403920348143146,0,0,0,0,1,0,0,0,5
56,2021-12-10,5400.0,5660.0,5400.0,5578.14990234375,47629,5458.498569600437,5155.139488059157,70.74415289658121,175.14062082077908,132.75550858234695,42.38511223843213,0,0,0,0,1,0,0,0,0
57,2021-12-13,5660.39990234375,5660.39990234375,5476.0,5515.60009765625,40832,5477.532412625734,5182.775307307146,66.88710556943414,178.792607207356,141.96292830734876,36.82967890000725,0,0,0,0,1,0,0,0,0
58,2021-12-14,5509.0,5557.7001953125,5441.64990234375,5487.89990234375,23287,5480.9882425728965,5206.108095958772,65.19198657914377,177.4066253233941,149.05166771055784,28.354957612836273,0,0,0,0,1,0,0,0,0
59,2021-12-15,5516.0,5558.0,5445.0,5478.14990234375,47380,5480.0421291556695,5226.861336261916,64.57168006716621,173.52123637928162,153.9455814443026,19.575654934979013,0,0,0,0,1,0,0,1,0
60,2021-12-16,5539.0,5540.89990234375,5108.0498046875,5137.5,129861,5365.861418832742,5220.059284378803,47.548598443586485,141.32532706084112,151.42153056761032,-10.0962035067692,0,1,0,0,0,0,0,1,0
61,2021-12-17,5164.0,5198.75,5006.14990234375,5036.39990234375,119799,5256.0409129488835,5206.107928305477,43.85348169776473,106.42510168993067,142.4222447920744,-35.997143102143724,0,0,0,0,0,0,0,1,0
62,2021-12-20,4964.85009765625,5031.89990234375,4890.0,4991.85009765625,117829,5167.977307644171,5189.862904922058,42.29376505827936,74.31496802893344,128.8007894394462,-54.485821410512756,0,0,0,1,0,0,0,1,0
63,2021-12-21,5031.0,5080.0,4971.39990234375,5060.10009765625,214270,5132.018237591801,5180.0414394137415,45.492229864986946,53.75500612326323,113.7916327762096,-60.03662665294637,0,0,0,0,0,0,1,0,0
64,2021-12-22,5064.0,5220.0,5064.0,5184.2998046875,25735,5149.445426641922,5180.363226561164,50.832903044681665,46.941850135578534,100.42167624808339,-53.47982611250485,0,0,0,0,0,0,0,0,5
65,2021-12-23,5222.0,5280.89990234375,5055.0498046875,5084.39990234375,63676,5127.763585194085,5173.122474728937,46.856109981502975,33.099734572101625,86.95728791288704,-53.857553340785415,0,0,0,0,0,0,0,0,5
66,2021-12-24,5124.89990234375,5140.0,5006.14990234375,5021.64990234375,58359,5092.392357560871,5161.709107478214,44.501102968126986,16.871869277956648,72.94020418590097,-56.06833490794432,0,0,0,0,0,0,0,0,5
67,2021-12-27,5033.7998046875,5128.4501953125,4961.7001953125,5083.2001953125,38067,5089.328303477131,5155.801042853305,47.299086752302316,8.87545266862162,60.127253882445096,-51.25180121382348,0,0,0,0,0,0,0,0,5
68,2021-12-28,5132.0,5140.0,5068.85009765625,5091.14990234375,30905,5089.935503099463,5150.941554072779,47.666073048881294,3.1434738043290054,48.73049786682188,-45.58702406249287,0,0,0,0,0,0,0,0,5
