,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,329.0,348.29998779296875,328.6499938964844,345.79998779296875,25700239,345.79998779296875,345.79998779296875,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,335.0,338.8999938964844,324.1000061035156,326.5,14456522,334.21999511718747,335.77884028508106,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,329.75,333.75,323.70001220703125,328.1000061035156,5890547,331.32105295281656,333.0199097191071,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,331.70001220703125,335.29998779296875,327.0,328.1499938964844,2933368,330.0038438063401,331.6584940683759,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,328.8999938964844,330.8999938964844,319.20001220703125,323.3999938964844,4209139,327.4687165897604,329.7433138155134,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,329.0,337.0,324.6499938964844,331.95001220703125,5365062,329.1062426574248,330.1852979033394,,,,,0,0,0,0,0,0,0,0,0
20,2021-10-19,335.95001220703125,337.5,315.0,315.79998779296875,8157966,324.3950917122143,327.6269450716808,,,,,0,0,0,0,0,0,0,1,0
21,2021-10-20,316.0,320.3500061035156,311.0,316.6000061035156,5166167,321.69122934485125,325.8502319748235,,,,,0,0,0,0,0,0,0,0,0
22,2021-10-21,319.75,323.25,310.45001220703125,316.5,6357322,319.91460549989955,324.4643223311009,,,,,0,0,0,0,0,0,0,0,0
23,2021-10-22,318.45001220703125,327.0,314.6499938964844,323.25,6112932,321.0460241977966,324.2967576680293,,,,,0,0,0,0,0,0,0,0,0
24,2021-10-25,327.5,327.5,308.0,310.79998779296875,9470478,317.59073202783173,322.5462223394511,,,,,0,0,0,0,0,0,0,1,0
25,2021-10-26,313.0,315.79998779296875,299.20001220703125,305.3999938964844,11208268,313.4955899713909,320.43953801220084,,,,,0,0,0,0,0,0,0,1,0
26,2021-10-27,309.0,309.0,295.04998779296875,296.1499938964844,9366556,307.6838626149214,317.5940223002362,,,,,0,0,0,0,0,0,0,1,0
27,2021-10-28,297.1499938964844,310.25,294.04998779296875,298.29998779296875,15471570,304.5451527298024,315.4270726112702,,,,,0,0,0,0,0,0,1,0,0
28,2021-10-29,301.6000061035156,303.5,290.45001220703125,291.45001220703125,12331951,300.1701147973642,312.83334200392693,21.136504783625078,,,,0,0,0,0,0,1,0,1,5
29,2021-11-01,279.0,290.75,272.5,287.75,31131994,296.0237639660248,310.20941837558024,20.27828480248873,,,,0,0,0,0,0,1,0,1,5
30,2021-11-02,289.45001220703125,313.3500061035156,284.5,311.0,26684503,301.020914548108,310.28966931450475,37.46190238756854,,,,0,0,0,0,0,1,1,0,5
31,2021-11-03,306.0,309.70001220703125,297.6499938964844,300.3500061035156,11919681,300.7971269764034,309.30764811339293,33.86146851386378,,,,0,0,0,0,0,1,0,0,5
32,2021-11-04,304.95001220703125,304.95001220703125,298.5,299.5,1326984,300.364556187952,308.36204891965457,33.58403732453314,,,,0,0,0,0,0,1,0,0,5
33,2021-11-08,299.5,303.20001220703125,292.1499938964844,295.5,7635103,298.7425496747898,307.1490599451562,32.245172208975795,,,,0,0,0,0,0,1,0,0,5
34,2021-11-09,297.1000061035156,308.5,295.54998779296875,306.8999938964844,13258081,301.46224300850895,307.126036959862,39.63172792801239,,,,0,0,0,0,0,1,1,0,5
35,2021-11-10,306.3999938964844,318.5,302.0,311.1499938964844,12423772,304.6919249746916,307.49129327605385,42.16321029109593,,,,0,0,0,0,0,0,1,0,5
36,2021-11-11,306.5,313.6000061035156,304.8500061035156,306.8500061035156,5963149,305.41134945513215,307.43403929436425,40.32091388950597,,,,0,0,0,0,0,0,0,0,5
37,2021-11-12,309.70001220703125,311.70001220703125,304.1000061035156,310.8999938964844,4369452,307.2410062897059,307.7388442046604,42.8536252203557,,,,0,0,0,0,0,0,0,0,5
38,2021-11-15,311.0,314.6499938964844,309.1499938964844,312.6000061035156,3239724,309.02741030637645,308.16049949304806,43.9293037184134,,,,0,0,1,0,0,0,0,0,5
39,2021-11-16,313.20001220703125,318.8999938964844,313.20001220703125,316.29998779296875,5542409,311.4516668057181,308.8576853035886,46.298559537437846,,,,0,0,0,0,0,0,0,0,10
40,2021-11-17,315.8999938964844,317.6499938964844,309.79998779296875,311.20001220703125,3309474,311.3677804630102,309.0560198739734,43.56595697848603,,,,0,0,0,0,0,0,0,0,10
41,2021-11-18,311.20001220703125,312.6499938964844,303.25,305.45001220703125,3442584,309.395167897786,308.7538868296284,40.65267482398144,,,,0,0,0,0,0,0,0,0,5
42,2021-11-22,306.0,307.79998779296875,293.1000061035156,296.8999938964844,6095099,305.2300773153372,307.7702493119092,36.72054136951776,,,,0,0,0,1,0,1,0,1,5
