,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,84.75,88.9000015258789,83.3499984741211,88.0999984741211,81657382,88.0999984741211,88.0999984741211,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,89.69999694824219,90.1999969482422,87.0999984741211,87.5,73810234,87.73999938964845,87.7884608048659,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,87.44999694824219,88.75,86.30000305175781,88.0999984741211,50251340,87.91052527176706,87.90039326464266,,,,,0,0,1,0,0,0,0,0,0
17,2021-10-13,88.94999694824219,89.1500015258789,87.55000305175781,87.8499984741211,37149033,87.88538337120642,87.88630508344399,,,,,0,0,0,1,0,0,0,0,0
18,2021-10-14,88.25,89.3499984741211,88.0999984741211,88.75,35030330,88.21729781164376,88.08659949698847,,,,,0,0,1,0,0,0,0,0,0
19,2021-10-18,90.5,93.5,89.25,93.0500030517578,109088221,89.98323371141475,89.08072964232215,,,,,0,0,0,0,0,0,1,0,5
20,2021-10-19,94.5,94.9000015258789,88.55000305175781,89.3499984741211,80356848,89.75903337727824,89.12861770820497,,,,,0,0,0,0,0,0,0,1,10
21,2021-10-20,89.0999984741211,93.0999984741211,86.9000015258789,92.1999969482422,76835176,90.60572446842784,89.62349300741032,,,,,0,0,0,0,0,0,1,0,10
22,2021-10-21,93.3499984741211,95.9000015258789,91.4000015258789,95.4499969482422,130557379,92.26360729874771,90.48710880031572,,,,,0,0,0,0,0,0,1,0,10
23,2021-10-22,96.1999969482422,97.4000015258789,93.8000030517578,94.5500030517578,82861993,93.03918898951028,91.04774866413305,,,,,0,0,0,0,0,0,0,0,10
24,2021-10-25,95.5,100.1999969482422,94.0999984741211,96.5,142700372,94.20628548554058,91.7549073896707,,,,,0,0,0,0,0,0,1,0,5
25,2021-10-26,96.9000015258789,103.4000015258789,96.5,99.9000015258789,148211296,96.1189322640211,92.75566054175917,,,,,0,0,0,0,0,0,1,0,5
26,2021-10-27,100.9000015258789,103.75,98.9000015258789,102.5999984741211,70719485,98.29044540370613,93.90892295487708,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,100.1999969482422,101.4499969482422,97.4000015258789,97.8000030517578,62486211,98.12640269348796,94.34593755659253,,,,,0,0,0,0,0,0,0,0,5
28,2021-10-29,96.9000015258789,101.1500015258789,93.0,97.5,76217130,97.91712387435457,94.68712985285465,65.40984242169549,,,,0,0,0,0,1,0,0,0,5
29,2021-11-01,98.4000015258789,99.4000015258789,97.25,99.0500030517578,30772894,98.29532605651394,95.14352222960774,67.20469655520381,,,,0,0,0,0,1,0,0,0,5
30,2021-11-02,98.9499969482422,102.8000030517578,98.8000030517578,102.3000030517578,61862153,99.63157462607701,95.86996752966674,70.64427288864765,,,,0,0,0,0,1,0,0,0,5
31,2021-11-03,102.6999969482422,104.3499984741211,100.1999969482422,100.9000015258789,69238647,100.05466987562924,96.36692602028565,67.36658452670852,,,,0,0,0,0,1,0,0,1,0
32,2021-11-04,102.3499984741211,103.25,102.0,102.5999984741211,10830881,100.90349564114554,96.96788439671954,69.23329110563893,,,,0,0,0,0,1,0,0,0,0
33,2021-11-08,103.0,106.4000015258789,101.4499969482422,105.6500015258789,66190588,102.48614021597196,97.78667403270674,72.29528315820025,,,,0,0,0,0,1,0,1,0,0
34,2021-11-09,106.1999969482422,107.1999969482422,104.6999969482422,106.3499984741211,53688615,103.7743512366709,98.57824435606153,72.96040880492113,,,,0,0,0,0,1,0,0,0,5
35,2021-11-10,105.3000030517578,108.0,99.25,100.6999969482422,113046964,102.74942948570818,98.77083675898642,60.36355979951355,,,,0,0,0,0,1,0,0,1,5
36,2021-11-11,102.3000030517578,103.0999984741211,100.25,101.3000030517578,52639047,102.2662442869433,98.99664018499766,61.13104379803861,,,,0,0,0,0,1,0,0,0,5
37,2021-11-12,102.25,102.75,99.8000030517578,101.3499984741211,25655521,101.96081087228278,99.20360053057522,61.198462886091306,,,,0,0,0,0,1,0,0,0,5
38,2021-11-15,102.0,102.4499969482422,98.0,98.9000015258789,25227908,100.94050068369341,99.17726647124064,56.06628435026182,,,,0,0,0,0,0,0,0,0,5
39,2021-11-16,99.0,99.9499969482422,96.0500030517578,96.75,29306507,99.54363024310092,98.96935957589363,51.94912754140517,,,,0,0,0,0,0,0,0,0,0
40,2021-11-17,96.0,98.8499984741211,95.5,97.5500030517578,36609592,98.87907614920597,98.84917674999363,53.32266111780075,,,,0,0,0,0,0,0,0,0,0
41,2021-11-18,97.9000015258789,98.6999969482422,95.6500015258789,96.25,33211505,98.00270714952181,98.63140206485764,50.78234275972095,,,,0,0,0,1,0,0,0,0,0
42,2021-11-22,96.5,96.9000015258789,89.44999694824219,90.8499984741211,48614287,95.61845227321453,97.98570022196664,41.86117104052234,,,,0,0,0,0,0,0,0,1,0
43,2021-11-23,90.0,93.8000030517578,89.4000015258789,93.4000015258789,39536347,94.87896483427204,97.6085374020955,46.62925538833061,,,,0,0,0,0,0,0,0,0,0
