,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,17481.44921875,17839.349609375,17301.0,17696.849609375,81400,17696.849609375,17696.849609375,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,17765.0,18320.0,17752.44921875,17789.5,80381,17752.439843750002,17744.95654296875,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,17789.5,18288.0,17714.19921875,18093.55078125,73119,17914.01870888158,17870.20306820632,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,18199.0,18570.0,17836.55078125,17910.0,71000,17912.349399038463,17881.328551226645,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,18070.0,18200.0,17810.05078125,17863.849609375,30860,17893.730996371447,17877.275112517626,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,17999.75,18112.44921875,17620.0,17659.650390625,28231,17808.194775023498,17833.686616435047,,,,,0,0,0,1,0,0,0,0,5
20,2021-10-19,17740.0,17841.150390625,17185.80078125,17258.400390625,38110,17613.537122655114,17731.37494337947,,,,,0,0,0,0,0,0,0,0,5
21,2021-10-20,17260.0,17435.55078125,17001.900390625,17145.30078125,33419,17451.121122868757,17636.9438739239,,,,,0,0,0,0,0,0,0,0,0
22,2021-10-21,17140.0,17242.75,16890.0,17117.849609375,22924,17337.06372367036,17560.002708274053,,,,,0,0,0,0,0,0,0,0,0
23,2021-10-22,17155.0,17460.0,16827.69921875,16931.25,24198,17199.405274329496,17473.240953986104,,,,,0,0,0,0,0,0,0,0,0
24,2021-10-25,17000.0,17000.0,16500.0,16609.44921875,27959,17000.453166516694,17361.20689227637,,,,,0,0,0,0,0,0,0,0,0
25,2021-10-26,16692.0,17079.0,16660.0,17021.80078125,22206,17007.624308572013,17319.505503714412,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,17100.0,17145.349609375,16850.44921875,16939.400390625,16029,16984.765549000655,17274.9762582769,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,16919.900390625,17002.94921875,16600.0,16712.150390625,27756,16893.581479662345,17211.76421528035,,,,,0,0,0,0,0,0,0,1,0
28,2021-10-29,16720.0,17040.349609375,16515.900390625,16952.30078125,19471,16913.19938077349,17183.69662738655,36.905371212969555,,,,0,0,0,0,0,1,0,0,0
29,2021-11-01,17037.05078125,17839.650390625,17019.349609375,17563.19921875,93824,17130.196358058787,17223.39571598254,48.76232472845568,,,,0,0,0,0,0,0,1,0,0
30,2021-11-02,17575.0,17903.349609375,17540.0,17745.75,22481,17335.589370906055,17276.419237461938,51.68424818198445,,,,0,0,1,0,0,0,0,0,5
31,2021-11-03,17829.0,17888.94921875,17550.650390625,17735.19921875,22119,17468.882845148415,17321.74589076066,51.50144471178398,,,,0,0,0,0,0,0,0,0,10
32,2021-11-04,17800.0,17864.80078125,17707.650390625,17779.849609375,3175,17572.585212634935,17365.913717946336,52.27081529249645,,,,0,0,0,0,0,0,0,0,10
33,2021-11-08,17787.0,18350.0,17721.099609375,18245.44921875,42094,17796.940684793757,17448.860600812288,59.48792475875061,,,,0,0,0,0,0,0,1,0,10
34,2021-11-09,18350.0,18889.0,18271.0,18762.0,107274,18118.69162968281,17570.24362044867,65.68695355177579,,,,0,0,0,0,1,0,1,0,10
35,2021-11-10,18500.0,19250.0,17905.94921875,18784.69921875,291611,18340.723835570858,17680.480281774973,65.93364122554759,,,,0,0,0,0,1,0,1,0,10
36,2021-11-11,18699.94921875,18777.400390625,18052.0,18249.900390625,119078,18310.446656080578,17731.31798737999,55.76200593314695,,,,0,0,0,0,0,0,0,0,5
37,2021-11-12,18344.5,18700.0,18000.150390625,18565.75,69916,18395.55282629856,17804.700072246098,59.71479697508077,,,,0,0,0,0,0,0,0,0,5
