,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,553.7999877929689,553.7999877929689,549.0,549.7999877929689,1129279,549.7999877929689,549.7999877929689,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,554.0,554.2000122070311,546.4500122070311,548.4500122070311,1227493,548.9900024414062,549.0990389310397,,,,,0,0,0,1,0,0,0,1,0
16,2021-10-12,548.75,557.0,535.0499877929689,541.4000244140625,1909589,545.3947496916118,546.3328577664876,,,,,0,0,0,0,0,0,0,1,0
17,2021-10-13,542.5,547.2999877929689,538.25,545.6500244140625,1223053,545.5007868840144,546.14196740068,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,548.9000244140625,552.0,543.0,544.0999755859375,1557711,544.9630346795394,545.668421076444,,,,,0,0,0,0,0,0,0,1,0
19,2021-10-18,544.0999755859375,546.0,531.0,534.2999877929689,1547343,541.0666130352738,543.3914145611351,,,,,0,0,0,0,0,0,0,1,0
20,2021-10-19,534.2999877929689,536.0,524.0,527.0999755859375,1285363,536.1216500918225,540.4940665919771,,,,,0,0,0,0,0,0,0,0,0
21,2021-10-20,526.0999755859375,527.9000244140625,515.0,517.2000122070311,1159491,529.5583476248853,536.7408172428944,,,,,0,0,0,0,0,0,0,0,0
22,2021-10-21,518.3499755859375,522.5,505.0499877929688,510.6000061035156,1131700,523.0701269414725,532.8661751644576,,,,,0,0,0,0,0,0,0,0,0
23,2021-10-22,511.0,518.0,501.0,502.3999938964844,1113599,516.0584900827995,528.6621386673108,,,,,0,0,0,0,0,0,0,0,0
24,2021-10-25,503.0,504.8999938964844,490.0,498.8999938964844,1578920,510.2720947218567,524.8019790618737,,,,,0,0,0,0,0,0,0,1,0
25,2021-10-26,502.0,510.0,497.95001220703125,508.7999877929688,1921489,509.77758102374315,522.8358823005287,,,,,0,0,0,0,0,0,1,0,0
26,2021-10-27,511.95001220703125,514.7999877929689,507.6000061035156,509.20001220703125,1506321,509.5840637483591,521.238442578626,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,511.0,511.0,489.6000061035156,491.70001220703125,1987837,503.6022225128573,517.9209253179326,,,,,0,0,0,0,0,0,0,1,5
28,2021-10-29,492.5,512.0,489.45001220703125,502.7999877929688,3356396,503.334198865144,516.2852102715924,26.093588079081222,,,,0,0,0,0,0,1,1,0,5
29,2021-11-01,506.0,509.1000061035156,500.1499938964844,501.45001220703125,1553580,502.70517900150134,514.7333266857962,25.71329806803982,,,,0,0,0,0,0,1,0,0,5
30,2021-11-02,503.0,504.20001220703125,490.0,495.5,2044900,500.30101253673115,512.7809760650621,24.04963193553417,,,,0,0,0,0,0,1,0,1,5
31,2021-11-03,497.25,498.45001220703125,486.0499877929688,490.5,1684324,497.03179627701576,510.5796549123327,22.71935743403367,,,,0,0,0,0,0,1,0,0,5
32,2021-11-04,493.7999877929688,493.8999938964844,490.0499877929688,491.75,221741,495.2704029658357,508.76420371571413,23.853345160009436,,,,0,0,0,0,0,1,0,0,5
33,2021-11-08,497.8999938964844,497.8999938964844,486.6499938964844,494.5,1310748,495.0135247265752,507.41898088650225,26.411660055935492,,,,0,0,0,0,0,1,0,0,5
34,2021-11-09,509.95001220703125,509.95001220703125,494.0,498.3999938964844,4841426,496.14257414155657,506.58529036165254,30.003330363617593,,,,0,0,0,0,0,1,1,0,0
35,2021-11-10,498.5,504.8999938964844,495.1000061035156,502.0499877929688,1443402,498.1119752499633,506.1736189806851,33.2852087528926,,,,0,0,0,0,0,1,0,0,5
36,2021-11-11,502.0,502.0,491.0,491.95001220703125,1483860,496.0578045325395,504.90373840821843,29.204729582051765,,,,0,0,0,0,0,1,0,0,5
37,2021-11-12,492.5,495.1499938964844,487.25,492.6000061035156,1229164,494.9051365840427,503.8217167282032,29.801164997101417,,,,0,0,0,0,0,1,0,0,5
38,2021-11-15,492.0,498.0,488.1499938964844,493.2999877929688,1410869,494.3700657970763,502.90906606138054,30.480413117182497,,,,0,0,0,0,0,1,0,0,5
39,2021-11-16,495.3999938964844,497.20001220703125,478.5,480.6000061035156,1960972,489.7799247129861,500.99818917624845,25.634041411616508,,,,0,0,0,0,0,1,0,1,5
40,2021-11-17,479.95001220703125,482.5499877929688,471.0,472.1000061035156,2006705,483.88651478024053,498.55125970786037,22.99835814892356,,,,0,0,0,0,0,1,0,1,0
41,2021-11-18,473.0,475.0,461.25,462.6499938964844,1781303,476.80759142182427,495.5432353947484,20.477485576992276,,,,0,0,0,0,0,1,0,0,0
42,2021-11-22,463.3999938964844,467.0,452.7999877929688,456.2999877929688,1875917,469.9716700705697,492.2868258020545,18.972587519558076,,,,0,0,0,0,0,1,0,1,0
43,2021-11-23,455.0,465.95001220703125,451.3500061035156,463.45001220703125,1116135,467.79777277897585,489.91506641435717,25.602486892429138,,,,0,0,0,0,0,1,0,0,0
