,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,585.0,585.2999877929688,568.0,569.0999755859375,1462742,569.0999755859375,569.0999755859375,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,566.0,580.0999755859375,566.0,570.3499755859375,1104683,569.8499755859375,569.749014047476,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,571.75,576.7000122070312,566.6500244140625,573.0999755859375,1139526,571.3894492701479,570.9529819930345,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,576.1500244140625,600.4000244140625,573.1500244140625,594.5,2968636,580.9892164963942,577.5356992329945,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,596.0,609.9500122070312,586.25,594.0,3279153,585.9838774622334,581.3538384895003,,,,,0,0,0,0,0,0,0,1,0
19,2021-10-18,594.0,610.0,586.9000244140625,598.75,2760568,590.6487914121241,584.8381508932465,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,600.5,634.0,588.9500122070312,608.25,4247224,596.8805937727659,589.001826893074,,,,,0,0,0,0,0,0,1,0,10
21,2021-10-20,610.2999877929688,616.0999755859375,590.0499877929688,594.7999877929688,2395624,596.1588990419465,589.9360542827667,,,,,0,0,0,0,0,0,0,0,5
22,2021-10-21,600.7000122070312,623.9000244140625,592.0,614.1500244140625,4177273,602.3161038599765,593.5250962239863,,,,,0,0,0,0,0,0,1,0,5
23,2021-10-22,614.0,620.2999877929688,594.2000122070312,598.4000244140625,3648203,600.9877076215633,594.1977888680623,,,,,0,0,0,0,0,0,0,1,5
24,2021-10-25,600.0,602.2000122070312,561.25,577.2999877929688,2083330,592.9994485900515,592.0061387153917,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,578.4500122070312,611.75,578.3499755859375,604.9000244140625,3596997,596.9971186267373,593.5903557348429,,,,,0,0,0,0,0,0,1,0,5
26,2021-10-27,607.0,631.25,603.2999877929688,623.5,3816610,605.8770395033157,597.0942651655971,,,,,0,0,0,0,0,0,1,0,5
27,2021-10-28,622.0,630.0,603.5,609.0,1790909,606.9216044796993,598.431420874871,,,,,0,0,0,0,0,0,0,0,5
28,2021-10-29,609.0,634.0499877929688,588.75,614.75,3373992,609.5370424195892,600.1966914056037,62.95035256652221,,,,0,0,0,0,1,0,1,0,5
29,2021-11-01,630.0,631.7000122070312,554.2000122070311,588.6500244140625,11275046,602.5640871865348,598.9888151846833,54.29206994329488,,,,0,0,0,0,0,0,0,1,5
30,2021-11-02,588.0,613.5499877929688,586.0,609.7999877929688,2877599,604.9785045905679,600.0862436169804,59.1904210058597,,,,0,0,0,0,0,0,0,0,5
31,2021-11-03,605.0,617.0,605.0,612.8499755859375,2025687,607.604104840491,601.3472778324019,59.85849591235899,,,,0,0,0,0,0,0,0,0,5
32,2021-11-04,615.7999877929688,619.0,609.5499877929688,615.0499877929688,228055,610.0871859251205,602.6684173493314,60.36255376372044,,,,0,0,0,0,1,0,0,0,5
