,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,613.505342894045,618.3353460418948,603.4968673982572,604.4927368164062,3407806,604.4927368164062,604.4927368164062,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,607.4803858195878,608.476255304538,604.4927773647372,606.135986328125,1426583,605.4786865234375,605.345962524414,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,608.4762277066565,619.0324194551242,607.4803582668746,614.2522583007812,2801156,609.6345889442845,608.5459081237101,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,618.8830588295228,622.4183830888585,613.5551210004551,621.2233276367188,1499629,614.4483727088341,612.0899606216443,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,623.4142520063373,625.3064282026418,609.9202336283042,612.6588745117188,2722324,613.7614089459604,612.2218940992942,,,,,0,0,0,0,0,0,0,1,0
19,2021-10-18,629.389527613848,629.389527613848,610.0696348896963,611.61328125,1464144,612.9764540134516,612.0999937997025,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,612.4597273853781,617.737823448512,601.6047257900435,602.75,1524974,609.3557230878537,610.4371458715084,,,,,0,0,0,1,0,0,0,0,10
21,2021-10-20,604.4927905088972,605.3392552762906,588.6086597219461,590.2020874023438,2784702,602.7119481085974,607.1767765612555,,,,,0,0,0,0,0,0,0,1,5
22,2021-10-21,596.0278817601318,596.5258164984442,582.8326111948488,584.9737548828125,1925145,596.6413056927415,603.8858013269734,,,,,0,0,0,0,0,0,0,0,0
23,2021-10-22,589.4551496649137,594.534059528572,582.5836261712137,588.3098754882812,1407275,593.8151524706064,601.7364751568585,,,,,0,0,0,0,0,0,0,0,0
24,2021-10-25,589.5547415434597,590.7995784132728,574.1685456759602,578.89892578125,1462238,588.784922316352,598.7744377678961,,,,,0,0,0,0,0,0,0,0,0
25,2021-10-26,579.5960088770014,581.537966424178,572.0772068291068,578.9486694335938,1949684,585.4807046041864,596.3385297450619,,,,,0,0,0,0,0,0,1,0,0
26,2021-10-27,581.5877512509808,595.4801420547668,580.9404118036642,589.2061767578125,3252371,586.728942389587,595.5029758790935,,,,,0,0,0,0,0,0,1,0,5
27,2021-10-28,591.5464476287423,591.8949776196819,584.0276455099357,587.2642211914062,1105554,586.9079819546326,594.5776656801702,,,,,0,0,0,0,0,0,0,0,5
28,2021-10-29,587.4634347955774,591.3472893257157,580.0441949595413,583.4301147460938,1980982,585.7460394054189,593.3717737331524,37.1271963855134,,,,0,0,0,0,0,1,0,1,5
29,2021-11-01,585.5712556456626,598.3183728636523,584.575386163272,594.5838623046875,3104045,588.6964722253628,593.4985681548048,45.17657511031409,,,,0,0,0,0,0,0,1,0,5
30,2021-11-02,597.3722647659426,602.4014541106433,586.3181381934758,595.5797119140625,6908391,590.9932165567803,593.7098224207257,45.84324342005112,,,,0,0,0,0,0,0,1,0,5
31,2021-11-03,605.4886212492319,609.7708476968522,598.2685677886119,608.028076171875,7257690,596.6753478495345,595.1244406475265,53.46155499208124,,,,0,0,1,0,0,0,1,0,5
32,2021-11-04,613.4555982805533,613.6050030154323,609.2231530002085,610.0198364257812,276957,601.1255181489086,596.5605723353159,54.56290682871248,,,,0,0,0,0,0,0,0,0,10
33,2021-11-08,622.418415518058,622.418415518058,602.0030914890658,604.2935791015625,2428555,602.1818561375676,597.2898536501183,50.83795415421742,,,,0,0,0,0,0,0,0,0,10
34,2021-11-09,603.4969185442751,606.8828991661596,597.6711062675878,600.70849609375,876256,601.6906376406416,597.6058636206681,48.600879745861825,,,,0,0,0,0,0,0,0,0,10
35,2021-11-10,598.7167407811451,604.3932089476682,595.5299463031805,602.75,1801639,602.0438056305327,598.0727991106587,49.9514571669837,,,,0,0,0,0,0,0,0,0,10
36,2021-11-11,604.7000122070312,604.7000122070312,595.0,599.0,2031771,601.029113339747,598.1555794078706,47.48331286890505,,,,0,0,0,0,0,0,0,0,10
