,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,423.95001220703125,425.3999938964844,412.5,415.8500061035156,7456612,415.8500061035156,415.8500061035156,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,418.0,437.8999938964844,416.0,424.8500061035156,13587772,421.2500061035156,420.52308302659253,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,426.2999877929688,432.3500061035156,419.5499877929688,429.0,9631321,424.92105584395557,423.5687569909169,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,431.7999877929688,435.7999877929688,426.0,427.5,6351171,425.9923095703125,424.6677607425898,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,430.5,444.7999877929688,429.3999938964844,434.8999938964844,12094977,429.411847155241,427.04065781483587,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,429.2999877929688,449.70001220703125,429.0,441.75,8330640,433.9203751872357,429.98682173701957,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,443.0,444.95001220703125,410.2999877929688,414.45001220703125,8662895,427.0267886828311,427.2236807027967,,,,,0,0,0,1,0,0,0,0,10
21,2021-10-20,416.8999938964844,420.3999938964844,405.2999877929688,412.95001220703125,9537787,422.1440114976489,424.9238390305211,,,,,0,0,0,0,0,0,0,1,5
22,2021-10-21,415.0,417.0,398.1499938964844,407.1000061035156,10677501,416.9954162553085,422.28195570525696,,,,,0,0,0,0,0,0,0,1,5
23,2021-10-22,411.0,418.5,406.7999877929688,413.6499938964844,8070605,415.8605959487383,421.0908289878365,,,,,0,0,0,0,0,0,0,0,5
24,2021-10-25,414.8999938964844,414.8999938964844,391.5,401.1499938964844,7158126,410.8997090185814,418.5044963592225,,,,,0,0,0,0,0,0,0,0,0
25,2021-10-26,403.0,417.1499938964844,402.3500061035156,415.8500061035156,5111958,412.5626247145771,418.17835040606803,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,415.7999877929688,422.70001220703125,412.0,414.3999938964844,6585855,413.1782443042592,417.73571662248594,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,414.5,415.0,394.20001220703125,396.5499877929688,7192680,407.6164402441512,415.3563071485188,,,,,0,0,0,0,0,0,0,1,0
28,2021-10-29,402.8999938964844,409.7999877929688,388.20001220703125,398.6000061035156,15011614,404.60408300277476,413.54368582824225,42.73072210259253,,,,0,0,0,0,0,0,1,0,0
29,2021-11-01,404.3500061035156,415.0,403.0499877929688,408.8500061035156,12418986,406.02154870786603,413.05268837137726,47.605208197197875,,,,0,0,0,0,0,0,1,0,5
30,2021-11-02,412.0,431.8999938964844,411.1499938964844,430.0499877929688,19028658,414.03916595750553,414.77806269786095,55.95539436525937,,,,0,0,0,0,0,0,1,0,5
