,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,4906.64990234375,4946.64990234375,4821.0,4849.2001953125,348310,4849.2001953125,4849.2001953125,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,4870.0,4921.5,4827.89990234375,4894.35009765625,688064,4876.290136718751,4872.64341383714,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,4900.0,4957.0,4856.0,4910.2998046875,285488,4892.399979440789,4886.172989455628,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,4909.0,4946.0,4890.10009765625,4928.4501953125,241596,4907.374684495192,4897.991848717088,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,4924.0,5009.64990234375,4914.0498046875,4958.7001953125,292060,4927.077842676244,4912.070364690146,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,4945.0,4974.9501953125,4865.64990234375,4877.5,333651,4908.9614279840225,4905.146196366047,,,,,0,0,0,0,0,0,0,1,10
20,2021-10-19,4905.0,4920.0,4790.0,4801.7998046875,539719,4871.020280153442,4886.76657633951,,,,,0,0,0,1,0,0,0,1,10
21,2021-10-20,4801.0498046875,4844.4501953125,4718.0,4753.89990234375,316097,4830.395019841024,4865.358462945062,,,,,0,0,0,0,0,0,0,0,0
22,2021-10-21,4780.0,4788.7998046875,4600.0,4651.64990234375,516800,4769.222065070819,4833.682162733373,,,,,0,0,0,0,0,0,0,1,0
23,2021-10-22,4655.0,4687.7998046875,4593.25,4637.4501953125,362996,4724.52295757486,4806.604061093785,,,,,0,0,0,0,0,0,0,0,0
24,2021-10-25,4650.89990234375,4699.0,4537.0,4676.14990234375,276167,4708.210011536666,4789.684115375969,,,,,0,0,0,0,0,0,0,0,0
25,2021-10-26,4695.0,4698.7998046875,4637.0,4666.2001953125,272713,4694.09797308999,4774.512170132708,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,4655.5,4728.0,4647.0498046875,4662.7001953125,385808,4683.577993075825,4761.413417450445,,,,,0,0,0,0,0,0,0,1,0
27,2021-10-28,4675.0,4689.7001953125,4551.0498046875,4569.9501953125,268395,4645.571870996094,4739.9098190452505,,,,,0,0,0,0,0,0,0,0,0
28,2021-10-29,4593.0,4917.85009765625,4526.0498046875,4659.2001953125,1945164,4650.1250436585915,4731.179014774274,35.712124572413884,,,,0,0,0,0,0,1,1,0,0
29,2021-11-01,4685.0,4834.9501953125,4629.0498046875,4801.4501953125,676701,4700.643672399117,4738.529957522542,47.75039330377652,,,,0,0,0,0,0,0,0,0,5
