,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,1397.5309927940511,1402.020491115267,1362.9618313636004,1368.2493896484375,566246,1368.2493896484375,1368.2493896484375,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,1379.2237873785557,1406.5598695380536,1366.1543826403315,1378.924560546875,836394,1374.6544921875,1373.7922668457031,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,1383.7631427675585,1424.6175285857069,1380.0718262126336,1416.935546875,1358251,1394.6823601973683,1389.2932284727892,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,1434.6441616929026,1434.6441616929026,1395.7351753882965,1406.41015625,1406850,1399.55390625,1394.0783734767494,,,,,0,0,0,0,0,0,0,1,0
18,2021-10-14,1410.4008414443194,1476.3466832593713,1401.8209353668294,1470.659912109375,1827348,1426.8505246130776,1411.8379481537872,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,1483.1806884088696,1500.9390761859022,1436.839013854266,1451.30517578125,1694567,1435.7865851151316,1419.7429190682528,,,,,0,0,0,0,0,0,0,1,10
20,2021-10-19,1466.3699436966708,1479.090188737511,1407.80686012366,1420.477294921875,951188,1430.366248762104,1419.873524006916,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,1426.6627874102091,1430.5537102784147,1374.9338148951144,1403.4171142578125,1193058,1421.0184680863092,1417.2219886340538,,,,,0,0,0,0,0,0,0,0,5
22,2021-10-21,1350.8401061246484,1361.764502877289,1207.475514329137,1282.79931640625,8213470,1373.7149443174465,1397.297597637434,,,,,0,0,0,1,0,0,0,1,5
23,2021-10-22,1286.9895719278513,1316.6701453889782,1262.447004448176,1286.341064453125,1631143,1344.0763389340868,1381.9866759633064,,,,,0,0,0,0,0,0,0,0,5
24,2021-10-25,1301.7550243283038,1306.2445226347595,1269.4306121647344,1295.9185791015625,1114353,1327.8359974110015,1370.823616533926,,,,,0,0,0,0,0,0,0,0,0
25,2021-10-26,1305.9451575262544,1305.9451575262544,1258.8553579323768,1282.5,1374534,1312.6066201847707,1359.971668579482,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,1290.0,1307.0,1275.0,1276.699951171875,937862,1300.575913965119,1350.2164019051968,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,1286.949951171875,1286.949951171875,1256.449951171875,1263.75,943525,1288.2584158756881,1340.5051959547825,,,,,0,0,0,0,0,0,0,0,0
