,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,1295.7047300452189,1327.1475648766561,1283.5540890364455,1311.4261474609375,5197831,1311.4261474609375,1311.4261474609375,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,1289.455772911934,1314.1538346245193,1225.6277363688346,1292.332275390625,5264998,1299.96982421875,1301.5120215782752,,,,,0,0,0,1,0,0,0,1,0
16,2021-10-12,1296.3493942190794,1298.382815280136,1226.2725270652638,1240.20849609375,12811641,1271.661826685855,1279.486260080878,,,,,0,0,0,0,0,0,0,1,0
17,2021-10-13,1252.755876928117,1260.49265999206,1233.3643974636157,1255.0867919921875,5705730,1264.7768122746393,1272.665235049778,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,1278.9418333777505,1282.7605822075218,1233.9596867814125,1241.0020751953125,10360519,1255.650017471675,1265.3224176816925,,,,,0,0,0,0,0,0,0,1,0
19,2021-10-18,1229.9423978850475,1262.1787913780024,1205.1451721212359,1211.4932861328125,23861603,1239.514550230557,1254.5408719582035,,,,,0,0,0,0,0,0,0,1,0
20,2021-10-19,1220.0235025729282,1242.8369501820155,1215.0640574405181,1222.1064453125,10189780,1233.3511172605408,1248.772577314876,,,,,0,0,0,0,0,0,0,0,0
21,2021-10-20,1228.950523355786,1253.1526402028853,1210.5014113858565,1222.9000244140625,8222562,1229.72597212886,1244.6038679640108,,,,,0,0,0,0,0,0,0,0,0
22,2021-10-21,1238.9000244140625,1238.9000244140625,1189.0,1210.699951171875,5998795,1223.2145891285586,1239.5785632048658,,,,,0,0,0,0,0,0,0,0,0
23,2021-10-22,1203.25,1223.3499755859375,1186.0,1194.0,3812305,1213.304537291981,1233.2891650845247,,,,,0,0,0,0,0,0,0,0,0
24,2021-10-25,1184.050048828125,1190.0,1157.1500244140625,1165.4000244140625,6690819,1197.1495987661858,1224.4839220322551,,,,,0,0,0,0,0,0,0,0,0
25,2021-10-26,1170.0,1182.0,1153.25,1166.800048828125,5126660,1186.954504998581,1217.396549318282,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,1170.0,1181.3499755859375,1161.5,1177.1500244140625,3536653,1183.6694655117308,1212.6816761851617,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,1183.300048828125,1185.0,1146.800048828125,1152.0,4096585,1173.0766915943332,1205.8664017911078,,,,,0,0,0,0,0,0,0,0,0
