,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,2731.0,2745.60009765625,2716.0,2720.64990234375,1719442,2720.64990234375,2720.64990234375,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,2739.0,2769.0,2726.800048828125,2749.25,1773236,2737.8099609375,2735.4999530498794,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,2749.699951171875,2767.0,2735.0,2755.10009765625,1405800,2746.000025699013,2742.542094704904,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,2775.0,2775.0,2748.199951171875,2765.60009765625,1513606,2754.1415940504803,2748.988104705065,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,2758.300048828125,2815.550048828125,2751.85009765625,2808.75,2737670,2775.1050105524287,2762.8471347178092,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,2848.0,2848.0,2788.050048828125,2811.5,2609969,2788.4042322603386,2772.591915592499,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,2825.0,2827.949951171875,2800.0,2822.89990234375,1994376,2800.617609380692,2781.5389302465187,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,2833.0,2839.85009765625,2773.39990234375,2795.10009765625,2106814,2798.7037635216348,2783.7239703392497,,,,,0,0,0,0,0,0,0,0,5
22,2021-10-21,2814.0,2857.39990234375,2797.85009765625,2844.10009765625,3747385,2814.2400082797176,2792.67303784095,,,,,0,0,0,0,0,0,1,0,5
23,2021-10-22,2858.800048828125,2938.35009765625,2856.0,2903.949951171875,4364342,2844.6710432809473,2808.0281688571504,,,,,0,0,0,0,0,0,1,0,5
24,2021-10-25,2905.0,2919.0,2856.25,2896.14990234375,3463553,2862.0313660058027,2819.4575856073675,,,,,0,0,0,0,0,0,0,1,5
25,2021-10-26,2908.0,2934.0,2896.0,2911.64990234375,2430141,2878.699344002481,2830.784864338516,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,2920.050048828125,2948.0,2901.39990234375,2915.0,3136213,2890.8620575009104,2840.650652291075,,,,,0,0,0,0,0,0,1,0,5
27,2021-10-28,2891.0,2924.300048828125,2863.14990234375,2900.800048828125,3302920,2894.186107768928,2847.40614534611,,,,,0,0,0,0,0,0,0,1,5
28,2021-10-29,2891.0,2893.0,2791.199951171875,2844.699951171875,3830779,2877.652966191241,2847.1134014258464,68.46808142531373,,,,0,0,0,0,1,0,0,1,5
29,2021-11-01,2873.0,2947.89990234375,2838.050048828125,2887.949951171875,4951039,2881.0905279957265,2851.3852399935295,72.30844992410671,,,,0,0,0,0,1,0,1,0,5
30,2021-11-02,2887.89990234375,2917.25,2865.64990234375,2900.050048828125,4355642,2887.4167891703437,2856.32514307365,73.28863052681497,,,,0,0,0,0,1,0,1,0,5
31,2021-11-03,2908.0,2932.89990234375,2872.0,2895.89990234375,3731077,2890.2464081934363,2860.2350595172143,72.34279987507179,,,,0,0,0,0,1,0,0,0,5
32,2021-11-04,2899.050048828125,2909.0,2895.050048828125,2899.699951171875,129087,2893.3990113034115,2864.0400461254367,72.69033885624665,,,,0,0,0,0,1,0,0,0,5
33,2021-11-08,2929.0,3002.0,2906.14990234375,2979.550048828125,5481172,2922.124662438218,2874.9335173443596,78.73673091880615,,,,0,0,0,0,1,0,1,0,5
34,2021-11-09,2955.050048828125,2966.949951171875,2916.10009765625,2941.60009765625,2947787,2928.617775954446,2881.0959939497334,70.72256300772861,,,,0,0,0,0,1,0,0,0,5
35,2021-11-10,2920.0,2951.0,2886.050048828125,2945.60009765625,3294239,2934.279306559275,2886.9510594164312,71.05695717882017,,,,0,0,0,0,1,0,0,0,5
36,2021-11-11,2932.0,2932.0,2885.14990234375,2908.85009765625,2480671,2925.8021482362037,2888.9062008695796,63.84229247420892,,,,0,0,0,0,1,0,0,0,5
37,2021-11-12,2925.0,2998.0,2905.449951171875,2992.64990234375,2802442,2948.086056674012,2898.029687254046,71.0583924682383,,,,0,0,0,0,1,0,0,0,5
38,2021-11-15,3004.0,3021.10009765625,2971.0,3000.85009765625,3248126,2965.6747668851117,2906.9482895763613,71.65453635359734,,,,0,0,0,0,1,0,1,0,5
39,2021-11-16,2986.199951171875,2999.25,2957.699951171875,2975.449951171875,4242014,2968.933247675882,2912.815782065208,67.04763795378273,,,,0,0,0,0,1,0,0,1,5
40,2021-11-17,2956.10009765625,2977.199951171875,2932.25,2948.39990234375,2398355,2962.0886787609516,2915.8288376714054,62.44329887992799,,,,0,0,0,0,1,0,0,0,5
41,2021-11-18,2936.10009765625,2964.050048828125,2916.75,2925.39990234375,3481704,2949.858943118608,2916.6307591242044,58.749026151138665,,,,0,0,0,0,0,0,0,1,5
42,2021-11-22,2902.0,2934.0,2885.14990234375,2894.85009765625,3951901,2931.522517858521,2914.823397112293,54.165194028039046,,,,0,0,0,0,0,0,0,1,5
43,2021-11-23,2855.0,2915.0,2855.0,2906.5,3340056,2923.1816350738513,2914.138817480304,55.58825783041531,,,,0,0,0,0,0,0,0,0,5
44,2021-11-24,2905.050048828125,2923.0,2864.5,2883.550048828125,2318225,2909.9710603956737,2911.643360692081,52.15305123345861,,,,0,0,0,1,0,0,0,0,0
45,2021-11-25,2890.449951171875,2890.449951171875,2847.0,2867.75,2221089,2895.8973409767673,2908.0891846848754,49.8682155512599,,,,0,0,0,0,0,0,0,0,0
46,2021-11-26,2820.35009765625,2856.0,2723.0,2741.699951171875,3353278,2844.4981316190588,2894.7084656620755,36.231019644189885,,,,0,0,0,0,0,1,0,1,0
47,2021-11-29,2745.0,2747.5,2682.300048828125,2713.800048828125,3571428,2800.9320591428295,2880.251854613456,34.01383817158572,-4.943322521499795,32.59108149755639,-37.53440401905618,0,0,0,0,0,1,0,1,0
48,2021-11-30,2665.0,2764.89990234375,2656.0,2673.10009765625,7628539,2758.3213760505937,2863.794172200114,31.03060740396495,-19.30639422041304,22.211586353962502,-41.51798057437554,0,0,0,0,0,1,0,1,0
49,2021-12-01,2712.800048828125,2757.449951171875,2696.199951171875,2703.64990234375,3847384,2740.0975431380284,2851.139116166624,35.59663960400088,-27.902475727733417,12.188773937623317,-40.091249665356735,0,0,0,0,0,1,0,0,0
50,2021-12-02,2701.050048828125,2814.949951171875,2701.050048828125,2807.800048828125,4570690,2762.6650519229474,2847.731204684545,48.18978210666961,-26.011046696507492,4.548809810797155,-30.559856507304648,0,0,0,0,0,0,1,0,0
51,2021-12-03,2790.0,2823.949951171875,2765.0,2771.64990234375,2961572,2765.660002672642,2841.775804353345,44.907475894645785,-27.11650803892735,-1.784253759147746,-25.332254279779605,0,0,0,0,0,0,0,0,5
52,2021-12-06,2774.5,2799.89990234375,2760.0,2768.800048828125,1683131,2766.7066848664595,2836.087403016642,44.64928802765541,-27.900928937637673,-7.007588794845732,-20.893340142791942,0,0,0,0,0,0,0,0,5
53,2021-12-07,2795.0,2838.050048828125,2769.449951171875,2817.5,2543784,2783.6377914421832,2834.6441228140015,49.94534146842064,-24.31264802191754,-10.468600640260092,-13.844047381657447,0,0,0,0,0,0,0,0,5
54,2021-12-08,2825.25,2864.0,2820.050048828125,2853.0,1772235,2806.758529022114,2836.0643492232566,53.44241004602682,-18.39234077430865,-12.053348667069804,-6.338992107238846,0,0,0,0,0,0,0,0,5
55,2021-12-09,2872.0,2877.75,2829.050048828125,2842.050048828125,2036491,2818.5223694302936,2836.525951083958,52.23027646409351,-14.41782446839079,-12.526243827334001,-1.8915806410567892,0,0,0,0,0,0,0,0,5
56,2021-12-10,2823.300048828125,2838.25,2788.5,2808.75,3455657,2815.264912866241,2834.390439853982,48.618790198686504,-13.795995651258181,-12.780194192118838,-1.0158014591393432,0,0,0,0,0,0,0,1,0
57,2021-12-13,2832.800048828125,2838.800048828125,2766.050048828125,2771.85009765625,2661378,2800.7933075377196,2829.5955925206886,44.91284305998333,-16.095170461254384,-13.443189445945947,-2.6519810153084364,0,0,0,0,0,0,0,0,0
58,2021-12-14,2750.0,2764.0,2720.60009765625,2751.949951171875,2039433,2784.512188555205,2823.6580530080364,43.00883622383508,-19.300573573694237,-14.614666271495604,-4.685907302198633,0,0,0,0,0,0,0,0,0
59,2021-12-15,2755.0,2759.949951171875,2715.0,2721.800048828125,1355100,2763.608141813541,2815.887616303345,40.226410637174446,-23.997100147059427,-16.491153046608368,-7.50594710045106,0,0,0,0,0,0,0,0,0
60,2021-12-16,2749.39990234375,2755.25,2687.800048828125,2699.60009765625,3149777,2742.2721269815106,2807.035983502358,38.26349645573704,-29.174180032813183,-19.02775844384933,-10.146421588963854,0,0,0,0,0,1,0,1,0
61,2021-12-17,2700.0,2712.300048828125,2611.0,2617.35009765625,4503515,2700.631450392818,2792.6268348588205,32.02779107733908,-39.45908102555131,-23.114022960189725,-16.345058065361588,0,0,0,0,0,1,0,1,0
62,2021-12-20,2594.0,2594.0,2506.050048828125,2550.300048828125,3483707,2650.520983086703,2774.2536239774777,28.019096753314187,-52.41609759560333,-28.974437887272448,-23.441659708330885,0,0,0,0,0,1,0,1,0
63,2021-12-21,2583.75,2588.89990234375,2530.0,2540.85009765625,2502122,2613.9640212192185,2756.5878171751656,27.496733983773776,-62.724114117525005,-35.724373133322956,-26.99974098420205,0,0,0,0,0,1,0,0,0
64,2021-12-22,2551.949951171875,2557.14990234375,2520.14990234375,2539.0,2763684,2588.9760141200195,2740.1456008546693,27.389076247956634,-70.23297685665148,-42.62609387798866,-27.606882978662817,0,0,0,0,0,1,0,0,0
65,2021-12-23,2558.0,2582.0,2543.35009765625,2571.14990234375,1777068,2583.033976857121,2727.394313593514,32.346160144443864,-72.75094859513592,-48.65106482141811,-24.099883773717814,0,0,0,0,0,1,0,0,0
66,2021-12-24,2585.0,2585.0,2525.5,2534.550048828125,1033480,2566.8726675066123,2712.8636141982065,29.847980676121537,-76.81429427074863,-54.283710711284215,-22.530583559464418,0,0,0,0,0,1,0,0,0
67,2021-12-27,2520.0,2564.89990234375,2509.449951171875,2558.85009765625,915233,2564.198477555663,2701.2735694028006,33.519194320367745,-77.18398520101437,-58.86376560923024,-18.320219591784124,0,0,0,0,0,1,0,0,0
68,2021-12-28,2579.800048828125,2587.85009765625,2548.0,2565.35009765625,1634180,2564.5823509226047,2691.0569114945756,34.50651554374579,-76.07552099878876,-62.306116687141945,-13.769404311646817,0,0,0,0,0,1,0,0,0
