,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,1612.0,1622.0,1600.1500244140625,1602.6500244140625,3622781,1602.6500244140625,1602.6500244140625,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,1599.9000244140625,1645.0,1599.0,1633.800048828125,6540424,1621.3400390625,1618.8240755521333,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,1625.0,1641.550048828125,1625.0,1629.5999755859375,4088473,1625.2526405736016,1622.695751808734,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,1637.0,1648.0,1630.0,1639.4000244140625,3112822,1631.12924616887,1627.3655364594936,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,1638.0,1690.0,1638.0,1687.4000244140625,7378644,1652.7308245473562,1641.2877818343427,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,1705.0,1725.0,1667.050048828125,1670.300048828125,14428228,1659.1508568785246,1647.098707519657,,,,,0,0,0,0,0,0,0,1,10
20,2021-10-19,1675.449951171875,1692.449951171875,1671.0,1688.699951171875,4493770,1669.6128722937035,1654.4972730480736,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,1689.0999755859375,1698.75,1664.449951171875,1673.8499755859375,5454284,1671.082585997132,1657.6154729544912,,,,,0,0,0,0,0,0,0,0,5
22,2021-10-21,1671.800048828125,1681.949951171875,1660.8499755859375,1676.300048828125,4869095,1672.8681878767495,1660.3849372802813,,,,,0,0,0,0,0,0,0,0,5
23,2021-10-22,1680.0999755859375,1708.0,1670.75,1680.75,6087777,1675.5418235169382,1663.195117728803,,,,,0,0,0,0,0,0,1,0,5
24,2021-10-25,1690.0,1690.0,1613.800048828125,1657.0,8213383,1669.288925802778,1662.3916089967613,,,,,0,0,0,0,0,0,0,1,5
25,2021-10-26,1650.0,1673.8499755859375,1646.3499755859375,1652.75,6045328,1663.73313009184,1661.20698541435,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,1652.75,1665.050048828125,1637.300048828125,1642.800048828125,6624821,1656.7193981618354,1659.0506161133983,,,,,0,0,0,1,0,0,0,1,5
27,2021-10-28,1650.0,1650.0,1587.1500244140625,1593.5999755859375,8898875,1635.6072713122203,1651.699730269373,,,,,0,0,0,0,0,0,0,1,5
28,2021-10-29,1590.0,1602.0,1560.0,1582.8499755859375,6203437,1617.9812542707089,1644.251873316945,46.01287858750469,,,,0,0,0,0,0,0,0,0,5
29,2021-11-01,1585.0,1611.0,1583.550048828125,1605.300048828125,4061160,1613.7477405240888,1640.1771924938143,50.80317830665929,,,,0,0,0,0,0,0,0,0,0
30,2021-11-02,1606.0,1622.0,1600.050048828125,1606.75,6618861,1611.412790470291,1636.784040540393,51.10493564210341,,,,0,0,0,0,0,0,1,0,0
31,2021-11-03,1605.0999755859375,1609.9000244140625,1575.550048828125,1581.449951171875,5103669,1601.4184147816043,1631.3171300676092,45.82339400372718,,,,0,0,0,0,0,0,0,0,5
32,2021-11-04,1595.0,1597.8499755859375,1590.0999755859375,1593.949951171875,548404,1598.9278034143665,1627.714393323024,48.64720290667771,,,,0,0,0,0,0,0,0,0,5
33,2021-11-08,1592.0999755859375,1604.699951171875,1570.449951171875,1600.25,9471790,1599.368668190251,1625.124292282341,50.06003429354814,,,,0,0,0,0,0,0,1,0,5
34,2021-11-09,1594.5999755859375,1594.5999755859375,1569.050048828125,1572.25,6347738,1590.3272994610334,1620.2367371131506,44.235087999921866,,,,0,0,0,0,0,0,0,1,5
35,2021-11-10,1568.0,1569.0,1550.0,1555.25,6857063,1578.6333033207836,1614.3378628028308,41.10758108742366,,,,0,0,0,0,0,0,0,1,5
36,2021-11-11,1550.050048828125,1554.9000244140625,1535.5999755859375,1548.300048828125,3999702,1568.5213174635403,1608.4420208867016,39.866619581576465,,,,0,0,0,0,0,1,0,0,5
37,2021-11-12,1550.0,1559.050048828125,1545.050048828125,1553.0,7457046,1563.3472376188347,1603.5663078024422,41.16023036655928,,,,0,0,0,0,0,0,1,0,5
38,2021-11-15,1562.0999755859375,1571.8499755859375,1554.4000244140625,1557.25,4766797,1561.3147445881737,1599.5488493162127,42.36758565842031,,,,0,0,0,0,0,0,0,0,5
39,2021-11-16,1555.0,1557.199951171875,1541.5999755859375,1548.0,4122703,1556.8763792129732,1595.1334456730492,40.42341402568202,,,,0,0,0,0,0,0,0,0,5
40,2021-11-17,1536.9000244140625,1544.0,1528.5,1530.800048828125,3799439,1548.1841160926388,1589.686069132277,37.0214876044414,,,,0,0,0,0,0,1,0,0,5
41,2021-11-18,1526.050048828125,1543.5,1525.25,1539.4000244140625,4576437,1545.2560511753054,1585.4728013907622,39.751669792836786,,,,0,0,0,0,0,1,0,0,5
42,2021-11-22,1546.0,1552.699951171875,1499.050048828125,1515.3499755859375,7630636,1535.2872813300594,1579.6540005378156,35.16111386345494,,,,0,0,0,0,0,1,0,1,5
43,2021-11-23,1502.0,1527.800048828125,1496.3499755859375,1515.550048828125,5617607,1528.7081695187212,1574.381602852303,35.22812609793181,,,,0,0,0,0,0,1,0,0,0
44,2021-11-24,1524.0,1536.3499755859375,1514.050048828125,1518.050048828125,15401143,1525.15545027001,1569.7860285590307,36.116595122540836,,,,0,0,0,0,0,1,1,0,0
45,2021-11-25,1514.800048828125,1533.300048828125,1507.0,1525.949951171875,5125826,1525.420284517803,1566.236490951455,38.96562327627016,,,,0,0,0,0,0,1,0,0,5
46,2021-11-26,1500.0,1506.699951171875,1485.0,1489.9000244140625,9312468,1513.580179521068,1560.097651386151,31.960846416378065,,,,0,0,0,0,0,1,0,1,5
