,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,2867.75,2872.0,2840.0,2842.10009765625,300133,2842.10009765625,2842.10009765625,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,2845.0,2878.550048828125,2843.199951171875,2857.800048828125,658779,2851.520068359375,2850.251995380108,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,2873.89990234375,2927.5,2855.25,2916.64990234375,956819,2882.3710423519738,2874.1081186805,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,2926.0,2946.85009765625,2907.050048828125,2925.199951171875,754779,2900.1615121694713,2888.3911623534877,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,2934.0,2944.14990234375,2900.0,2927.800048828125,572466,2910.771566526585,2897.5302456728073,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,2939.0,2950.0,2896.199951171875,2904.10009765625,440831,2908.3337215108086,2898.8461346258314,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,2904.10009765625,2930.0,2865.5,2876.050048828125,447221,2896.903513941272,2894.7919689384858,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,2863.0,2876.0,2802.0,2816.0,424722,2868.8407090261953,2882.096630409422,,,,,0,0,0,1,0,0,0,0,5
22,2021-10-21,2835.0,2835.0,2725.0,2756.89990234375,737326,2830.53057222355,2863.5397268742013,,,,,0,0,0,0,0,0,0,1,5
23,2021-10-22,2774.0,2800.0,2727.449951171875,2744.14990234375,387942,2801.2288794145175,2847.0650930728984,,,,,0,0,0,0,0,0,0,0,0
24,2021-10-25,2743.949951171875,2754.85009765625,2679.050048828125,2686.800048828125,326076,2762.639806848164,2826.2786660623124,,,,,0,0,0,0,0,0,0,0,0
25,2021-10-26,2696.89990234375,2708.0,2685.0,2700.5,282346,2741.7656535638216,2810.824775116131,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,2713.949951171875,2729.35009765625,2682.0,2690.14990234375,444512,2724.471542015566,2796.687735537403,,,,,0,0,0,0,0,0,0,1,0
27,2021-10-28,2713.800048828125,2713.800048828125,2660.0,2667.75,366561,2705.4993724159717,2782.2064933786664,,,,,0,0,0,0,0,0,0,0,0
28,2021-10-29,2681.0,2702.85009765625,2639.0,2657.10009765625,614962,2689.3293540333457,2768.673045896411,25.898893415197033,,,,0,0,0,0,0,1,0,1,0
29,2021-11-01,2675.0,2692.800048828125,2642.0,2680.699951171875,502481,2686.4485004895273,2759.4703375065023,30.501110561314647,,,,0,0,0,0,0,1,1,0,0
30,2021-11-02,2695.0,2701.550048828125,2676.550048828125,2684.300048828125,813089,2685.7316223336275,2751.83989675335,31.20305257766039,,,,0,0,0,0,0,1,1,0,5
31,2021-11-03,2697.0,2697.0,2640.0,2641.449951171875,504184,2670.9610709414287,2740.9335647530124,27.626450085321032,,,,0,0,0,0,0,1,0,0,5
32,2021-11-04,2650.0,2685.0,2650.0,2677.5,93301,2673.1416976263636,2734.817651234002,34.43542262533484,,,,0,0,0,0,0,1,0,0,5
