,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,480.95001220703125,490.75,472.6499938964844,473.6499938964844,7086881,473.6499938964844,473.6499938964844,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,478.5,490.0,476.25,487.5,5565678,481.9599975585937,480.84134321946357,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,492.7999877929688,499.5,487.45001220703125,498.6499938964844,8685800,489.86578529759447,487.2398184996745,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,499.95001220703125,512.0,495.0,508.0499877929688,8901206,497.4192232572115,493.0574324384302,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,511.3999938964844,523.3499755859375,508.3500061035156,516.0999755859375,8876529,504.5905073265329,498.40109323558585,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,535.4500122070311,551.8499755859375,526.5,542.7999877929689,23481789,518.5527686097569,507.29383770255015,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,547.7000122070311,547.7000122070311,526.0499877929689,533.75,11017925,523.9334299421936,511.9989290220418,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,531.0,531.0,510.5,512.9500122070311,9440844,520.12363857236,512.1521720893926,,,,,0,0,0,0,0,0,0,0,5
22,2021-10-21,516.2000122070311,520.7999877929689,491.6000061035156,493.75,14173662,511.09763874589015,509.42456620401947,,,,,0,0,0,0,0,0,0,1,5
23,2021-10-22,489.0,492.0,464.5,470.45001220703125,19392383,497.30931934624584,504.0464570796049,,,,,0,0,0,1,0,0,0,1,5
24,2021-10-25,473.5499877929688,478.0,459.3500061035156,473.25,9196105,489.19574503641843,500.0521468400485,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,475.0499877929688,488.0,472.5499877929688,486.0499877929688,8120433,488.13901470161795,498.3317609773343,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,483.0,487.70001220703125,475.6499938964844,479.8500061035156,8972879,485.3617415644155,496.1666267274863,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,455.8500061035156,477.1499938964844,453.45001220703125,468.7999877929688,12659503,479.82218128002864,493.09302749115966,,,,,0,0,0,0,0,0,0,1,0
28,2021-10-29,469.45001220703125,474.20001220703125,456.6499938964844,459.7999877929688,8306338,473.13284061627786,489.49153612312585,46.223067833930415,,,,0,0,0,0,0,0,0,0,0
29,2021-11-01,463.7999877929688,481.1000061035156,463.3500061035156,478.1499938964844,7466267,474.80777502821724,488.30511763767373,51.45524483327958,,,,0,0,0,0,0,0,0,0,0
