,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,1546.7848029886234,1549.7766498029143,1516.367693709995,1525.2435302734375,1293018,1525.2435302734375,1525.2435302734375,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,1528.6343505173354,1539.2553095685555,1513.226266015986,1532.4239501953125,731875,1529.5517822265626,1528.9718252328726,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,1531.8255731081708,1542.396740866544,1515.9687606013315,1528.7838134765625,635193,1529.1880075555098,1528.904274434277,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,1529.3822160880386,1537.9089061313439,1509.7855958750056,1516.218017578125,847206,1523.8004732572115,1525.357751401388,,,,,0,0,0,1,0,0,0,1,0
18,2021-10-14,1519.8582168074743,1524.8446282799396,1509.8853938625434,1516.118408203125,423838,1520.8514340658323,1523.215109605126,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,1535.5153997130494,1535.814633077252,1513.874424033291,1515.3204345703125,516940,1518.8303319945371,1521.633869161322,,,,,0,0,0,0,0,0,0,0,5
20,2021-10-19,1521.2543458620212,1540.4021160816876,1511.3313145790387,1525.0439453125,674830,1521.0302951362542,1522.2403335274428,,,,,0,0,0,0,0,0,1,0,5
21,2021-10-20,1527.8364906976565,1530.828337611555,1492.532672765938,1500.3115234375,844842,1513.8436252385259,1518.707058862753,,,,,0,0,0,0,0,0,0,1,5
22,2021-10-21,1513.874447758343,1522.5507545935513,1480.9641336766394,1501.3087158203125,553982,1509.5537321347288,1516.128242479134,,,,,0,0,0,0,0,0,0,0,5
23,2021-10-22,1508.6387185411988,1526.5398861722117,1487.3965579932385,1496.471923828125,941101,1505.1161753419863,1513.4158618141093,,,,,0,0,0,0,0,0,0,1,5
24,2021-10-25,1504.3005464216476,1504.3005464216476,1471.5398493757434,1492.881591796875,373740,1500.990281283452,1510.752560487608,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,1492.8815825417373,1514.7720004899465,1489.341303675392,1501.65771484375,398883,1501.2144871693638,1509.6351153981293,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,1500.9098619289111,1521.8028774244567,1490.8871261156219,1496.3223876953125,874605,1499.575365157002,1508.0755317490084,,,,,0,0,0,0,0,0,0,1,0
27,2021-10-28,1497.868010958956,1515.8690040778022,1456.281390266191,1467.800048828125,449386,1488.947186354903,1503.5521157078745,,,,,0,0,0,0,0,0,0,0,0
28,2021-10-29,1472.0,1496.949951171875,1435.1500244140625,1481.550048828125,358571,1486.4758301128802,1501.1720310215662,32.45917610264462,,,,0,0,0,0,0,1,0,0,0
29,2021-11-01,1489.0,1521.9000244140625,1478.050048828125,1517.75,517466,1496.916448611707,1502.9062227614747,48.5602502267943,,,,0,0,0,0,0,0,1,0,0
30,2021-11-02,1528.0,1534.1500244140625,1503.25,1508.4000244140625,714887,1500.7481962801435,1503.4638916058634,45.54048407108968,,,,0,0,0,0,0,0,0,1,5
31,2021-11-03,1514.800048828125,1531.949951171875,1509.0,1528.300048828125,388656,1509.9383655608763,1505.9176601520091,52.33446995183575,,,,0,0,1,0,0,0,0,0,5
32,2021-11-04,1529.0,1538.0,1524.300048828125,1528.6500244140625,31674,1516.1784000144028,1508.109389001723,52.44682670743255,,,,0,0,0,0,0,0,0,0,10
33,2021-11-08,1534.0,1537.949951171875,1505.050048828125,1510.8499755859375,773438,1514.4017242409234,1508.3678471471612,46.449668451183776,,,,0,0,0,0,0,0,0,1,10
34,2021-11-09,1511.0,1520.0,1505.050048828125,1508.9000244140625,332602,1512.567456554061,1508.4170401602398,45.831400622361514,,,,0,0,0,0,0,0,0,0,10
35,2021-11-10,1503.949951171875,1545.0,1500.0,1527.4000244140625,1104358,1517.512306755472,1510.14013387324,52.316213390805835,,,,0,0,0,0,0,0,1,0,5
36,2021-11-11,1527.0,1534.0,1501.0999755859375,1507.800048828125,554680,1514.2745989510886,1509.9312115806038,46.0291062315535,,,,0,0,0,0,0,0,0,0,10
37,2021-11-12,1519.0,1524.5999755859375,1503.0,1510.25,286747,1512.9329862713166,1509.9592466493605,46.88830043994624,,,,0,0,0,0,0,0,0,0,5
38,2021-11-15,1517.0,1542.0,1502.5999755859375,1536.550048828125,446822,1520.8056522312447,1512.2657224661375,55.14371428594509,,,,0,0,0,0,0,0,0,0,5
39,2021-11-16,1543.75,1548.25,1515.25,1520.0,265077,1520.5370943971886,1512.9282000510545,49.88865243805941,,,,0,0,0,0,0,0,0,0,5
40,2021-11-17,1511.699951171875,1531.0,1510.800048828125,1529.0,566753,1523.3581125840474,1514.2890662621287,52.53751949126118,,,,0,0,0,0,0,0,1,0,5
41,2021-11-18,1529.0,1535.75,1490.5,1512.3499755859375,598304,1519.6886905278118,1514.126597564508,47.53181167450568,,,,0,0,0,0,0,0,0,1,5
42,2021-11-22,1512.0,1519.9000244140625,1457.0,1462.3499755859375,774628,1500.5756360325931,1509.8301669989435,36.33565950651948,,,,0,0,0,1,0,1,0,1,5
43,2021-11-23,1449.9000244140625,1473.0999755859375,1419.0,1458.5,583697,1486.5503508785337,1505.6083827490766,35.639531564517036,,,,0,0,0,0,0,1,0,0,5
44,2021-11-24,1460.0,1522.0,1460.0,1487.9000244140625,1355957,1487.000243621199,1504.1637203791104,44.39961455110423,,,,0,0,0,0,0,0,1,0,5
45,2021-11-25,1494.0,1509.0999755859375,1470.8499755859375,1492.949951171875,926456,1488.9834840682188,1503.2557081230818,45.76510878025741,,,,0,0,0,0,0,0,1,0,5
46,2021-11-26,1490.0,1495.0,1448.0999755859375,1453.6500244140625,870438,1477.2056459842274,1499.2665094133442,37.95327984495845,,,,0,0,0,0,0,1,0,0,5
47,2021-11-29,1440.0,1459.4000244140625,1419.0,1434.25,552009,1462.8870825726615,1494.0709612748058,34.795802111325074,-12.419477691441216,-2.7193761279814783,-9.700101563459738,0,0,0,0,0,1,0,0,5
48,2021-11-30,1434.3499755859375,1454.300048828125,1425.1500244140625,1437.3499755859375,1428578,1454.3747077311157,1489.5646226255426,35.71611139747235,-15.087347969307075,-5.192970496246598,-9.894377473060477,0,0,0,0,0,1,1,0,5
49,2021-12-01,1446.0,1449.800048828125,1433.550048828125,1440.5,397870,1449.7498030366062,1485.6873964897263,36.69389815040159,-16.754340137233385,-7.505244424443956,-9.24909571278943,0,0,0,0,0,1,0,0,5
50,2021-12-02,1440.0,1472.449951171875,1437.0,1463.699951171875,515144,1454.3998538343515,1483.9584421775571,43.50909460206396,-16.018747125319805,-9.207944964619125,-6.81080216070068,0,0,0,0,0,0,0,0,5
51,2021-12-03,1475.5999755859375,1486.4000244140625,1434.0,1449.4000244140625,1149769,1452.7332436884587,1481.2533200744601,40.607289535433935,-16.400612887260422,-10.646478549147385,-5.754134338113037,0,0,0,0,0,0,0,1,5
52,2021-12-06,1450.050048828125,1463.5999755859375,1411.0,1419.4000244140625,542372,1441.6221690897028,1476.431905521342,35.28976949480553,-18.906056286077046,-12.298394096533318,-6.607662189543728,0,0,0,0,0,1,0,0,5
53,2021-12-07,1425.0,1440.0,1404.949951171875,1416.3499755859375,873771,1433.1981038265944,1471.7666459401846,34.79095201161834,-20.89686562145539,-14.018088401517733,-6.878777219937657,0,0,0,0,0,1,0,1,5
54,2021-12-08,1434.050048828125,1450.0,1420.5,1445.0,774617,1437.1320694549156,1469.6956636021446,42.94855197943838,-19.933003573448104,-15.201071435903808,-4.731932137544296,0,0,0,0,0,0,0,0,0
55,2021-12-09,1445.0,1451.3499755859375,1427.6500244140625,1437.5999755859375,329879,1437.2880381715256,1467.220526143406,41.50430801355595,-19.540999602217425,-16.069057069166533,-3.4719425330508926,0,0,0,0,0,0,0,0,0
56,2021-12-10,1443.300048828125,1446.449951171875,1432.4000244140625,1439.9000244140625,343809,1438.158700275702,1465.1200314357636,42.15540162243956,-18.827704850978535,-16.620786625528932,-2.206918225449602,0,0,0,0,0,0,0,0,0
57,2021-12-13,1441.0,1445.0,1418.0,1420.949951171875,675222,1432.4224504719527,1461.7335966302894,38.36636562663896,-19.565981702222643,-17.209825640867674,-2.3561560613549695,0,0,0,0,0,1,0,1,0
58,2021-12-14,1423.5999755859375,1438.949951171875,1406.9000244140625,1434.949951171875,496630,1433.264950715294,1459.685459085932,42.47973936728563,-18.804620469411248,-17.528784606576387,-1.2758358628348603,0,0,0,0,0,0,0,0,0
59,2021-12-15,1430.0999755859375,1432.0,1393.9000244140625,1400.5,704620,1422.3433003901484,1455.1703807926933,36.09588031332143,-20.74195896488618,-18.171419478238345,-2.570539486647835,0,0,0,0,0,1,0,1,0
60,2021-12-16,1407.0,1418.3499755859375,1380.300048828125,1408.449951171875,658200,1417.7121839595443,1451.6140912431424,38.396615085630415,-21.389257020679906,-18.81498698672666,-2.5742700339532476,0,0,0,0,0,1,1,0,0
61,2021-12-17,1407.199951171875,1412.0,1351.0,1358.75,1499248,1398.058122570342,1444.5598368456644,30.905455726852765,-25.61731562487671,-20.17545271435667,-5.44186291052004,0,0,0,0,0,1,0,1,5
62,2021-12-20,1350.0,1357.050048828125,1315.0,1351.4000244140625,652830,1382.505423148328,1437.4964621873826,29.974097345882434,-29.22428477034896,-21.985219125555126,-7.239065644793833,0,0,0,0,0,1,0,0,5
63,2021-12-21,1357.0,1387.0999755859375,1351.4000244140625,1369.5999755859375,861852,1378.2036072874512,1432.3575243411474,35.18292639151969,-30.265369508556887,-23.64124920215548,-6.624120306401409,0,0,0,0,0,1,1,0,5
64,2021-12-22,1365.9000244140625,1383.0,1342.449951171875,1345.199951171875,539391,1367.202388570757,1425.771385049787,31.77087697322199,-32.682570387664555,-25.449513439257295,-7.23305694840726,0,0,0,0,0,1,0,0,5
65,2021-12-23,1348.0,1365.949951171875,1343.8499755859375,1353.8499755859375,510565,1362.7515842393816,1420.344675610544,34.20686792095201,-33.51390735806399,-27.062392223018634,-6.451515135045355,0,0,0,0,0,1,0,0,5
66,2021-12-24,1360.0,1361.5,1335.0999755859375,1340.3499755859375,234118,1355.2843813514303,1414.3171230634694,32.2703956201107,-34.86023794902576,-28.62196136822006,-6.2382765808056995,0,0,0,0,0,1,0,0,5
67,2021-12-27,1338.0,1353.199951171875,1327.5,1346.6500244140625,265507,1352.406262371416,1409.2249420514986,34.14404305827047,-35.01521969697683,-29.900613033971414,-5.114606663005414,0,0,0,0,0,1,0,0,5
68,2021-12-28,1351.6500244140625,1404.0,1349.699951171875,1389.300048828125,792097,1364.7041911928588,1407.7272918274027,45.19689922524384,-31.335329150837197,-30.18755625734457,-1.1477728934926255,0,0,0,0,0,0,1,0,5
