,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,682.0,684.5499877929688,659.0999755859375,660.1500244140625,1516358,660.1500244140625,660.1500244140625,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,657.0,666.0,650.0499877929688,661.5,1380146,660.960009765625,660.8509732759916,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,659.0,667.3499755859375,655.2000122070312,661.7000122070312,735067,661.3105372378701,661.1560247204114,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,663.0,668.5499877929688,655.2000122070312,656.7999877929688,597205,659.4369243915265,659.938267152481,,,,,0,0,0,1,0,0,0,0,0
18,2021-10-14,660.0,661.9500122070312,650.0,651.9500122070312,1644981,656.5628017045876,658.0857578822835,,,,,0,0,0,0,0,0,0,1,0
19,2021-10-18,658.5,678.0,653.0,673.5,1804000,662.7518831869714,661.1731076388774,,,,,0,0,1,0,0,0,1,0,5
20,2021-10-19,679.7000122070312,682.4500122070312,655.5499877929688,659.7000122070312,1404126,661.6713518881,660.9111252526478,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,653.0,661.3499755859375,619.1500244140625,631.75,4806465,651.292605404472,656.2125454105851,,,,,0,0,0,1,0,0,0,1,10
22,2021-10-21,637.9000244140625,643.9000244140625,625.0,629.2999877929688,890185,643.7659472150676,652.2235135619717,,,,,0,0,0,0,0,0,0,0,10
23,2021-10-22,632.0,637.8499755859375,619.0,620.5,854607,635.8737690326604,647.8459774454759,,,,,0,0,0,0,0,0,0,0,10
24,2021-10-25,620.5,624.0,609.5499877929688,621.0,1636443,630.8578569622913,644.3640456659798,,,,,0,0,0,0,0,0,1,0,10
25,2021-10-26,617.5,629.0,617.5,622.6500244140625,760306,628.1006621231991,641.6961360201266,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,625.4500122070312,642.0,624.7000122070312,631.9500122070312,2113722,629.3904058189605,640.5543793733656,,,,,0,0,0,0,0,0,1,0,5
27,2021-10-28,629.9000244140625,635.7999877929688,612.5499877929688,617.5,958101,625.4133137338509,637.9650982049504,,,,,0,0,0,0,0,0,0,0,5
28,2021-10-29,617.0,624.8499755859375,609.5,618.4000244140625,849041,623.0701997556631,635.8486364756642,31.469156257551507,,,,0,0,0,0,0,1,0,0,5
29,2021-11-01,622.0,629.5,613.2000122070312,626.2000122070312,679137,624.1150613105999,634.8393111156088,36.224696389251015,,,,0,0,0,0,0,1,0,0,5
30,2021-11-02,628.0,633.2999877929688,622.2999877929688,631.5,749345,626.5792085493764,634.5003418756074,39.30661227263958,,,,0,0,0,0,0,1,0,0,5
31,2021-11-03,632.0,638.0,619.2000122070312,623.2999877929688,1196466,625.485394846367,633.3937666390391,36.377566225351096,,,,0,0,0,0,0,1,0,1,5
32,2021-11-04,623.2999877929688,628.4000244140625,622.3499755859375,627.2000122070312,62521,626.0571919002309,632.7965990888368,38.71662310492635,,,,0,0,0,0,0,1,0,0,0
33,2021-11-08,631.0,661.25,629.9000244140625,655.25,2511660,635.7910551851479,634.9141254577199,52.29978495833476,,,,0,0,1,0,0,0,1,0,0
34,2021-11-09,660.7000122070312,660.7000122070312,646.8499755859375,651.2999877929688,654373,640.9617360357032,636.4287898191951,50.59899560661152,,,,0,0,0,0,0,0,0,0,10
35,2021-11-10,646.3499755859375,657.7000122070312,641.75,646.4000244140625,1651015,642.7747411496443,637.3338831075598,48.492296752528944,,,,0,0,0,0,0,0,0,1,10
36,2021-11-11,646.2999877929688,646.4000244140625,637.2999877929688,642.0499877929688,828847,642.5331351691694,637.7549359258094,46.63592101677144,,,,0,0,0,0,0,0,0,0,10
37,2021-11-12,648.3499755859375,679.9500122070312,642.2000122070312,672.5999755859375,4491815,652.5560106988922,640.8192978136925,58.61747024203956,,,,0,0,0,0,0,0,1,0,10
38,2021-11-15,677.0,677.0,661.0999755859375,664.25,969921,656.4541615076623,642.8516677888255,54.98370546750403,,,,0,0,0,0,0,0,0,0,10
39,2021-11-16,661.5,664.7999877929688,650.4000244140625,653.3499755859375,831042,655.4194055480621,643.7508976864721,50.57610642832846,,,,0,0,0,0,0,0,0,0,5
40,2021-11-17,651.0,665.5999755859375,641.0999755859375,643.25,955365,651.3628656331023,643.7084845940437,46.83008259913092,,,,0,0,0,0,0,0,0,0,5
41,2021-11-18,646.4500122070312,655.0,637.5499877929688,640.1500244140625,1278065,647.6252080358832,643.4103353645747,45.710984014185144,,,,0,0,0,0,0,0,0,0,5
42,2021-11-22,640.9000244140625,642.9500122070312,616.25,620.2999877929688,711313,638.5167300358772,641.4926358335284,39.24396644687177,,,,0,0,0,1,0,1,0,0,5
43,2021-11-23,614.25,629.4500122070312,605.5,616.25,1130744,631.0944479826784,639.4164890251748,38.06081949157888,,,,0,0,0,0,0,1,0,1,0
44,2021-11-24,616.25,625.1500244140625,596.5999755859375,604.0999755859375,1226406,622.096259232825,636.535338946842,34.682616315243884,,,,0,0,0,0,0,1,0,1,0
45,2021-11-25,604.0999755859375,607.5499877929688,596.0499877929688,599.5499877929688,1030337,614.5808180000995,633.5405250247246,33.48404651213019,,,,0,0,0,0,0,1,0,0,0
46,2021-11-26,594.75,597.3499755859375,587.6500244140625,589.9000244140625,1352143,606.3538740923702,630.0310354720849,31.03444427233771,,,,0,0,0,0,0,1,0,1,0
47,2021-11-29,588.0,593.0,567.7999877929688,587.25,1604837,599.9859095016709,626.6123510299742,30.37721857900174,-12.095101706173523,-4.689555633321384,-7.405546072852139,0,0,0,0,0,1,0,1,0
48,2021-11-30,587.25,602.9500122070312,585.0,593.0499877929688,2282710,597.6739340109945,623.9459062780238,33.68723091030497,-12.968799692815196,-6.345404445220147,-6.623395247595049,0,0,0,0,0,1,1,0,0
49,2021-12-01,594.0499877929688,608.0,592.3499755859375,597.0499877929688,1149322,597.4659518430965,621.8205142436673,35.94886663914739,-13.186439999240292,-7.713611556024176,-5.472828443216116,0,0,0,0,0,1,0,0,5
50,2021-12-02,594.7999877929688,611.4000244140625,594.3499755859375,608.7000122070312,1093076,601.2106397740558,620.788800543138,42.13852296713919,-12.27733641142322,-8.626356527103985,-3.650979884319236,0,0,0,0,0,0,0,0,5
51,2021-12-03,608.7000122070312,612.5499877929688,600.6500244140625,603.3499755859375,771454,601.9237518564573,619.4237452571408,40.21649992099158,-11.851946648161743,-9.271474551315537,-2.580472096846206,0,0,0,0,0,0,0,0,5
52,2021-12-06,605.0,605.0,585.0499877929688,585.9500122070312,617655,596.5991712510008,616.8144947402226,34.676708508649526,-12.771630417733945,-9.971505724599218,-2.800124693134727,0,0,0,0,0,1,0,0,5
53,2021-12-07,586.7999877929688,597.7999877929688,584.25,586.7000122070312,1019618,593.2994512712585,614.4761564358337,35.09174538466214,-13.286805674034213,-10.634565714486218,-2.6522399595479946,0,0,0,0,0,1,1,0,5
54,2021-12-08,589.6500244140625,592.5,585.7999877929688,587.0,846411,591.1996340542372,612.3502780264507,35.26890249960227,-13.515085772562202,-11.210669726101415,-2.304416046460787,0,0,0,0,0,1,0,0,5
55,2021-12-09,594.9000244140625,594.9000244140625,576.0,580.0,884269,587.4664225527702,609.8555072365726,33.005195966869984,-14.098324188530796,-11.788200618587291,-2.3101235699435048,0,0,0,0,0,1,0,0,5
56,2021-12-10,583.0,583.0,575.5,578.1500244140625,1283392,584.3609564233191,607.4178800095294,32.413087567752825,-14.542189100335577,-12.338998314936948,-2.203190785398629,0,0,0,0,0,1,0,1,5
57,2021-12-13,577.0,580.9000244140625,566.2000122070312,568.0999755859375,922516,578.9406293806952,604.4034521610201,29.334288650476793,-15.525936853989265,-12.97638602274741,-2.549550831241854,0,0,0,0,0,1,0,0,5
58,2021-12-14,565.6500244140625,577.75,563.0999755859375,576.5,1916743,578.1270862441079,602.2696833252246,34.90021596246684,-15.449658225057874,-13.471040463209503,-1.978617761848371,0,0,0,0,0,1,1,0,5
59,2021-12-15,576.5,577.1500244140625,557.6500244140625,566.8499755859375,1558734,574.3680493282056,599.5676217709783,31.801323295100286,-15.98363380265721,-13.973559131099044,-2.010074671558165,0,0,0,0,0,1,0,1,5
60,2021-12-16,569.0,580.9500122070312,569.0,578.0499877929688,1532681,575.5953621562898,597.9297315060961,38.61406696055406,-15.326392796481514,-14.244125864175539,-1.0822669323059753,0,0,0,0,0,1,1,0,5
61,2021-12-17,575.0,577.9500122070312,554.2999877929689,556.4000244140625,923395,569.1969162196356,594.7750016750261,31.96647691725501,-16.363863242991897,-14.668073339938811,-1.695789903053086,0,0,0,0,0,1,0,0,5
62,2021-12-20,552.0,555.0,533.6500244140625,541.4500122070311,891596,559.947948193676,590.7319023017,28.338499323833723,-18.182807008277564,-15.371020073606562,-2.8117869346710016,0,0,0,0,0,1,0,0,5
63,2021-12-21,542.0,563.2000122070312,542.0,558.2000122070311,1057729,559.3653028638806,588.2696340815725,36.96980364510971,-18.06451158782295,-15.90971837644984,-2.154793211373109,0,0,0,0,0,1,0,0,5
64,2021-12-22,556.7999877929689,559.8499755859375,550.5,558.0999755859375,1018098,558.9435271041252,585.9898370886121,36.94118623982591,-17.773946740000497,-16.282564049159973,-1.491382690840524,0,0,0,0,0,1,0,0,5
65,2021-12-23,558.2000122070311,570.0,554.9000244140625,562.6500244140625,1037910,560.1790262082989,584.2287706315537,39.24479298488171,-16.98077726051713,-16.422206691431406,-0.5585705690857239,0,0,0,0,0,1,0,0,5
66,2021-12-24,565.0,567.0,555.0,564.3499755859375,771191,561.5693426681578,582.7309153777292,40.124856836771116,-16.03022640948427,-16.34381063504198,0.31358422555770815,1,0,0,0,0,0,0,0,0
67,2021-12-27,565.0,565.75,554.7000122070311,559.2000122070311,574243,560.7795658475376,580.960134293392,38.314173453961686,-15.513635483380085,-16.177775604709602,0.6641401213295168,0,0,0,0,0,1,0,0,5
68,2021-12-28,560.1500244140625,567.0,560.1500244140625,563.75,390302,561.7697105652296,579.6665383281708,40.8536698301641,-14.569143446869248,-15.856049173141532,1.286905726272284,0,0,0,0,0,0,0,0,5
