,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,521.5999755859375,521.7999877929689,517.0,518.4000244140625,906692,518.4000244140625,518.4000244140625,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,520.0,523.9000244140625,514.0,514.4500122070311,2762269,516.0300170898437,516.3490565373347,,,,,0,0,0,1,0,0,0,1,0
16,2021-10-12,514.9500122070311,517.5999755859375,507.25,509.0,3670223,512.7000089946545,513.7086118770503,,,,,0,0,0,0,0,0,0,1,0
17,2021-10-13,517.0,523.9000244140625,514.5,515.5,5071477,513.8630821814903,514.2094057133193,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,519.75,519.75,509.0,509.7999877929688,2667604,512.3033160892143,513.1868435105097,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,511.0,512.1500244140625,504.20001220703125,509.0,3477135,511.09623968368186,512.3482521484204,,,,,0,0,0,0,0,0,0,1,5
20,2021-10-19,512.9500122070311,518.7999877929689,503.75,505.6000061035156,3551285,509.15026868808144,511.14811157131425,,,,,0,0,0,0,0,0,0,1,5
21,2021-10-20,506.0,507.5499877929688,498.0,499.0499877929688,2509238,505.6468088438925,509.1988040593707,,,,,0,0,0,0,0,0,0,0,5
22,2021-10-21,501.75,501.75,485.0,491.3500061035156,4026798,500.7539330012337,506.5532203687753,,,,,0,0,0,0,0,0,0,1,5
23,2021-10-22,492.1000061035156,495.5,475.0499877929688,476.1000061035156,5099924,492.3909301037277,502.3509731917993,,,,,0,0,0,0,0,0,0,1,0
24,2021-10-25,479.0,479.20001220703125,462.7999877929688,468.5499877929688,2582355,484.3509995358318,497.96697467740347,,,,,0,0,0,0,0,0,0,0,0
25,2021-10-26,468.0,474.5,467.0499877929688,473.20001220703125,2164082,480.6051330682726,494.9239630994648,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,471.7999877929688,475.70001220703125,469.3999938964844,472.2999877929688,1420175,477.82245325793366,492.27356847307584,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,474.0,475.7999877929688,461.0,462.8999938964844,1510625,472.8312026715026,488.9745664800717,,,,,0,0,0,0,0,0,0,0,0
28,2021-10-29,455.0,475.95001220703125,454.0,473.8999938964844,3063102,473.18828186000167,487.3438669846592,24.943698898996843,,,,0,0,0,0,0,1,1,0,0
29,2021-11-01,478.0,482.1499938964844,471.1499938964844,477.20001220703125,1669531,474.527564284593,486.2827364451415,27.831935307277416,,,,0,0,0,0,0,1,0,0,5
30,2021-11-02,479.6000061035156,483.8999938964844,475.6000061035156,477.6000061035156,1094756,475.5527520813808,485.40136349031826,28.192627146655486,,,,0,0,0,0,0,1,0,0,5
31,2021-11-03,480.0,482.5499877929688,473.1499938964844,477.0,821359,476.0354946969685,484.57132358950776,27.966828433381703,,,,0,0,0,0,0,1,0,0,5
32,2021-11-04,481.0,483.3999938964844,479.0,480.95001220703125,211350,477.6744065019488,484.222176772253,31.837268556904487,,,,0,0,0,0,0,1,0,0,5
33,2021-11-08,485.0499877929688,492.8999938964844,477.1000061035156,490.5,2620923,481.9508903959027,484.81422321887095,40.20287082398382,,,,0,0,0,0,0,0,1,0,5
34,2021-11-09,494.75,496.6499938964844,486.2999877929688,494.0,2446127,485.9680656504222,485.6633313364775,42.9655921224125,,,,0,0,1,0,0,0,1,0,5
35,2021-11-10,499.7999877929688,499.7999877929688,483.0,491.1000061035156,6372142,487.6789411389168,486.1568206627843,41.26442770319944,,,,0,0,0,0,0,0,0,1,10
36,2021-11-11,493.6000061035156,505.7999877929688,491.0,499.6499938964844,4114779,491.669647649164,487.3614882849335,47.8236490410269,,,,0,0,0,0,0,0,1,0,10
37,2021-11-12,502.95001220703125,505.6000061035156,496.0,497.70001220703125,1170158,493.6798885831813,488.27068451466533,46.54693998468708,,,,0,0,0,0,0,0,0,0,10
38,2021-11-15,502.0,508.70001220703125,497.0,504.8500061035156,3258816,497.4034085492739,489.7087684072148,51.644421216817804,,,,0,0,0,0,0,0,1,0,10
39,2021-11-16,505.1000061035156,508.1000061035156,500.0,502.1499938964844,1765634,498.98564543830935,490.774418428106,49.716333038684425,,,,0,0,0,0,0,0,0,0,10
40,2021-11-17,498.0,505.0,495.0,497.1000061035156,1525422,498.3570879301715,491.3100322709859,46.23918685489893,,,,0,0,0,0,0,0,0,0,5
41,2021-11-18,496.5,500.8500061035156,485.7999877929688,490.1000061035156,1967124,495.6046950248073,491.2086489896728,41.8680082050617,,,,0,0,0,0,0,0,0,0,5
42,2021-11-22,491.25,491.25,470.45001220703125,474.2999877929688,1809765,488.50307039405664,489.8055661694308,34.04482196395013,,,,0,0,0,1,0,1,0,0,5
43,2021-11-23,474.2999877929688,496.3999938964844,472.8500061035156,494.20001220703125,3300556,490.4020609017975,490.16699891265205,47.38083528886545,,,,0,0,1,0,0,0,1,0,5
44,2021-11-24,496.70001220703125,501.8999938964844,488.0,491.75,1432504,490.8513754966772,490.296141437286,46.143778602261904,,,,0,0,0,0,0,0,0,0,10
45,2021-11-25,491.70001220703125,498.45001220703125,487.6000061035156,497.6000061035156,1829265,493.10092424633916,490.8875570898422,49.5320289236702,,,,0,0,0,0,0,0,0,0,10
46,2021-11-26,495.0499877929688,500.25,482.7999877929688,486.3999938964844,2905022,490.86727734492655,490.52667543350174,43.84475534641604,,,,0,0,0,0,0,0,0,1,10
47,2021-11-29,480.25,488.6499938964844,471.0,480.8999938964844,1217336,487.54484610620244,489.7573956337823,41.33481784813355,-2.0230864290621753,-2.1777562098367422,0.15466978077456695,0,0,0,1,0,0,0,0,10
48,2021-11-30,480.1000061035156,489.8999938964844,479.75,484.25,2600828,486.44656331654335,489.3198469998881,43.45798473169918,-2.209594060462905,-2.1841237799619746,-0.025470280500930365,0,1,0,0,0,0,1,0,10
49,2021-12-01,485.0,490.0,481.0,484.75,2004242,485.88104195210997,488.95872468249314,43.78499774084375,-2.2906516741191467,-2.205429358793409,-0.08522231532573787,0,0,0,0,0,0,0,0,5
50,2021-12-02,488.0,499.0,485.70001220703125,498.1000061035156,1889099,489.95403124576615,489.67753751878007,51.80052661688427,-1.263096307055207,-2.0169627484457684,0.7538664413905614,1,0,1,0,0,0,0,0,5
