,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,1967.0,1988.5,1917.8499755859373,1962.5,815674,1962.5,1962.5,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,1948.9000244140625,2136.0,1930.0,2048.199951171875,2311543,2013.919970703125,2006.998051570012,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,2065.199951171875,2084.60009765625,2010.5999755859373,2040.300048828125,850605,2026.4157971833881,2018.9631358485553,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,2140.0,2140.0,2010.3499755859373,2017.550048828125,1540619,2022.7331017127406,2018.5680984689516,,,,,0,0,0,0,0,0,0,1,0
18,2021-10-14,2020.0,2087.0,2015.550048828125,2073.199951171875,628438,2042.1066315998964,2031.2374504452407,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,2093.0,2098.89990234375,2045.0,2052.85009765625,434290,2046.0324394971806,2035.5662913053156,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,2080.0,2084.85009765625,2004.75,2016.550048828125,386825,2035.594040858161,2032.1843511583352,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,2022.0,2073.89990234375,1986.5999755859373,2011.949951171875,682880,2027.3926730320059,2028.9240879459621,,,,,0,0,0,1,0,0,0,0,0
22,2021-10-21,2032.050048828125,2057.550048828125,1993.0,2043.5,696012,2032.905174843962,2031.08455809645,,,,,0,0,1,0,0,0,1,0,0
23,2021-10-22,2044.5,2065.0,2001.1500244140625,2018.699951171875,360974,2028.0865377472333,2029.3756028763726,,,,,0,0,0,1,0,0,0,0,10
24,2021-10-25,2030.0,2067.75,1962.1500244140625,1996.050048828125,859034,2017.2828059487397,2025.053267958764,,,,,0,0,0,0,0,0,0,1,10
25,2021-10-26,2006.5999755859373,2030.0,1989.300048828125,2021.199951171875,234685,2018.5986627878922,2024.5798272770498,,,,,0,0,0,0,0,0,0,0,10
26,2021-10-27,2030.0,2079.0,2002.0,2010.25,759257,2015.8014022207258,2022.9010905962655,,,,,0,0,0,0,0,0,0,1,10
27,2021-10-28,2020.800048828125,2058.0,1976.199951171875,1997.949951171875,612492,2009.8304651681908,2020.0987807012218,,,,,0,0,0,0,0,0,0,1,10
28,2021-10-29,2000.0,2189.699951171875,1850.0,2175.199951171875,5299099,2065.07979776419,2036.8769280763427,69.77134098601286,,,,0,0,1,0,1,0,1,0,0
29,2021-11-01,2168.0,2205.0,2129.14990234375,2179.300048828125,984882,2103.211267616244,2051.7755564849886,70.01746048967289,,,,0,0,0,0,1,0,0,0,10
30,2021-11-02,2165.10009765625,2226.39990234375,2161.0,2178.75,571371,2128.4164272868693,2064.664571352966,69.93519557172733,,,,0,0,0,0,1,0,0,0,10
31,2021-11-03,2176.0,2197.10009765625,2134.10009765625,2164.449951171875,329832,2140.435734653146,2074.523190952353,67.70794585636497,,,,0,0,0,0,1,0,0,0,10
32,2021-11-04,2170.0,2192.0,2164.0,2170.949951171875,51064,2150.61173047977,2083.820125922304,68.2036369155755,,,,0,0,0,0,1,0,0,0,10
33,2021-11-08,2175.0,2235.0,2145.800048828125,2161.949951171875,622515,2154.3922742950135,2091.1883622895593,66.67744826069895,,,,0,0,0,0,1,0,0,0,10
34,2021-11-09,2169.0,2202.5,2143.550048828125,2155.199951171875,734072,2154.6615539073655,2097.105418738452,65.49373532336993,,,,0,0,0,0,1,0,0,1,0
35,2021-11-10,2159.0,2199.89990234375,2130.0,2136.85009765625,783646,2148.723608174566,2100.7130604797494,62.25797796961409,,,,0,0,0,0,1,0,0,1,0
36,2021-11-11,2145.0,2198.0,2126.550048828125,2147.449951171875,1105941,2148.299018007319,2104.8857200907673,63.38337670766704,,,,0,0,0,0,1,0,1,0,0
