,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,1179.4000244140625,1180.0,1158.4000244140625,1174.4000244140625,2344868,1174.4000244140625,1174.4000244140625,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,1172.6500244140625,1194.449951171875,1170.0,1173.25,2535840,1173.710009765625,1173.8028963529143,,,,,0,0,0,1,0,0,0,1,0
16,2021-10-12,1165.0,1196.0,1160.050048828125,1181.9000244140625,2354120,1177.589490388569,1176.7121158485168,,,,,0,0,1,0,0,0,0,0,0
17,2021-10-13,1188.0999755859375,1191.949951171875,1175.25,1184.5,1235622,1180.4600097656248,1178.8892679300081,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,1190.0,1215.0,1161.800048828125,1210.0,3315820,1191.8000060167356,1186.1039750163316,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,1221.0,1229.6500244140625,1196.050048828125,1219.5999755859375,4512591,1201.9584911375116,1192.812956775907,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,1222.0,1240.0,1185.5999755859375,1194.0,3879525,1199.1407446395779,1193.024066259843,,,,,0,0,0,0,0,0,0,1,10
21,2021-10-20,1190.0,1213.9000244140625,1172.449951171875,1201.699951171875,2850772,1200.0284503788537,1194.4219662930739,,,,,0,0,0,0,0,0,0,0,10
22,2021-10-21,1205.0,1210.949951171875,1165.199951171875,1184.4000244140625,2408608,1194.6798455718538,1192.9364944955455,,,,,0,0,0,0,0,0,0,0,5
23,2021-10-22,1192.050048828125,1204.699951171875,1176.800048828125,1196.4000244140625,2618946,1195.2633575089706,1193.4144279148452,,,,,0,0,0,0,0,0,0,0,5
24,2021-10-25,1205.949951171875,1211.0,1156.699951171875,1177.75,3612312,1189.3572915260283,1191.3827466517919,,,,,0,0,0,1,0,0,0,1,5
25,2021-10-26,1180.0,1193.0,1137.699951171875,1154.9000244140625,3413917,1177.7823235314834,1186.900269388101,,,,,0,0,0,0,0,0,0,1,0
26,2021-10-27,1156.0,1163.8499755859375,1122.0,1142.550048828125,4329232,1165.9775764452543,1181.7046490491068,,,,,0,0,0,0,0,0,0,1,0
27,2021-10-28,1172.0,1242.0,1169.25,1176.0,17223159,1169.3298675276694,1181.0639490711958,,,,,0,0,0,0,0,0,1,0,0
28,2021-10-29,1166.949951171875,1182.0,1123.5999755859377,1140.199951171875,5112475,1159.5976703967,1176.6434654796733,42.66721734446624,,,,0,0,0,0,0,0,0,0,5
29,2021-11-01,1158.0,1235.0,1146.050048828125,1229.0999755859375,10563295,1182.800430242572,1182.1308473567328,59.35409640966909,,,,0,0,1,0,0,0,1,0,5
30,2021-11-02,1220.0,1240.0999755859375,1207.0,1212.550048828125,3730392,1192.727044880208,1185.218661952986,56.081655578646775,,,,0,0,0,0,0,0,0,0,10
31,2021-11-03,1215.0,1220.0,1174.25,1177.949951171875,2922214,1187.7980117990269,1184.5005261429205,49.888810877529394,,,,0,0,0,0,0,0,0,0,10
32,2021-11-04,1195.0,1195.0,1185.0,1189.0999755859375,278458,1188.2321955852594,1184.9439796227632,51.73831384155895,,,,0,0,0,0,0,0,0,0,10
33,2021-11-08,1130.0,1130.0,1041.5999755859377,1061.1500244140623,29099645,1145.8587289456927,1173.2692687181702,35.531879007672636,,,,0,0,0,1,0,1,0,1,10
34,2021-11-09,1081.0,1084.9000244140623,1062.5,1068.25,7752739,1119.9839651084274,1163.5615743447458,36.71646705765913,,,,0,0,0,0,0,1,0,0,10
35,2021-11-10,1066.800048828125,1066.800048828125,1027.800048828125,1032.199951171875,6796906,1090.7187156187952,1151.6378228422323,33.364213139077656,,,,0,0,0,0,0,1,0,0,0
36,2021-11-11,1032.199951171875,1038.0,1020.5,1033.300048828125,4527396,1071.5774544438843,1141.0726516728619,33.56355223779801,,,,0,0,0,0,0,1,0,0,0
37,2021-11-12,1040.0,1043.5,1028.550048828125,1037.050048828125,3479296,1060.067635518647,1131.9246379887056,34.28521247978091,,,,0,0,0,0,0,1,0,0,0
38,2021-11-15,1042.0,1051.0,1032.550048828125,1041.5,3105993,1053.8781785634312,1124.0812401340777,35.18493991877173,,,,0,0,0,0,0,1,0,0,0
39,2021-11-16,1042.0,1046.0,1018.25,1020.9000244140624,2685826,1042.8851702826273,1115.2432792127481,32.93678998723199,,,,0,0,0,0,0,1,0,0,0
40,2021-11-17,1017.9000244140624,1042.0,1014.0,1034.0,3042496,1039.9233947250339,1108.3640725334283,35.74831184667296,,,,0,0,0,0,0,1,0,0,0
41,2021-11-18,1031.800048828125,1042.0,1002.2999877929688,1008.4500122070312,3244457,1029.4321441150773,1099.9926706930983,32.85519441120152,,,,0,0,0,0,0,1,0,0,0
42,2021-11-22,1024.0,1025.9000244140623,988.5499877929688,1006.9000244140624,6198324,1021.9213787940397,1092.2678312652176,32.6823932564023,,,,0,0,0,0,0,1,0,1,0
43,2021-11-23,995.0,1010.0,974.0,981.3499755859376,8136685,1008.3975071963965,1083.145101231134,29.891528083197183,,,,0,0,0,0,0,1,0,1,0
44,2021-11-24,989.0,993.6500244140624,966.0,970.4000244140624,6646771,995.7316355664689,1073.9472655653337,28.758109147520745,,,,0,0,0,0,0,1,0,1,0
45,2021-11-25,968.0,970.0,951.3499755859376,959.2999877929688,5711537,983.5877248279028,1064.663934384373,27.615008576528705,,,,0,0,0,0,0,1,0,0,0
46,2021-11-26,951.0,956.9500122070312,898.0,901.7999877929688,6746021,956.325103689692,1051.566712513262,22.602938506175988,,,,0,0,0,0,0,1,0,1,0
47,2021-11-29,926.9000244140624,938.0,888.8499755859375,895.4500122070312,11905868,936.0333856254493,1039.0912376071246,22.125353090612297,-69.45071695888112,-54.85015551861639,-14.600561440264727,0,0,0,0,0,1,0,1,0
48,2021-11-30,902.0,927.5,875.7000122070312,883.0,6964145,918.3555782765288,1026.6901841293395,21.180415693798118,-73.0178467343136,-58.48369376175583,-14.534152972557763,0,0,0,0,0,1,0,0,0
