,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,307.79998779296875,311.79998779296875,300.20001220703125,305.0,5746316,305.0,305.0,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,305.0,307.79998779296875,292.95001220703125,303.70001220703125,3595497,304.2200073242188,304.3250063382662,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,305.0,305.0,293.04998779296875,299.0,4012453,301.7473722759046,302.4117832625658,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,298.95001220703125,303.79998779296875,296.6000061035156,298.3999938964844,1888828,300.3569227952223,301.29026226931813,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,298.3999938964844,311.0,298.04998779296875,306.0,4256928,302.52322257525543,302.38246987484246,,,,,0,0,1,0,0,0,1,0,0
19,2021-10-18,300.20001220703125,307.54998779296875,299.0,301.1499938964844,3192293,302.0214262309827,302.1356147662531,,,,,0,0,0,1,0,0,0,0,10
20,2021-10-19,303.70001220703125,305.6000061035156,293.45001220703125,294.95001220703125,3104071,299.5177541457663,300.8576926002718,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,295.29998779296875,313.3500061035156,290.5,303.0,18376360,300.7256322874331,301.2028714051586,,,,,0,0,0,0,0,0,1,0,10
22,2021-10-21,305.45001220703125,305.45001220703125,294.0,295.79998779296875,7048354,299.03990105128577,300.4020454446683,,,,,0,0,0,0,0,0,0,0,10
23,2021-10-22,290.0,305.79998779296875,290.0,302.0,5330583,300.04401354775354,300.6225476209112,,,,,0,0,0,0,0,0,0,0,10
24,2021-10-25,298.8999938964844,302.6499938964844,286.1000061035156,288.54998779296875,4370271,296.1678593333132,299.05673278663454,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,292.0,304.0,278.0,281.45001220703125,11610386,291.22380474878224,296.8934697446948,,,,,0,0,0,0,0,0,0,1,5
26,2021-10-27,284.3999938964844,284.5,270.39999389648443,274.95001220703125,8287553,285.77119044253595,294.3227976521771,,,,,0,0,0,0,0,0,0,1,5
27,2021-10-28,275.0,275.79998779296875,262.85000610351557,272.54998779296875,5966890,281.3489746482376,291.8774519918614,,,,,0,0,0,0,0,0,0,0,0
28,2021-10-29,274.54998779296875,280.5,266.64999389648443,271.5,2933333,278.05846870775275,289.6731108407829,28.303112239049057,,,,0,0,0,0,0,1,0,0,0
29,2021-11-01,274.0,286.70001220703125,272.54998779296875,285.04998779296875,5892031,280.3925285328248,289.1894941919323,39.700822366006655,,,,0,0,0,0,0,1,0,0,0
30,2021-11-02,285.3999938964844,287.79998779296875,282.29998779296875,285.3500061035156,2589924,282.04669997295446,288.7997526212108,39.92853079023387,,,,0,0,0,0,0,1,0,0,0
31,2021-11-03,287.95001220703125,292.0,283.3500061035156,287.54998779296875,3996110,283.88237133401617,288.6762780595797,41.668053745061684,,,,0,0,0,0,0,0,0,0,0
32,2021-11-04,287.54998779296875,290.20001220703125,285.3500061035156,287.1499938964844,221561,284.97207041045317,288.5291221810906,41.43312907544577,,,,0,0,0,0,0,0,0,0,0
33,2021-11-08,295.0,296.0,288.3999938964844,290.54998779296875,4540426,286.8319355193667,288.71970516840963,44.30742930914879,,,,0,0,0,0,0,0,1,0,0
34,2021-11-09,292.0,295.6000061035156,286.29998779296875,290.75,2779461,288.1382189041456,288.9073800775343,44.48004975146253,,,,0,0,0,0,0,0,0,0,5
35,2021-11-10,290.0,298.8500061035156,289.1499938964844,293.54998779296875,3318285,289.94238300657673,289.3287915932069,46.95858108141342,,,,0,0,1,0,0,0,1,0,5
36,2021-11-11,295.1000061035156,296.54998779296875,288.0,291.1499938964844,1700027,290.3449558410464,289.49138814556295,45.10008607673413,,,,0,0,0,0,0,0,0,0,10
37,2021-11-12,292.70001220703125,296.8999938964844,290.54998779296875,293.1000061035156,3211857,291.2633604847036,289.80873923616696,46.93765953991662,,,,0,0,0,0,0,0,1,0,10
38,2021-11-15,295.0,295.3500061035156,288.3500061035156,290.6499938964844,1154601,291.05889685810246,289.88170933750985,44.90402047532351,,,,0,0,0,0,0,0,0,0,10
39,2021-11-16,291.70001220703125,298.25,290.0,296.1000061035156,2624301,292.7393109718901,290.41433597339204,50.08484388193424,,,,0,0,0,0,0,0,1,0,10
40,2021-11-17,295.0,296.95001220703125,284.1000061035156,288.3999938964844,4149011,291.29284648761194,290.2437732437217,43.81596494287791,,,,0,0,0,0,0,0,0,1,10
41,2021-11-18,289.20001220703125,291.1000061035156,281.79998779296875,284.45001220703125,1892371,289.0118749625809,289.7583370433857,40.98217951840922,,,,0,0,0,1,0,0,0,0,5
42,2021-11-22,294.70001220703125,307.0,280.0,291.95001220703125,11173039,289.9912617054568,289.9402025224966,47.875484273152516,,,,0,0,1,0,0,0,1,0,5
43,2021-11-23,292.45001220703125,296.8999938964844,285.3999938964844,294.25,5884383,291.41084854025144,290.29467312281656,49.81145106122752,,,,0,0,0,0,0,0,1,0,10
44,2021-11-24,297.0,301.5,286.5,288.79998779296875,7543988,290.5405585987274,290.1727354699794,45.49908916862632,,,,0,0,0,0,0,0,0,1,10
45,2021-11-25,287.8999938964844,297.95001220703125,280.89999389648443,296.79998779296875,5414623,292.62703983289583,290.70936380803954,52.05996140954888,,,,0,0,0,0,0,0,0,0,10
46,2021-11-26,292.79998779296875,292.79998779296875,276.85000610351557,278.70001220703125,3331104,287.9846901175202,289.7435936315302,40.253197268818816,,,,0,0,0,1,0,0,0,0,10
47,2021-11-29,286.0,288.0,268.95001220703125,281.5,6828312,285.82312451829347,289.08483806415774,42.428392458709574,-2.425623608333069,-2.4172069236668423,-0.008416684666226804,0,0,0,0,0,0,1,0,10
48,2021-11-30,280.10000610351557,286.20001220703125,278.60000610351557,284.45001220703125,6236260,285.36542010020565,288.7166128889617,44.71222893377425,-2.493211083305141,-2.432407755594502,-0.06080332771063901,0,0,0,0,0,0,1,0,5
49,2021-12-01,282.8999938964844,287.6000061035156,274.20001220703125,284.3999938964844,5675397,285.0436112182946,288.37550136949227,44.67986521700292,-2.521741635953049,-2.4502745316662113,-0.07146710428683756,0,0,0,0,0,0,0,0,5
50,2021-12-02,284.1000061035156,289.0,277.25,278.79998779296875,6385949,282.96240277461095,287.6225432495272,41.09353907439238,-2.962080970234524,-2.5526358193798737,-0.4094451508546504,0,0,0,0,0,0,0,1,5
51,2021-12-03,278.79998779296875,284.5,275.54998779296875,280.70001220703125,5821900,282.2082724319636,287.08066972219774,42.77196480101367,-3.121751367535694,-2.666458929011038,-0.4552924385246562,0,0,0,0,0,0,0,0,5
52,2021-12-06,280.70001220703125,283.0,266.20001220703125,268.5,3947420,277.63884766810315,285.6323214903242,35.73184018630306,-4.18449408999885,-2.9700659612086002,-1.2144281287902499,0,0,0,0,0,1,0,0,5
53,2021-12-07,271.5,272.54998779296875,265.0,269.29998779296875,2929191,274.8592274583425,284.3641435814893,36.47026447176016,-4.905624044740307,-3.3571775779149418,-1.5484464668253652,0,0,0,0,0,1,0,0,5
54,2021-12-08,271.79998779296875,276.79998779296875,271.60000610351557,273.10000610351557,2382012,274.27282030471133,283.4926175104878,39.996978452787275,-5.111571989696472,-3.708056460271248,-1.4035155294252242,0,0,0,0,0,1,0,0,0
55,2021-12-09,268.60000610351557,281.5,268.0,275.10000610351557,7232434,274.5485489153956,282.8454007610122,41.827357248016625,-5.055131525035961,-3.9774714732241905,-1.0776600518117703,0,0,0,0,0,0,1,0,0
56,2021-12-10,276.0,276.95001220703125,272.04998779296875,273.35000610351557,1948104,274.14903463406336,282.1153619636783,40.65862957294215,-5.0929045908998205,-4.200558096759316,-0.8923464941405044,0,0,0,0,0,0,0,0,5
57,2021-12-13,275.0,275.29998779296875,268.0,269.79998779296875,2860633,272.699352327801,281.171165994711,38.319521907409445,-5.347652418376356,-4.429976961082724,-0.9176754572936314,0,0,0,0,0,1,0,0,5
