,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,234.75,234.8000030517578,231.1999969482422,231.6999969482422,9739240,231.6999969482422,231.6999969482422,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,232.0,239.5,231.6999969482422,238.0500030517578,21184428,235.51000061035157,234.99711550199066,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,238.6000061035156,243.0,238.0,241.3000030517578,29222028,238.25263334575448,237.26168180252307,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,242.5500030517578,250.8999938964844,240.1499938964844,249.1999969482422,50159625,242.79999976524937,240.59911301791323,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,253.25,261.85000610351557,250.3500061035156,256.54998779296875,85406902,248.07843118821273,244.29818666920957,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,261.0,265.29998779296875,257.35000610351557,262.54998779296875,60292901,253.36653382724387,247.953876863155,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,261.39999389648443,262.54998779296875,245.0500030517578,245.9499969482422,59061766,250.74066914303202,247.59749720812584,,,,,0,0,0,0,0,0,0,1,10
21,2021-10-20,245.9499969482422,248.5,242.3500061035156,246.6000061035156,47822165,249.3044074352727,247.43677667501362,,,,,0,0,0,0,0,0,0,0,5
22,2021-10-21,248.0,248.3500061035156,243.1000061035156,244.6999969482422,22518727,247.7286139343908,247.0311258391531,,,,,0,0,0,0,0,0,0,0,5
23,2021-10-22,244.6999969482422,245.8000030517578,233.6999969482422,236.6000061035156,35537151,243.95361371146765,245.5917328384679,,,,,0,0,0,1,0,0,0,0,5
24,2021-10-25,234.1000061035156,236.6499938964844,230.5,233.3999938964844,22333919,240.39459454828028,244.01046043534419,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,234.1000061035156,239.0,232.6000061035156,236.6999969482422,18934170,239.15349644162535,243.1122548092824,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,240.25,241.3000030517578,236.1999969482422,238.4499969482422,25911499,238.91778547307166,242.5660721418096,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,235.1000061035156,235.9499969482422,224.1499938964844,225.1000061035156,46282465,234.29602724200925,240.60442506613524,,,,,0,0,0,0,0,0,0,1,0
28,2021-10-29,225.0,228.25,222.3000030517578,223.1999969482422,26642108,230.5888846305727,238.72169227272306,44.79166705623947,,,,0,0,0,0,0,0,0,0,0
29,2021-11-01,224.1499938964844,227.5500030517578,222.5,226.8500061035156,23197539,229.34069149050364,237.47981637585,47.32890274574713,,,,0,0,0,0,0,0,0,0,0
30,2021-11-02,228.0,229.25,224.5,225.6000061035156,14343859,228.0925295280071,236.27391188837913,46.54007174615964,,,,0,0,0,0,0,0,0,0,0
31,2021-11-03,226.0,226.8500061035156,221.6999969482422,222.4499969482422,17843327,226.21041181959595,234.90813346456173,44.52607647080928,,,,0,0,0,0,0,0,0,0,0
32,2021-11-04,224.8500061035156,227.3000030517578,224.0,226.5500030517578,7024796,226.32365998243557,234.10228875152447,47.69858093586758,,,,0,0,0,0,0,0,0,0,0
33,2021-11-08,229.6999969482422,230.6999969482422,225.6999969482422,229.8000030517578,20270558,227.48278958903614,233.69655050938604,50.13307910631705,,,,0,0,0,0,0,0,1,0,0
34,2021-11-09,229.8500061035156,230.8999938964844,227.8500061035156,228.75,11520817,227.90527776222552,233.23930489023505,49.33410063171026,,,,0,0,0,0,0,0,0,0,5
35,2021-11-10,227.4499969482422,232.8500061035156,227.1999969482422,230.8500061035156,13431108,228.88698508822375,233.0224272032061,51.01554932860858,,,,0,0,0,0,0,0,0,0,5
36,2021-11-11,230.3999938964844,231.5,228.5500030517578,230.0,8134962,229.25802312008105,232.75258554854537,50.28807273063739,,,,0,0,0,0,0,0,0,0,5
37,2021-11-12,231.1999969482422,233.9499969482422,229.1499938964844,232.8999938964844,11855531,230.47208549806277,232.76554901559223,52.76297861007605,,,,0,0,0,0,0,0,0,0,5
38,2021-11-15,233.9499969482422,239.0,233.1000061035156,238.1000061035156,38755267,233.01482639783106,233.228257744205,56.905910197876395,,,,0,0,0,0,0,0,1,0,5
39,2021-11-16,239.0500030517578,239.6499938964844,235.0,235.4499969482422,14675969,233.82657134585304,233.41856025349068,54.292584909497634,,,,0,0,1,0,0,0,0,0,5
