,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,412.0,425.0,411.75,415.8500061035156,9816429,415.8500061035156,415.8500061035156,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,420.0499877929688,421.5,412.0,412.8999938964844,5070562,414.07999877929683,414.3182689960186,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,413.7999877929688,422.75,408.5499877929688,418.7999877929688,7390169,416.3157830489309,415.9285070457853,,,,,0,0,1,0,0,0,1,0,0
17,2021-10-13,417.0,442.5499877929688,412.0,432.6000061035156,14252173,423.07999877929683,420.58912964482664,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,436.1000061035156,453.7999877929688,432.6000061035156,446.5,10695420,432.0706153616521,426.59796735213934,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,451.6000061035156,461.0,450.1000061035156,452.1000061035156,10750659,439.38962581319015,431.70582231707556,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,464.7999877929688,472.6499938964844,435.2999877929688,439.75,12285531,439.51721822804416,433.136437618072,,,,,0,0,0,0,0,0,0,1,10
21,2021-10-20,439.75,446.0,427.0499877929688,441.20001220703125,7341439,440.100924878646,434.4356792862313,,,,,0,0,0,0,0,0,0,0,10
22,2021-10-21,444.5,446.20001220703125,421.3500061035156,433.7999877929688,7179385,437.9445194632203,434.3414558516344,,,,,0,0,0,0,0,0,0,0,5
23,2021-10-22,435.8999938964844,436.5,420.8999938964844,425.1000061035156,5692093,433.58745687883305,433.0662257305401,,,,,0,0,0,0,0,0,0,0,5
24,2021-10-25,427.1499938964844,432.5499877929688,415.0,425.2999877929688,4519537,430.79265643993165,432.0589422096894,,,,,0,0,0,1,0,0,0,0,5
25,2021-10-26,428.2999877929688,448.8999938964844,426.5499877929688,445.70001220703125,6521650,435.80037122261547,433.7349625931757,,,,,0,0,1,0,0,0,0,0,0
26,2021-10-27,448.2999877929688,448.6499938964844,428.8500061035156,430.3999938964844,4966436,433.99094821368595,433.3442716118985,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,426.5,426.70001220703125,408.5,414.1499938964844,7937914,427.3545639239138,431.1885257978399,,,,,0,0,0,1,0,0,0,1,5
28,2021-10-29,410.0,423.5,406.7999877929688,417.2999877929688,5982825,423.9953672897899,429.68612619141794,50.569289723214006,,,,0,0,0,0,0,0,0,0,5
29,2021-11-01,421.0,434.1000061035156,420.5,430.8999938964844,4712097,426.30041879195727,429.813106725053,55.66780624579164,,,,0,0,0,0,0,0,0,0,5
30,2021-11-02,434.0,438.5499877929688,417.3500061035156,418.8999938964844,9190392,423.8311042398775,428.7053304701666,50.69877974648252,,,,0,0,0,0,0,0,0,1,5
31,2021-11-03,423.70001220703125,429.20001220703125,417.20001220703125,422.5499877929688,8741833,423.4037762772689,428.09719346584296,52.099347774997526,,,,0,0,0,0,0,0,1,0,0
32,2021-11-04,424.95001220703125,425.1499938964844,418.45001220703125,423.20001220703125,421029,423.33582426784795,427.6250343308104,52.35891532268882,,,,0,0,0,0,0,0,0,0,5
33,2021-11-08,426.0,428.0,416.20001220703125,424.6000061035156,5240000,423.7573449764283,427.33975117645633,52.95026895604493,,,,0,0,0,0,0,0,1,0,5
34,2021-11-09,424.7999877929688,431.0,410.2999877929688,413.2999877929688,11324467,420.27086025802396,426.0419537944555,47.79355916991283,,,,0,0,0,0,0,0,0,1,5
35,2021-11-10,412.0,412.6000061035156,397.0,399.25,11428841,413.2629701838426,423.61003652976467,42.280124188305464,,,,0,0,0,0,0,0,0,1,5
36,2021-11-11,402.95001220703125,404.8999938964844,397.6000061035156,401.75,5441641,409.42497147183315,421.65837714095346,43.5284595241901,,,,0,0,0,0,0,0,0,0,5
37,2021-11-12,405.5,407.3500061035156,393.0499877929688,398.5,6996964,405.7830979756447,419.6217702382738,42.24921789018152,,,,0,0,0,0,0,0,0,0,5
38,2021-11-15,401.6000061035156,401.6000061035156,387.0,388.2999877929688,5942662,399.95516378282326,416.90493103715573,38.43178142737479,,,,0,0,0,0,0,1,0,0,5
39,2021-11-16,386.6000061035156,393.5499877929688,383.3999938964844,385.0499877929688,5736307,394.9866406101446,414.1764039348269,37.276066883057275,,,,0,0,0,0,0,1,0,0,0
40,2021-11-17,383.6000061035156,390.45001220703125,380.45001220703125,381.8999938964844,4510931,390.6243482584534,411.4434259251777,36.14163381101322,,,,0,0,0,0,0,1,0,0,0
41,2021-11-18,382.0,385.70001220703125,367.5,370.0499877929688,7052933,383.7661476294135,407.9752343310662,32.174684600848806,,,,0,0,0,0,0,1,0,1,0
42,2021-11-22,371.0,373.0,362.0499877929688,368.3999938964844,4797124,378.6440563168142,404.69127593159635,31.65370365718853,,,,0,0,0,0,0,1,0,0,0
43,2021-11-23,368.0,385.3500061035156,367.7999877929688,380.8500061035156,6970887,379.37937674714726,402.73038814685395,39.600838341110105,,,,0,0,0,0,0,1,1,0,0
44,2021-11-24,383.0,391.20001220703125,379.7999877929688,383.0499877929688,6334540,380.60291801634384,401.12484497457075,40.90837977037061,,,,0,0,0,0,0,0,1,0,5
45,2021-11-25,382.25,384.70001220703125,376.0,381.5499877929688,5149021,380.91860867359964,399.5398105492647,40.26828459580002,,,,0,0,0,0,0,0,0,0,5
