,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,670.0499877929688,683.0,664.5,665.8499755859375,3826818,665.8499755859375,665.8499755859375,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,671.0499877929688,678.0,666.7000122070312,672.4000244140625,2257738,669.7800048828126,669.2509624774639,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,672.4000244140625,681.0,665.4000244140625,673.75,2930894,671.6605288856908,670.8674229771823,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,673.7999877929688,692.0,671.0,681.4500122070312,5601758,675.72692964994,673.8258524711478,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,690.0,699.0,682.9500122070312,692.8499755859375,4751065,682.3002316443276,678.2376250883452,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,695.5,727.2999877929688,695.5,715.7999877929688,9493244,694.5414959211995,685.7610667514238,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,722.5,722.5,688.4500122070312,691.5499877929688,4164143,693.482336413924,686.7905963496913,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,692.0,695.7000122070312,675.4000244140625,685.1500244140625,3256699,690.5921276361767,686.5262595602356,,,,,0,0,0,0,0,0,0,0,5
22,2021-10-21,691.3499755859375,693.9500122070312,655.0999755859375,674.0999755859375,5811087,684.9479249549594,684.6844114818151,,,,,0,0,0,0,0,0,0,1,5
23,2021-10-22,676.0,690.0,658.0499877929688,667.7999877929688,10162556,679.1310727850419,682.3545253435803,,,,,0,0,0,1,0,0,0,1,5
24,2021-10-25,670.0,678.0,653.0499877929688,674.25,3987950,677.4850184564395,681.3033658390007,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,678.7000122070312,697.4500122070312,674.5,694.3499755859375,4238644,683.150335394344,682.9063474141643,,,,,0,0,1,0,0,0,0,0,0
26,2021-10-27,694.3499755859375,699.5,682.0999755859375,684.9000244140625,3330934,683.7365773140393,683.1399063150958,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,682.9000244140625,684.4000244140625,664.0499877929688,667.4500122070312,3080237,678.2890618829497,681.3777444849936,,,,,0,0,0,1,0,0,0,0,5
28,2021-10-29,670.0,684.7999877929688,663.0,669.1500244140625,3612552,675.2357433238377,680.0550046965752,51.07774309417594,,,,0,0,0,0,0,0,0,0,5
29,2021-11-01,680.0,690.75,672.5,688.9500122070312,3234840,679.8141366086655,680.9854955529114,57.05844614768084,,,,0,0,0,0,0,0,0,0,5
30,2021-11-02,693.4000244140625,693.4000244140625,671.5,672.8499755859375,3204544,677.4903910941387,680.159669229832,51.540918311403786,,,,0,0,0,0,0,0,0,0,5
31,2021-11-03,677.4500122070312,683.5499877929688,673.5499877929688,680.25,2265795,678.4108835709809,680.1685937506669,53.75444887966688,,,,0,0,0,0,0,0,0,0,0
32,2021-11-04,680.9500122070312,685.0,677.1500244140625,678.6500244140625,352700,678.4906331598219,680.0221816930842,53.188737503164354,,,,0,0,0,0,0,0,0,0,0
33,2021-11-08,683.0,687.9500122070312,668.0499877929688,685.8499755859375,2919045,680.9444852455097,680.5717869528556,55.460319783467924,,,,0,0,1,0,0,0,1,0,0
34,2021-11-09,686.0,691.3499755859375,675.1500244140625,676.6500244140625,2494969,679.5127112513777,680.2092699348223,51.988733150976444,,,,0,0,0,1,0,0,0,1,10
35,2021-11-10,675.0,676.0499877929688,652.2000122070312,662.4000244140625,6871348,673.8077197925234,678.5927169956328,47.073581670172025,,,,0,0,0,0,0,0,0,1,10
36,2021-11-11,662.4000244140625,669.8499755859375,660.25,667.4000244140625,3868489,671.671630997297,677.5934357943797,48.89913996225173,,,,0,0,0,0,0,0,0,0,10
