,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,1740.0,1741.0,1720.0,1726.9000244140625,1755402,1726.9000244140625,1726.9000244140625,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,1733.75,1746.8499755859375,1715.0,1716.9000244140625,1528151,1720.9000244140625,1721.7077167217547,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,1710.5,1725.550048828125,1700.0,1718.199951171875,1671988,1719.6210423519735,1720.4474106173377,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,1727.0,1763.9000244140625,1724.050048828125,1752.050048828125,2105025,1733.091552734375,1729.28212723907,,,,,0,0,1,0,0,0,1,0,0
18,2021-10-14,1775.0,1817.9000244140625,1767.449951171875,1789.300048828125,4440909,1754.669221850933,1743.2005308054268,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,1807.1500244140625,1810.5,1782.0,1788.449951171875,1918546,1767.0131575276082,1752.2636288083966,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,1809.800048828125,1885.0,1802.050048828125,1846.050048828125,6639827,1794.996593058486,1768.943057432992,,,,,0,0,0,0,0,0,1,0,10
21,2021-10-20,1855.0,1868.6500244140625,1796.300048828125,1806.699951171875,3295376,1799.0561083945659,1775.0266285669388,,,,,0,0,0,0,0,0,0,0,10
22,2021-10-21,1815.0,1826.5,1791.050048828125,1805.75,2774633,1801.3469968627342,1779.580506681557,,,,,0,0,0,0,0,0,0,0,10
23,2021-10-22,1816.0,1831.5,1781.3499755859375,1792.25,1520637,1798.2611512918734,1781.3287734512778,,,,,0,0,0,0,0,0,0,0,5
24,2021-10-25,1792.25,1812.800048828125,1760.3499755859375,1784.1500244140625,2488386,1793.5024266217847,1781.6946905949244,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,1785.0,1811.9000244140625,1781.550048828125,1796.25,1930107,1794.4253980754456,1783.4830396947832,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,1801.0,1814.0,1775.0999755859375,1784.550048828125,1408879,1791.1166136942406,1783.608039622294,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,1799.550048828125,1862.0,1791.0,1814.25,6379424,1798.8542476303098,1787.0494964355266,,,,,0,0,0,0,0,0,1,0,0
28,2021-10-29,1822.0,1824.9000244140625,1735.800048828125,1766.6500244140625,3984689,1788.0949359672707,1784.8427732566352,56.5410543400532,,,,0,0,0,0,0,0,0,1,5
29,2021-11-01,1776.0,1805.0,1751.199951171875,1795.3499755859375,2316925,1790.5169699053663,1785.941912934887,60.55354840736531,,,,0,0,0,0,1,0,0,0,5
30,2021-11-02,1800.0,1824.449951171875,1795.4000244140625,1815.6500244140625,1687119,1798.903166389098,1788.9575456870741,63.145497003715874,,,,0,0,0,0,1,0,0,0,5
31,2021-11-03,1818.0,1915.0,1818.0,1889.5,11580233,1829.1225585600087,1798.890962911709,70.69057449910605,,,,0,0,0,0,1,0,1,0,5
32,2021-11-04,1900.0,1920.8499755859373,1900.0,1908.949951171875,764191,1855.743698040029,1809.5022419216436,72.29907170796926,,,,0,0,0,0,1,0,0,0,5
33,2021-11-08,1944.550048828125,1953.9000244140625,1912.199951171875,1924.550048828125,3674523,1878.6860477248015,1820.3521245639442,73.55275249535417,,,,0,0,0,0,1,0,0,0,5
34,2021-11-09,1933.5,1964.0999755859373,1930.300048828125,1943.5999755859373,3550645,1900.3283626547563,1831.7448192999327,75.0383998889044,,,,0,0,0,0,1,0,0,0,5
35,2021-11-10,1932.699951171875,1954.0,1932.0,1950.1500244140625,3208195,1916.9378032122136,1842.492511116492,75.54703083117312,,,,0,0,0,0,1,0,0,0,5
36,2021-11-11,1947.8499755859373,1981.75,1925.6500244140625,1931.699951171875,7061537,1921.858957697195,1850.4569322966142,71.14919907184806,,,,0,0,0,0,1,0,0,1,5
37,2021-11-12,1940.0,1965.0,1928.0999755859373,1959.949951171875,2026320,1934.5567098090958,1860.0860283545692,73.67603772512342,,,,0,0,0,0,1,0,0,0,0
38,2021-11-15,1961.25,1974.5,1943.0,1947.050048828125,1127678,1938.7213210762409,1867.6292535947664,70.63385563816044,,,,0,0,0,0,1,0,0,0,0
39,2021-11-16,1950.0,1979.949951171875,1944.0,1955.300048828125,2279531,1944.2477095646987,1875.138673374398,71.44589976976468,,,,0,0,0,0,1,0,0,0,0
40,2021-11-17,1949.0,1978.9000244140625,1943.550048828125,1952.9000244140625,2166686,1947.131865278355,1881.7230506994956,70.83226462604352,,,,0,0,0,0,1,0,0,0,0
41,2021-11-18,1952.9000244140625,1954.0,1893.0,1897.0,1883794,1930.4210474347706,1883.0030455377707,58.27735078356729,,,,0,0,0,0,0,0,0,0,0
