,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,5834.594417147926,5986.19629150751,5768.745711345639,5969.83349609375,504760,5969.83349609375,5969.83349609375,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,5944.591624358759,5944.591624358759,5597.1399341505685,5865.6728515625,359610,5907.337109375,5915.750084510216,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,5865.722956527996,5935.313064472275,5706.887705251332,5810.599609375,262597,5861.514083059211,5877.970539722847,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,5824.617259985241,5983.252776315774,5817.833042830848,5937.70751953125,183586,5893.163664362981,5894.670388796373,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,6046.108216077327,6258.769499215385,6016.1769872848645,6084.9189453125,485930,5966.775881220379,5938.789813751455,,,,,0,0,1,0,0,0,1,0,0
19,2021-10-18,6129.9159987767025,6218.861541202864,5845.3695729791225,5892.31201171875,703972,5939.565775522792,5929.480680697955,,,,,0,0,0,0,0,0,0,1,10
20,2021-10-19,6429.228141166395,7047.158475909679,6365.3748511237745,6839.435546875,3798353,6258.169497385716,6091.31143656656,,,,,0,0,0,0,0,0,1,0,10
21,2021-10-20,6790.398337431219,7138.598310949217,6485.099793315153,6924.24072265625,1863489,6489.208001694464,6225.516983148796,,,,,0,0,0,0,0,0,1,0,10
22,2021-10-21,6963.001927424112,7035.235866321496,6535.234757860695,6638.04833984375,633550,6540.146474314435,6286.663186485885,,,,,0,0,0,0,0,0,0,0,10
23,2021-10-22,6644.732941086573,6758.421922533455,6457.213593627622,6528.5,499076,6536.195805569393,6320.0343130286055,,,,,0,0,0,0,0,0,0,0,10
24,2021-10-25,6555.0,6586.7001953125,6264.2001953125,6411.4501953125,386502,6494.127583934437,6331.89098192142,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,6450.0,6608.85009765625,6420.0,6506.64990234375,363082,6498.334111234884,6353.362868868775,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,6570.0,6689.0,6546.5498046875,6658.5498046875,313943,6552.015168060678,6389.115463352285,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,6694.0,6855.0,6643.64990234375,6689.35009765625,568697,6597.9508299564795,6422.835385806904,,,,,0,0,0,0,0,0,1,0,0
28,2021-10-29,6700.0,6829.85009765625,6610.0,6682.2998046875,280562,6626.131509909382,6450.903080237375,64.50561373517533,,,,0,0,0,0,1,0,0,0,5
29,2021-11-01,6720.0,6835.0,6661.0,6802.14990234375,294832,6684.893769333598,6487.64638325347,66.27792166529117,,,,0,0,0,0,1,0,0,0,5
30,2021-11-02,6824.0,6908.0,6736.14990234375,6752.89990234375,220667,6707.585511530098,6514.571931865414,64.84504493113812,,,,0,0,0,0,1,0,0,0,5
31,2021-11-03,6730.0,6800.0,6644.39990234375,6736.0498046875,203300,6717.0800336177645,6536.453555223434,64.332594471748,,,,0,0,0,0,1,0,0,0,5
32,2021-11-04,6797.0,6805.89990234375,6750.0498046875,6765.0,24255,6733.060564450607,6558.488739542228,64.84660979439386,,,,0,0,0,0,1,0,0,0,5
33,2021-11-08,6786.0,6878.7998046875,6680.0,6827.89990234375,252226,6764.683186910527,6583.896259924588,65.99331555386934,,,,0,0,0,0,1,0,1,0,0
34,2021-11-09,6849.0,6932.2001953125,6758.2001953125,6839.64990234375,228146,6789.677102979524,6607.537428119713,66.21502335807429,,,,0,0,0,0,1,0,1,0,5
35,2021-11-10,6820.0,6917.9501953125,6786.0,6835.7998046875,137693,6805.05339203365,6628.256903030477,66.06304077864479,,,,0,0,0,0,1,0,0,0,5
36,2021-11-11,6839.0,6999.89990234375,6763.0498046875,6948.75,174895,6852.956529754702,6656.870458222759,68.3576361775768,,,,0,0,0,0,1,0,0,0,5
37,2021-11-12,7000.0,7266.0,6954.39990234375,7243.25,594614,6983.062081854901,6708.438174522783,73.40648075272354,,,,0,0,0,0,1,0,1,0,5
38,2021-11-15,7278.89990234375,7303.5,7166.0,7197.35009765625,179625,7054.494249321194,6750.846204173795,71.49182538558986,,,,0,0,0,0,1,0,0,0,5
39,2021-11-16,7189.0,7325.0,7180.0,7291.2998046875,304970,7133.431518499191,6797.138620557928,73.04176917883521,,,,0,0,0,0,1,0,1,0,5
40,2021-11-17,7274.0,7564.9501953125,7240.0,7397.0498046875,571581,7221.305827232906,6847.935598041517,74.70859105695243,,,,0,0,0,0,1,0,1,0,5
41,2021-11-18,7399.0,7411.7998046875,7121.2001953125,7147.64990234375,310851,7196.753564174486,6873.047467886587,64.56895940364072,,,,0,0,0,0,1,0,0,0,5
42,2021-11-22,7099.0,7099.0,6753.4501953125,6829.60009765625,353527,7074.368117957472,6869.4421996725205,54.42448603537867,,,,0,0,0,0,0,0,0,0,5
43,2021-11-23,6789.9501953125,6949.0,6600.0,6927.35009765625,246188,7025.361855618083,6874.204986663953,56.67731095151704,,,,0,0,0,0,0,0,0,0,5
44,2021-11-24,6940.0,7002.5498046875,6720.0,6749.0498046875,336544,6933.2575184193065,6863.994724459683,51.661061077300616,,,,0,0,0,0,0,0,0,1,5
45,2021-11-25,6760.0,6880.0,6712.39990234375,6849.7998046875,158382,6905.438216028568,6862.845319572862,54.13143535306348,,,,0,0,0,0,0,0,0,0,5
46,2021-11-26,6865.0,6865.0,6616.14990234375,6648.2998046875,171743,6819.725279803439,6845.591960135644,48.76385723864931,,,,0,0,0,1,0,0,0,0,0
47,2021-11-29,6530.0,6792.0,6392.35009765625,6748.5498046875,249304,6796.000096991146,6837.8372037722565,51.348604854323874,132.19488678024845,239.77169435922457,-107.57680757897612,0,0,0,0,0,0,1,0,0
48,2021-11-30,6814.0,6949.9501953125,6755.25,6809.7001953125,299419,6800.566799567832,6835.601789715943,52.90915503119372,118.2141075957943,215.46017700653852,-97.24606941074421,0,0,0,0,0,0,1,0,5
49,2021-12-01,6820.0,6929.75,6816.14990234375,6912.2001953125,199325,6837.777948519511,6841.654813753394,55.48656139145053,114.08997452995936,195.18613651122268,-81.09616198126332,0,0,0,0,0,0,0,0,5
50,2021-12-02,6920.0,6977.7998046875,6784.0,6948.75,303243,6874.76864363691,6850.076105149321,56.4028874101555,112.47429943031693,178.64376909504153,-66.1694696647246,0,0,1,0,0,0,1,0,5
51,2021-12-03,6969.0,6999.0,6835.14990234375,6848.85009765625,286743,6866.129126552013,6849.980137214945,53.1805124197712,101.95747573872723,163.30651042377866,-61.349034685051436,0,0,0,0,0,0,0,1,10
52,2021-12-06,6866.39990234375,6866.39990234375,6520.7998046875,6556.0498046875,317321,6762.769338575738,6827.068504654063,45.05566408441481,69.19860217386395,144.48492877379573,-75.28632659993178,0,0,0,1,0,0,0,1,10
53,2021-12-07,6650.0,6684.9501953125,6493.0,6556.39990234375,253149,6693.979520277215,6806.051548447692,45.06647102153097,42.77215800104932,124.14237461924645,-81.37021661819713,0,0,0,0,0,0,0,0,10
54,2021-12-08,6639.0,6720.0,6606.0498046875,6647.7998046875,335995,6678.586280819223,6793.807333501084,47.945080095389564,28.87140724918845,105.08818114523486,-76.2167738960464,0,0,0,0,0,0,1,0,10
55,2021-12-09,6590.0,6674.7001953125,6553.0498046875,6606.10009765625,236607,6654.424218793717,6779.331831044767,46.74164914349665,14.325014421173364,86.93554780042255,-72.61053337924919,0,0,0,0,0,0,0,0,10
56,2021-12-10,6610.0,6629.9501953125,6464.10009765625,6613.2001953125,380321,6640.682877265092,6766.559056039218,46.98564732710807,3.3314094325296537,70.21472012684397,-66.88331069431432,0,0,0,0,0,0,1,0,5
57,2021-12-13,6664.0,6891.5,6600.0,6770.60009765625,404491,6683.988618169104,6766.868874900776,52.212475599096706,7.2363389368538265,57.619043888845944,-50.38270495199212,0,0,0,0,0,0,1,0,5
58,2021-12-14,6788.0,6788.0,6641.75,6670.0498046875,264969,6679.3423469532345,6759.4651488836635,48.89596524382419,2.192185246873123,46.53367216045138,-44.34148691357826,0,0,0,0,0,0,0,0,5
