,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,960.0,965.75,945.5499877929688,947.2999877929688,902738,947.2999877929688,947.2999877929688,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,952.0,962.0,945.2999877929688,958.5,625803,954.0199951171875,953.1153787466194,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,961.0,976.0,958.2000122070312,966.2999877929688,1103519,959.8368337530837,957.8524807647509,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,967.0999755859376,979.9000244140624,959.6500244140624,963.2999877929688,1254976,961.275374661959,959.3753656760737,,,,,0,0,0,0,0,0,0,1,0
18,2021-10-14,963.2999877929688,968.1500244140624,945.0,946.4500122070312,938940,955.584121776418,956.3779228947039,,,,,0,0,0,1,0,0,0,0,0
19,2021-10-18,939.0,946.4500122070312,928.2999877929688,936.4500122070312,1494605,948.5922591818903,952.386521323277,,,,,0,0,0,0,0,0,0,1,10
20,2021-10-19,941.7999877929688,945.5,933.2999877929688,938.4000244140624,1702179,944.9836437638493,949.8990953520512,,,,,0,0,0,0,0,0,1,0,10
21,2021-10-20,938.4000244140624,939.2000122070312,918.4000244140624,929.6500244140624,1305385,939.6649085508462,946.6364682858651,,,,,0,0,0,0,0,0,0,0,5
22,2021-10-21,937.9000244140624,937.9000244140624,908.0499877929688,924.2999877929688,1337084,934.4064846244765,943.3257115254681,,,,,0,0,0,0,0,0,0,0,5
23,2021-10-22,924.2999877929688,939.8499755859376,914.0,919.2999877929688,1490587,929.2821213821746,940.0103954852536,,,,,0,0,0,0,0,0,0,1,5
24,2021-10-25,920.5499877929688,934.0,900.0499877929688,928.1500244140624,1886771,928.9003419667007,938.4721015999492,,,,,0,0,0,0,0,0,1,0,5
25,2021-10-26,930.0999755859376,939.8499755859376,924.0,929.7999877929688,1053103,929.2025531551749,937.4065957773674,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,934.7000122070312,945.3499755859376,930.5999755859376,936.8499755859376,833917,931.764859688511,937.341387822341,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,902.5499877929688,929.9500122070312,878.0,881.75,3498287,915.0359350720056,931.0978133897652,,,,,0,0,0,0,0,0,0,1,5
28,2021-10-29,896.0,955.0,881.25,922.9000244140624,7118661,917.6632981855021,930.211013430957,43.358747480264874,,,,0,0,0,0,0,0,1,0,5
29,2021-11-01,926.0,947.8499755859376,920.5999755859376,944.3499755859376,1016327,926.5724209134551,931.6900650211696,49.68568273286627,,,,0,0,0,0,0,0,0,0,5
30,2021-11-02,947.6500244140624,949.0,928.7000122070312,930.75,675353,927.9663620690743,931.5946402120561,46.16467613402908,,,,0,0,0,0,0,0,0,0,5
31,2021-11-03,935.7999877929688,939.5999755859376,922.5999755859376,935.9000244140624,881906,930.6127068054088,932.0200045806021,47.67679441141689,,,,0,0,0,0,0,0,0,0,5
32,2021-11-04,940.0,941.0,932.0,934.25,63428,931.8256850362492,932.2350084068245,47.219176925173215,,,,0,0,0,0,0,0,0,0,5
33,2021-11-08,935.0,935.9500122070312,912.0,929.2999877929688,602828,930.983532695811,931.9582136545442,45.79896926506136,,,,0,0,0,0,0,0,0,0,5
34,2021-11-09,932.7000122070312,942.5499877929688,926.5,937.3499755859376,673669,933.1061058715776,932.4566134015915,48.51115972088842,,,,0,0,1,0,0,0,0,0,0
35,2021-11-10,937.9000244140624,949.5999755859376,934.9500122070312,942.0499877929688,864332,936.087798369992,933.3274081554204,50.081741346550366,,,,0,0,0,0,0,0,0,0,5
36,2021-11-11,942.0499877929688,943.9000244140624,927.0,935.6500244140624,436182,935.9418607142717,933.5347708385344,47.937441852119974,,,,0,0,0,0,0,0,0,0,5
37,2021-11-12,941.0,950.0,929.8499755859376,948.25,731054,940.0448175382467,934.828865718428,52.2702739689011,,,,0,0,0,0,0,0,1,0,5
38,2021-11-15,943.1500244140624,959.9000244140624,943.0,944.75,1010685,941.6132738063703,935.6894210390838,51.00056448031941,,,,0,0,0,0,0,0,0,1,10
