,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,7548.7001953125,7571.9501953125,7401.14990234375,7430.0,630622,7430.0,7430.0,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,7420.2001953125,7814.7998046875,7419.7998046875,7700.7998046875,1069536,7592.4798828125,7570.607590895433,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,7687.89990234375,7750.0,7630.0498046875,7693.7998046875,406814,7640.473530016447,7614.869357211064,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,7740.0,7749.9501953125,7436.5498046875,7482.14990234375,1084436,7574.708330829326,7577.766797414544,,,,,0,0,0,1,0,0,0,1,0
18,2021-10-14,7540.0,7560.0,7445.0,7496.89990234375,831546,7544.838744538655,7559.01343090412,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,7405.0,7705.2998046875,7405.0,7657.0,913963,7585.82398525611,7578.639359181186,,,,,0,0,1,0,0,0,1,0,10
20,2021-10-19,7670.2001953125,7768.60009765625,7585.0,7655.64990234375,658869,7610.546225934542,7592.335285070575,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,7615.0,7667.35009765625,7515.0,7590.75,488082,7603.679557240039,7592.079856364995,,,,,0,0,0,0,0,0,0,0,10
22,2021-10-21,7650.0,7650.0,7485.0,7575.25,563128,7593.949948714042,7589.585302186926,,,,,0,0,0,0,0,0,0,0,10
23,2021-10-22,7600.0,7625.0,7386.5498046875,7408.89990234375,224520,7531.178038973302,7564.652475563172,,,,,0,0,0,1,0,0,0,0,10
24,2021-10-25,7355.0,7396.0498046875,7219.64990234375,7260.60009765625,248058,7439.930476983624,7525.216785824712,,,,,0,0,0,0,0,0,0,0,10
25,2021-10-26,7265.0,7337.9501953125,7210.2001953125,7297.35009765625,292203,7392.034533233886,7497.2197728219,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,7285.0,7461.25,7244.0,7356.25,1218064,7380.044749208259,7480.705189363034,,,,,0,0,0,0,0,0,1,0,0
27,2021-10-28,7250.0,7529.7001953125,7235.0498046875,7369.7001953125,961511,7376.584712263413,7468.238007486642,,,,,0,0,0,0,0,0,1,0,5
28,2021-10-29,7350.0,7550.0,7294.85009765625,7482.39990234375,819875,7411.937175234286,7469.769977608483,52.04288196077073,,,,0,0,0,0,0,0,1,0,5
29,2021-11-01,7401.0,7666.0,7401.0,7615.5498046875,1005690,7479.911538529519,7485.019745073641,56.865602167123996,,,,0,0,0,0,0,0,1,0,5
30,2021-11-02,7647.9501953125,7910.0,7630.7998046875,7791.75,1302733,7583.963300649051,7516.155544583855,62.27248988691378,,,,0,0,1,0,1,0,1,0,5
31,2021-11-03,7791.75,7842.25,7711.60009765625,7734.25,656492,7634.092786688965,7537.702892267306,59.644984099917444,,,,0,0,0,0,0,0,0,0,10
32,2021-11-04,7774.7001953125,7819.9501953125,7735.5,7747.39990234375,53365,7671.878870277977,7557.920718331728,60.06002850828689,,,,0,0,0,0,1,0,0,0,10
33,2021-11-08,7759.9501953125,7882.60009765625,7672.0,7684.60009765625,428433,7676.12055500023,7569.867546661864,57.04273318413746,,,,0,0,0,0,0,0,0,0,10
