,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,6655.0,6878.5498046875,6631.0,6670.9501953125,633366,6670.9501953125,6670.9501953125,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,6744.0,6746.0498046875,6482.5,6632.25,216362,6647.730078125,6650.85586313101,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,6632.25,6675.0,6560.10009765625,6660.9501953125,180116,6653.992238898025,6654.482658675764,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,6699.0,6840.0,6660.0,6805.89990234375,308452,6717.092345252403,6696.812303135442,,,,,0,0,1,0,0,0,1,0,0
18,2021-10-14,6830.0,7180.0,6819.85009765625,7008.85009765625,675707,6829.0941364595665,6769.175154715569,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,7008.85009765625,7131.60009765625,6950.0,7019.5,220828,6898.671015918702,6819.313224706699,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,7266.0,7465.39990234375,6621.2998046875,6931.5498046875,854356,6910.311927532327,6839.273918637277,,,,,0,0,0,0,0,0,0,1,10
21,2021-10-20,6979.7998046875,7088.89990234375,6705.0,6917.0,506746,6912.63180294657,6851.797516266975,,,,,0,0,0,0,0,0,0,0,10
22,2021-10-21,6986.14990234375,7041.89990234375,6590.60009765625,6729.5498046875,296735,6849.9746128898305,6833.677721714583,,,,,0,0,0,0,0,0,0,0,10
23,2021-10-22,6775.0,6850.0,6225.0,6289.64990234375,556318,6659.903586992742,6758.607177494378,,,,,0,0,0,1,0,0,0,1,5
24,2021-10-25,6270.0,6289.0,5870.9501953125,5955.7001953125,669605,6422.423612376517,6654.469887544091,,,,,0,0,0,0,0,0,0,1,0
25,2021-10-26,5932.89990234375,6150.0,5903.0498046875,6069.64990234375,246269,6303.919019726213,6582.615537697861,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,6148.89990234375,6257.9501953125,6081.75,6216.4501953125,310037,6274.6121595013965,6539.7193338839625,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,6270.0,6270.0,6091.10009765625,6140.5498046875,189847,6229.77110543146,6494.887845331831,,,,,0,0,0,0,0,0,0,0,0
28,2021-10-29,6178.0,6230.0,6045.14990234375,6075.35009765625,208118,6178.17961884855,6449.504137790701,34.25671212445441,,,,0,0,0,0,0,1,0,0,0
29,2021-11-01,6107.2998046875,6325.9501953125,6101.85009765625,6296.14990234375,294471,6217.563005477752,6433.462024987977,41.59814274609058,,,,0,0,0,0,0,0,1,0,0
30,2021-11-02,6296.14990234375,6329.5,6125.0,6135.9501953125,439175,6190.331096145024,6403.26197614403,38.25987941388143,,,,0,0,0,0,0,1,0,1,5
31,2021-11-03,6190.0,6239.4501953125,6011.0,6048.89990234375,326224,6143.155443968959,6368.2516280109985,36.54373894006172,,,,0,0,0,0,0,1,0,0,5
32,2021-11-04,6100.0,6139.0,6100.0,6114.35009765625,33007,6133.549328613426,6343.771846557122,38.767640823124296,,,,0,0,0,0,0,1,0,0,5
33,2021-11-08,6171.0,6209.0,6062.0,6156.0498046875,220858,6141.051743495958,6326.068231178222,40.20547662110118,,,,0,0,0,0,0,0,0,0,5
34,2021-11-09,6200.0,6240.0,6110.0,6219.14990234375,381714,6167.089683348394,6316.184992874328,42.409229534144835,,,,0,0,0,0,0,0,1,0,5
35,2021-11-10,6219.14990234375,6267.2998046875,6120.10009765625,6131.75,171145,6155.308214220964,6299.443748587881,40.199265488576245,,,,0,0,0,0,0,0,0,0,5
36,2021-11-11,6147.7998046875,6170.0,6032.0,6147.60009765625,143814,6152.73861306896,6285.887179889169,40.801741054071485,,,,0,0,0,0,0,0,0,0,5
37,2021-11-12,6169.0,6432.14990234375,6120.0498046875,6406.5,513495,6237.330767089946,6296.494179701559,49.71359632088232,,,,0,0,0,0,0,0,1,0,5
38,2021-11-15,6469.89990234375,6549.0,6320.0,6342.7001953125,445466,6272.45530083708,6300.502071486086,47.80377164752243,,,,0,0,0,0,0,0,0,1,5
39,2021-11-16,6348.0,6580.0,6330.0,6533.4501953125,519430,6359.455895934692,6320.455184082291,53.54942350396674,,,,0,0,1,0,0,0,1,0,5
40,2021-11-17,6538.0,6637.14990234375,6490.10009765625,6545.0,386339,6421.305019226195,6339.468328460951,53.88046306695089,,,,0,0,0,0,0,0,0,0,10
41,2021-11-18,6597.0,6696.0,6371.0,6485.89990234375,471710,6442.836899586353,6351.737247801036,51.84441055619511,,,,0,0,0,0,0,0,0,1,10
42,2021-11-22,6521.0,6561.4501953125,5959.2001953125,6071.89990234375,588081,6319.190266595402,6328.516309886108,40.34358597862062,,,,0,0,0,1,0,0,0,1,10
43,2021-11-23,6030.0,6034.60009765625,5840.0,5996.2001953125,528429,6211.526348023532,6301.184099209438,38.655044413756336,,,,0,0,0,0,0,1,0,1,10
44,2021-11-24,6100.0,6133.9501953125,5912.0498046875,5968.89990234375,405940,6130.650584947076,6274.076082403773,38.03674561647574,,,,0,0,0,0,0,1,0,0,10
45,2021-11-25,6016.89990234375,6020.89990234375,5910.0,5952.85009765625,243081,6071.383618479973,6248.065458703991,37.65541055344088,,,,0,0,0,0,0,1,0,0,0
46,2021-11-26,5952.85009765625,6020.0,5825.0,5859.7001953125,375759,6000.822368391964,6216.833831765513,35.4350005900083,,,,0,0,0,0,0,1,0,0,0
47,2021-11-29,5810.0,5977.2001953125,5636.25,5845.89990234375,328561,5949.1814931784465,6187.192051486665,35.10473595105583,-180.2104674020702,-156.97247209934915,-23.23799530272106,0,0,0,0,0,1,0,0,0
48,2021-11-30,5855.0,5961.2001953125,5740.0,5805.0498046875,577615,5901.137564020079,6156.831817873775,34.09182932018467,-187.59985199603943,-163.0979480786872,-24.501903917352223,0,0,0,0,0,1,0,1,0
49,2021-12-01,5885.0,6005.0,5835.7001953125,5948.4501953125,282745,5916.908448338109,6140.364908928312,40.5740223213359,-179.81201842868177,-166.44076214868613,-13.371256279995634,0,0,0,0,0,0,0,0,0
50,2021-12-02,5980.0,5988.7001953125,5847.0,5878.35009765625,288235,5904.0556608544675,6119.761713274962,38.57664494809603,-177.25333019402933,-168.60327575775477,-8.650054436274559,0,0,0,0,0,1,0,0,0
51,2021-12-03,5894.5,5919.9501953125,5791.5,5815.2001953125,363258,5874.4371663135635,6095.921614470923,36.81825958100612,-178.26627800120696,-170.5358762064452,-7.730401794761747,0,0,0,0,0,1,0,1,0
52,2021-12-06,5830.0,5868.5,5605.5498046875,5644.4501953125,245053,5797.774832246791,6060.729781159428,32.50406264665922,-190.6494561635118,-174.55859219785853,-16.090863965653256,0,0,0,0,0,1,0,0,0
53,2021-12-07,5683.0,5729.0,5565.39990234375,5686.0498046875,437561,5760.533153025642,6031.636518809454,34.51721694658006,-194.860245643511,-178.61892288698903,-16.24132275652198,0,0,0,0,0,1,1,0,0
54,2021-12-08,5705.0,5793.2001953125,5703.2001953125,5739.7998046875,266155,5753.622036496245,6009.0566004330985,37.1266140655826,-191.6509183626722,-181.22532198212565,-10.425596380546551,0,0,0,0,0,1,0,0,5
55,2021-12-09,5733.7001953125,5758.89990234375,5656.0,5736.0,338538,5747.748024094726,5987.999173038289,37.01432167347046,-187.25555042981978,-182.43136767166447,-4.8241827581553025,0,0,0,0,0,1,0,1,5
56,2021-12-10,5678.0,5717.85009765625,5636.0,5646.0,283981,5713.832015154326,5961.705093225932,34.36322919592343,-188.85740688778696,-183.71657551488897,-5.140831372897992,0,0,0,0,0,1,0,0,5
57,2021-12-13,5691.14990234375,5694.0,5455.5498046875,5490.0,626711,5639.221342103355,5925.540374120233,30.310768573822987,-200.40464591453838,-187.05418959481887,-13.350456319719513,0,0,0,0,0,1,0,1,5
58,2021-12-14,5485.0,5505.0,5316.5498046875,5366.0498046875,743041,5548.1641618802905,5882.756293710111,27.532479333143524,-217.05557929758288,-193.05446753537166,-24.001111762211224,0,0,0,0,0,1,0,1,5
59,2021-12-15,5370.0,5510.0,5326.7998046875,5478.39990234375,516741,5524.909408516809,5851.909176975918,33.48386930094042,-218.66521356758767,-198.17661674181485,-20.488596825772817,0,0,0,0,0,1,0,0,0
60,2021-12-16,5517.0,5545.0,5435.0498046875,5512.14990234375,305894,5520.656239769944,5826.047206794058,35.20533842494696,-214.7421040803547,-201.48971420952282,-13.252389870831877,0,0,0,0,0,1,0,0,0
61,2021-12-17,5522.0,5522.0,5364.5498046875,5414.9501953125,289476,5485.420891493126,5794.818958477485,32.589416897954074,-216.97506211899963,-204.58678379141818,-12.388278327581446,0,0,0,0,0,1,0,0,0
62,2021-12-20,5355.0,5355.0,5082.60009765625,5142.7001953125,395856,5371.180659164168,5745.375330096292,26.62247025187406,-237.96982910518545,-211.26339285417163,-26.706436251013827,0,0,0,0,0,1,0,0,0
63,2021-12-21,5190.2001953125,5250.0,5141.0,5178.39990234375,224874,5306.9204067899145,5702.462189381572,28.471882821440133,-248.85897385705357,-218.782509054748,-30.076464802305566,0,0,0,0,0,1,0,0,0
64,2021-12-22,5237.89990234375,5300.0,5191.5498046875,5284.5498046875,154245,5299.463539414647,5670.882269506634,33.81357971291372,-246.08655689326497,-224.2433186224514,-21.843238270813572,0,0,0,0,0,1,0,0,0
65,2021-12-23,5330.0,5400.0,5290.0,5386.14990234375,203252,5328.358993744489,5649.398265841251,38.54426517422357,-233.00517903859327,-225.99569070567978,-7.009488332913492,0,0,0,0,0,1,0,0,0
66,2021-12-24,5435.0498046875,5435.0498046875,5366.7001953125,5399.5498046875,158197,5352.089264069854,5630.572334523967,39.1618876645367,-219.0319685206041,-224.60294626866465,5.570977748060557,1,0,0,0,0,1,0,0,0
67,2021-12-27,5395.0,5426.2998046875,5302.5498046875,5415.0,110785,5373.0595093863985,5614.349777764785,39.91172565829164,-204.35571144003643,-220.553499302939,16.197787862902572,0,0,0,0,0,1,0,0,5
68,2021-12-28,5445.7001953125,5508.0,5420.0,5465.5498046875,165966,5403.889607826467,5603.165260461414,42.41258622103044,-186.49591635694196,-213.7419827137396,27.246066356797627,0,0,0,0,0,0,0,0,5
