,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,18942.889649299632,19067.103727628026,18826.131444619616,18874.7421875,87246,18874.7421875,18874.7421875,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,18909.089332876625,19082.5626564972,18890.847684020348,18972.365234375,38802,18933.316015625,18925.431077223555,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,18956.708362433164,19335.565769203764,18858.44033552672,19301.466796875,72249,19107.70322779605,19060.537060282157,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,19385.27096119326,19489.7036719223,19112.93353375347,19206.9765625,53925,19148.93984375,19101.475145757584,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,19279.895221688992,19314.4407697427,19111.889534751517,19211.69921875,42190,19173.03230524289,19127.03656291462,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,19484.682319573218,19484.682319573218,19106.918070520267,19324.08203125,56303,19228.227919407895,19166.50319864392,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,19360.4180259132,19615.956438179568,19170.59226484919,19254.494140625,59302,19237.52761599229,19182.151931542303,,,,,0,0,0,0,0,0,0,1,10
21,2021-10-20,19186.448584353828,20081.15344061903,18938.3660333881,19164.23046875,217769,19212.103212975813,19179.26433982262,,,,,0,0,0,0,0,0,0,1,5
22,2021-10-21,19345.507127636985,19564.21275806248,18944.579165753457,19119.9921875,75962,19180.579534599787,19170.47890565058,,,,,0,0,0,0,0,0,0,0,5
23,2021-10-22,19323.63626414617,19323.63626414617,18739.09577009751,18894.873046875,45515,19083.66336402009,19132.447979525357,,,,,0,0,0,1,0,0,0,0,5
24,2021-10-25,18888.212876913814,18889.156510904173,18494.890308337024,18586.25,54146,18915.91962058339,19061.605928545152,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,18679.900390625,19280.0,18638.94921875,19217.599609375,106658,19017.26068757837,19080.772210135732,,,,,0,0,0,0,0,0,1,0,0
26,2021-10-27,19197.30078125,19420.0,18911.55078125,19004.599609375,52882,19013.018530996425,19071.848603696133,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,19010.0,19118.5,18853.5,18991.400390625,31450,19005.7877151374,19062.813311972845,,,,,0,0,0,0,0,0,0,0,5
28,2021-10-29,19000.0,19200.0,18758.150390625,19000.150390625,49275,19003.904305903547,19056.034718838186,52.796230408445,,,,0,0,0,0,0,0,0,0,5
29,2021-11-01,19098.900390625,19098.900390625,18735.94921875,18939.599609375,42571,18982.43672398017,19043.854649896744,51.3043445991392,,,,0,0,0,0,0,0,0,0,5
30,2021-11-02,18901.0,19034.05078125,18639.55078125,18773.94921875,34949,18912.870281801075,19016.456891586527,47.36145095014032,,,,0,0,0,0,0,0,0,0,5
31,2021-11-03,18860.0,18887.94921875,18561.0,18737.150390625,44479,18854.257324901435,18988.861901723158,46.50638481304916,,,,0,0,0,0,0,0,0,0,0
32,2021-11-04,18900.0,18949.0,18811.900390625,18889.25,6905,18865.926813959,18979.257873023602,50.48549481694443,,,,0,0,0,0,0,0,0,0,0
33,2021-11-08,18949.0,19095.94921875,18680.0,19049.25,43312,18927.05292501279,18985.85866259099,54.33368503543103,,,,0,0,0,0,0,0,1,0,0
