,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,136.56522405883206,139.94532478385798,135.53242585103146,136.70606994628906,9488844,136.70606994628906,136.70606994628906,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,137.4571934615621,144.59295543446672,137.0816330742347,143.70098876953125,27537045,140.90302124023438,140.33804702758786,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,145.34407968750392,145.34407968750392,140.18004595028242,142.3395538330078,17011149,141.58348404733758,141.05716898971264,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,142.3395538330078,145.53185986715192,141.21284410170108,142.3395538330078,15148397,141.89754380446212,141.41566775221943,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,143.46625423060854,144.9685100467844,142.9967966017955,144.17044067382812,9832276,142.7700776737448,142.05451095507394,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,146.095219797786,149.85088082778861,145.76659372697682,147.9261016845703,23800882,144.65415862807654,143.23054374806438,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,149.24057912698402,149.24057912698402,142.2456632389896,143.0437469482422,14926631,144.08398373026245,143.19732290554495,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,143.1845715579434,143.5131976167929,139.10028460577078,140.03919982910156,12128714,142.6809793857995,142.68847102492754,,,,,0,0,0,1,0,0,0,0,5
22,2021-10-21,140.83729300398883,141.11897045533885,135.39158147582586,137.03468322753906,14743150,140.74861544576785,141.85045555610705,,,,,0,0,0,0,0,0,0,0,5
23,2021-10-22,137.64498373661192,138.02054411235608,132.3870525159334,133.79542541503906,9951415,138.38998314288403,140.738939793734,,,,,0,0,0,0,0,0,0,0,5
24,2021-10-25,134.26487531017156,135.156841896191,130.32143428528457,131.91758728027344,8351888,136.20728362266237,139.5948075781297,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,132.19927496064082,134.54656317256018,131.21341104629263,133.84237670898438,10074890,135.41285840759954,138.888030808187,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,134.26488093522562,135.15684755861415,131.44813518133975,131.72981262207028,9398554,134.17883578569288,138.04944683883673,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,131.7298096304458,133.56069146354977,124.96962283998764,126.33104705810548,27413882,131.5539145753225,136.73333108552083,,,,,0,0,0,0,0,0,0,1,0
28,2021-10-29,125.53296945522408,135.95493474281378,125.43908652371049,134.40571594238278,38951500,132.50669084641115,136.4815401429662,47.57664645651493,,,,0,0,0,0,0,0,1,0,0
29,2021-11-01,135.20380148676028,137.6919212695478,134.6404465832147,136.75300598144528,13789878,133.92428742885292,136.50993769970975,50.227542066460906,,,,0,0,0,0,0,0,0,0,5
30,2021-11-02,136.61216984381494,136.61216984381494,132.9504060735307,133.18513488769528,11077501,133.6776529245012,136.17244117922232,46.387827490259724,,,,0,0,0,0,0,0,0,0,5
31,2021-11-03,133.7484771860755,134.5935095240901,132.387052911547,133.23207092285156,7969183,133.5290250231114,135.88193778191584,46.44582805921985,,,,0,0,0,0,0,0,0,0,5
32,2021-11-04,134.07709577405174,134.17097869967094,133.3729093617161,133.65458679199222,1360849,133.5708978346034,135.66718891695933,47.00167130117166,,,,0,0,0,0,0,0,0,0,5
33,2021-11-08,135.20379733218587,137.17552510729755,132.99734074226134,136.37744140625,7561559,134.50669377914588,135.7341711251597,50.562733673914764,,,,0,0,0,0,0,0,0,0,5
34,2021-11-09,137.08163235177062,139.42892057697216,135.95493686901594,138.77168273925778,10674592,135.92864184620754,136.01495040276563,53.52013599382999,,,,0,0,0,0,0,0,1,0,0
35,2021-11-10,137.69191316702762,138.06748785619402,135.20379353065425,135.43852233886722,7895109,135.76524683817775,135.96262777742814,49.115151145228396,,,,0,0,0,0,0,0,0,0,5
36,2021-11-11,136.2366102433194,136.89384806136022,134.0771022754339,135.8140869140625,7541905,135.78152831423014,135.94936608089733,49.61831907708854,,,,0,0,0,0,0,0,0,0,5
37,2021-11-12,138.02054096432772,138.6308301426698,133.5606935522151,134.31182861328122,11385732,135.2915993105671,135.80535684874584,47.59112597153809,,,,0,0,0,0,0,0,0,1,5
38,2021-11-15,135.0160105326114,135.15684208391724,131.44812985686886,131.63591003417972,5969923,134.07298795883517,135.44370065716188,44.13234513034569,,,,0,0,0,0,0,0,0,0,5
39,2021-11-16,132.3870537187076,133.23207173516425,130.0397655322057,130.93173217773438,5535853,133.025875053202,135.05722913886095,43.24172154254343,,,,0,0,0,0,0,0,0,0,5
40,2021-11-17,130.50922223786378,131.96454376844812,128.96001777651557,129.75808715820312,8126177,131.93659324914572,134.60852872620842,41.73015837946614,,,,0,0,0,0,0,0,0,1,0
41,2021-11-18,129.80503154344444,130.7439467806484,127.03523445903473,127.50469207763672,8122655,130.4592755238499,134.0133264994249,38.91727931777469,,,,0,0,0,0,0,1,0,1,0
42,2021-11-22,128.114986809657,128.8191732681125,125.0165635271109,127.3169174194336,8155718,129.4118146284656,133.4576576366956,38.68328318711526,,,,0,0,0,0,0,1,0,1,0
43,2021-11-23,127.97415637530331,134.8282408299537,127.83331048634615,133.56069946289062,25553102,130.79478345225448,133.4661325820219,49.54638667132421,,,,0,0,0,0,0,0,1,0,0
44,2021-11-24,134.49960612583828,135.9079789648523,132.85650448032197,134.26487731933594,10436743,131.9514854294888,133.53129483158654,50.60916024613553,,,,0,0,0,0,0,0,0,0,5
45,2021-11-25,134.07709713947597,134.87516648555825,132.7156729271043,134.26487731933594,6664853,132.72261784678403,133.5906951881816,50.60916024613553,,,,0,0,0,0,0,0,0,0,5
46,2021-11-26,131.9175953775411,134.0301547341209,127.22301902958587,127.59857940673828,10098003,131.01460239418716,133.10882015377732,41.10320294865593,,,,0,0,0,0,0,0,0,0,5
47,2021-11-29,127.69247552290042,129.57030604529604,122.81011903001387,126.70661163330078,9892425,129.5786039946091,132.5972119044075,40.02004102138717,-2.3742614960942205,-2.2699720891973527,-0.10428940689686783,0,0,0,0,0,0,0,0,5
48,2021-11-30,127.22301342290977,129.28862405963727,124.3123704847646,124.73489379882812,7521233,127.96403282052347,131.97257064471003,37.657652883708636,-2.7134094749528117,-2.3586595663484444,-0.3547499086043673,0,0,0,0,0,1,0,0,5
49,2021-12-01,124.73490035633031,130.03976594393686,124.64100309788891,129.19474792480472,11464138,128.37427137644124,131.75305918667888,45.49502458499157,-2.592429818995413,-2.405413616877838,-0.18701620211757497,0,0,0,0,0,0,1,0,0
50,2021-12-02,129.33557938891138,133.60764676401422,127.50469746435594,132.95040893554688,25288901,129.89965102839733,131.84721123488427,51.07311186089857,-2.1685049387531024,-2.3580318812528906,0.1895269424997883,1,0,0,0,0,0,1,0,5
51,2021-12-03,134.73434364048265,138.49000478725569,133.88932561314286,137.03468322753906,29920870,132.2779955787351,132.2532699046579,56.3096888520641,-1.4858466994442097,-2.1835948448911546,0.697748145446945,0,0,1,0,0,0,1,0,10
52,2021-12-06,136.1427050658007,136.1427050658007,132.85650184007446,134.21792602539062,23988384,132.92463914867506,132.4064132660785,52.1631750732355,-1.158766354864241,-1.978629146885772,0.8198627920215309,0,0,0,0,0,0,0,1,15
53,2021-12-07,136.04881799313037,137.36330797779235,135.250748603199,136.42439270019528,13172576,134.0912237713517,132.71840252927393,54.96100504594119,-0.7132870754526266,-1.7255607325991429,1.0122736571465163,0,0,0,0,0,0,0,0,15
54,2021-12-08,137.08162045331946,138.48999326619605,137.08162045331946,137.97358703613278,10506147,135.385344937637,133.12500537077926,56.86842995817967,-0.23255376620403467,-1.4269593393201212,1.1944055731160865,0,0,0,0,0,0,0,0,15
55,2021-12-09,138.20832118007058,139.14723642494434,137.31635456278252,138.06748962402344,11384949,136.27939320236837,133.50615712886753,56.98733805410505,0.15423013000426522,-1.1107214454552439,1.264951575459509,0,0,0,0,0,0,0,0,15
