,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,143.5500030517578,143.89999389648438,140.30000305175778,141.10000610351562,10686586,141.10000610351562,141.10000610351562,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,142.0,146.75,141.4499969482422,144.8000030517578,17449923,143.32000427246095,143.0211583651029,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,146.0,146.25,143.8000030517578,144.5500030517578,16030831,143.9026352731805,143.57045741713418,,,,,0,0,0,0,0,0,0,1,0
17,2021-10-13,145.5,147.25,144.6999969482422,146.35000610351562,19100941,144.91923546424277,144.34749776473737,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,147.5,150.60000610351562,146.85000610351562,149.39999389648438,29263867,146.63933704249663,145.5191924572096,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,151.25,151.6999969482422,148.6999969482422,149.5500030517578,25346029,147.702933794753,146.3265316707056,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,150.9499969482422,152.10000610351562,148.10000610351562,149.64999389648438,20234486,148.39230087302508,146.91759219918887,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,150.64999389648438,150.64999389648438,145.3000030517578,146.25,16129487,147.6492061847926,146.81002655408255,,,,,0,0,0,0,0,0,0,0,5
22,2021-10-21,147.6999969482422,148.5500030517578,145.89999389648438,147.89999389648438,20818539,147.7350346849444,146.97158364221093,,,,,0,0,0,0,0,0,1,0,5
23,2021-10-22,147.85000610351562,148.10000610351562,144.0,144.89999389648438,11379569,146.77334389926136,146.6857244194371,,,,,0,0,0,0,0,0,0,0,5
24,2021-10-25,144.6999969482422,146.25,143.14999389648438,143.89999389648438,14079380,145.80435810086172,146.32441428808943,,,,,0,0,0,1,0,0,0,0,5
25,2021-10-26,145.3000030517578,145.64999389648438,142.4499969482422,143.1999969482422,16224116,144.92949484226804,145.94053038828375,,,,,0,0,0,0,0,0,0,1,5
26,2021-10-27,144.0,144.5500030517578,140.85000610351562,141.3000030517578,15072448,143.71341575003635,145.39689344783815,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,141.3000030517578,141.85000610351562,136.30000305175778,137.35000610351562,19999659,141.58498829980314,144.49313223494326,,,,,0,0,0,0,0,0,0,1,5
28,2021-10-29,131.0,136.89999389648438,128.55000305175778,132.64999389648438,29217522,138.59983977293797,143.21199476948357,35.60473724707302,,,,0,0,0,0,0,1,0,1,0
29,2021-11-01,133.19999694824222,135.30000305175778,130.89999389648438,134.30000305175778,10043407,137.16437545925285,142.27972722554503,39.2808512194781,,,,0,0,0,0,0,1,0,0,0
30,2021-11-02,135.0,140.8000030517578,135.0,136.64999389648438,21525811,136.9927407360841,141.70826012892073,44.169316058641016,,,,0,0,0,0,0,0,1,0,0
31,2021-11-03,137.94999694824222,138.94999694824222,135.55000305175778,136.75,9808728,136.91177237099657,141.21839276984923,44.37455762411655,,,,0,0,0,0,0,0,0,0,5
32,2021-11-04,138.30000305175778,138.30000305175778,136.94999694824222,137.14999389648438,1026849,136.99121538234468,140.82614024916526,45.241628179264,,,,0,0,0,0,0,0,0,0,5
33,2021-11-08,138.69999694824222,140.60000610351562,136.55000305175778,140.30000305175778,12765483,138.09447638768594,140.77652151240602,51.635329294506995,,,,0,0,0,0,0,0,1,0,5
34,2021-11-09,140.75,141.39999389648438,138.05000305175778,138.5,9556650,138.22967803113,140.56608608139697,48.17386836102526,,,,0,0,0,0,0,0,0,0,5
35,2021-11-10,138.19999694824222,138.25,136.75,137.39999389648438,5479056,137.95307968355908,140.27869852074488,46.138322817922024,,,,0,0,0,0,0,0,0,0,5
36,2021-11-11,137.5,137.75,134.35000610351562,136.64999389648438,11418813,137.51867904735755,139.95472854752376,44.749929516668246,,,,0,0,0,0,0,0,0,1,5
37,2021-11-12,138.19999694824222,138.19999694824222,134.64999389648438,136.44999694824222,9306659,137.162430518686,139.6465134889429,44.36652877732711,,,,0,0,0,0,0,0,0,0,5
38,2021-11-15,137.30000305175778,137.64999389648438,136.0,137.14999389648438,3991733,137.15828481377338,139.42996635255324,46.10693619431009,,,,0,0,0,0,0,0,0,0,5
39,2021-11-16,137.69999694824222,137.80000305175778,134.0,134.30000305175778,5762128,136.20549907153958,138.9905606442186,40.54547218364063,,,,0,0,0,0,0,0,0,0,0
40,2021-11-17,134.0,138.0,134.0,136.44999694824222,15264066,136.28699979826368,138.77544053931942,45.851702746211856,,,,0,0,0,0,0,0,1,0,0
41,2021-11-18,136.60000610351562,137.60000610351562,134.75,135.30000305175778,9942974,135.95799702225503,138.48424745113664,43.609743536510635,,,,0,0,0,0,0,0,0,1,5
42,2021-11-22,135.0,136.89999389648438,129.69999694824222,130.14999389648438,15990636,134.02198083556883,137.79267004911546,35.2882774592852,,,,0,0,0,0,0,1,0,1,5
43,2021-11-23,130.05000305175778,133.75,128.14999389648438,133.5,11510010,133.8479863163146,137.43960813907717,42.91844990350654,,,,0,0,0,0,0,0,0,0,5
44,2021-11-24,134.5,137.30000305175778,133.55000305175778,135.35000610351562,7570759,134.34866131942678,137.26913669435766,46.65891401820977,,,,0,0,0,0,0,0,0,0,5
45,2021-11-25,135.5,136.69999694824222,132.30000305175778,135.19999694824222,13919886,134.6324405201144,137.10159229298932,46.39344390533557,,,,0,0,0,0,0,0,0,1,5
46,2021-11-26,133.19999694824222,134.05000305175778,128.0,128.85000610351562,13323593,132.7049594028786,136.43801476478862,36.83859046739235,,,,0,0,0,0,0,1,0,1,0
47,2021-11-29,127.8000030517578,129.35000610351562,125.0500030517578,126.5,16077669,130.6366374712533,135.64385594916067,34.0441760136593,-4.034578299951448,-4.002496704667546,-0.032081595283901976,0,0,0,0,0,1,0,1,0
48,2021-11-30,127.8000030517578,129.44999694824222,124.6999969482422,127.25,22883512,129.50775753889758,134.97698535407727,35.72004601870567,-4.193635163506855,-4.040724396435408,-0.15291076707144668,0,0,0,0,0,1,1,0,0
49,2021-12-01,130.0,132.94999694824222,125.8499984741211,127.6999969482422,17010938,128.9051703994567,134.40193701726508,36.75834726950426,-4.234564457731722,-4.079492408694671,-0.15507204903705052,0,0,0,0,0,1,1,0,5
50,2021-12-02,127.6999969482422,130.30000305175778,126.5999984741211,128.69999694824222,12916313,128.83677922817702,133.95357233789676,39.112063963179594,-4.138602344002123,-4.091314395756162,-0.04728794824596161,0,0,0,0,0,1,0,0,5
51,2021-12-03,128.69999694824222,130.25,126.4000015258789,127.0,12827354,128.2245193608657,133.40926899752228,36.617081333782046,-4.151867084455489,-4.1034249334960275,-0.04844215095946147,0,0,0,0,0,1,0,0,5
52,2021-12-06,127.0,127.5999984741211,124.0,124.3499984741211,8158812,126.93301222341604,132.70310616050912,33.07514158369103,-4.326341095884175,-4.148008165973657,-0.17833292991051763,0,0,0,0,0,1,0,0,5
53,2021-12-07,125.0999984741211,126.4000015258789,124.0,125.3499984741211,8701301,126.40534092592965,132.13214986596125,35.60641247780181,-4.333962146480616,-4.185198962075049,-0.14876318440556702,0,0,0,0,0,1,0,0,5
54,2021-12-08,124.8499984741211,127.6500015258789,124.8499984741211,127.25,12093435,126.68689396759513,131.75440936882669,40.2319171389097,-4.138976099766921,-4.175954389613423,0.036978289846501866,1,0,0,0,0,0,1,0,5
55,2021-12-09,127.25,127.6500015258789,125.6500015258789,126.0500030517578,11518172,126.47459698711617,131.31450012780616,38.35786445003013,-4.034767687531712,-4.147717049197081,0.11294936166536917,0,0,0,0,0,1,0,1,10
56,2021-12-10,126.0999984741211,126.6999969482422,124.4000015258789,126.1500015258789,8389566,126.36639849713775,130.91743560503704,38.614475265207886,-3.899165575308899,-4.098006754419445,0.19884117911054577,0,0,0,0,0,1,0,0,10
57,2021-12-13,127.5999984741211,128.60000610351562,125.5,125.8000030517578,13223189,126.1776000119717,130.52509192783393,38.01793026369269,-3.7764097750607277,-4.033687358547701,0.2572775834869736,0,0,0,0,0,1,0,1,10
58,2021-12-14,125.0,127.4499969482422,125.0,126.3499984741211,11649242,126.23506616670588,130.20582375102708,39.597098789292076,-3.5933232907454453,-3.94561454498725,0.35229125424180463,0,0,0,0,0,1,1,0,10
59,2021-12-15,126.1500015258789,128.44999694824222,125.9000015258789,126.6999969482422,11916145,126.39004309511513,129.9383749090045,40.63365879579309,-3.381009804634118,-3.8326935969166236,0.45168379228250544,0,0,0,0,0,0,1,0,10
60,2021-12-16,127.5500030517578,128.19999694824222,126.25,127.4000015258789,10758513,126.72669590715168,129.74515770598364,42.749745619438706,-3.120296482488868,-3.6902141740310723,0.5699176915422042,0,0,0,0,0,0,0,0,5
61,2021-12-17,127.4000015258789,127.6999969482422,124.0999984741211,125.5500030517578,13041775,126.33446495396963,129.42648029503275,38.81227379579825,-3.028053199740981,-3.557781979173054,0.5297287794320731,0,0,0,0,0,1,0,1,5
62,2021-12-20,124.5,125.4499969482422,119.0999984741211,121.75,14185935,124.80630996571813,128.84444975025738,32.2430092591532,-3.224409239326704,-3.491107431203784,0.2666981918770803,0,0,0,0,0,1,0,1,5
63,2021-12-21,123.5500030517578,124.6999969482422,120.8499984741211,122.1999969482422,10168470,123.9375389585303,128.3415455252975,33.67466120515034,-3.3056068443921873,-3.4540073138414646,0.14840046944927732,0,0,0,0,0,1,0,0,5
64,2021-12-22,123.0500030517578,123.9000015258789,121.6500015258789,122.5500030517578,7885198,123.47502698912255,127.9039024834418,34.82809973633177,-3.3036317535574256,-3.4239322017846567,0.12030044822723118,0,0,0,0,0,1,0,0,5
65,2021-12-23,123.0999984741211,125.4000015258789,122.8000030517578,124.5500030517578,9836979,123.83335234358407,127.65083962163372,41.128382055114216,-3.104891933062305,-3.360124148040186,0.2552322149778812,0,0,0,0,0,0,0,0,0
66,2021-12-24,124.8000030517578,125.0,120.9000015258789,121.25,8509575,122.97223489532256,127.16854020488577,35.099111428499526,-3.177048819332427,-3.323509082298634,0.1464602629662073,0,0,0,0,0,1,0,0,0
