,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,2931.0,2943.300048828125,2728.0,2736.25,2561863,2736.25,2736.25,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,2760.300048828125,2782.60009765625,2711.0,2754.35009765625,712218,2747.11005859375,2745.6481276292066,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,2761.0,2817.550048828125,2754.35009765625,2791.0,1078427,2767.900030838816,2761.9426150408913,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,2801.0,2849.89990234375,2787.300048828125,2797.050048828125,874513,2780.00849984976,2771.757119347705,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,2801.0,2855.0,2801.0,2835.75,672686,2801.406895642032,2786.597332315939,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,2860.0,2877.89990234375,2802.050048828125,2816.75,481899,2807.01347362547,2792.6366711640067,,,,,0,0,0,0,0,0,0,0,5
20,2021-10-19,2816.75,2847.0,2728.050048828125,2746.699951171875,475052,2785.659147317228,2784.46706364305,,,,,0,0,0,0,0,0,0,0,5
21,2021-10-20,2746.699951171875,2772.699951171875,2610.0,2662.10009765625,659611,2742.8005205751883,2764.7507133740314,,,,,0,0,0,1,0,0,0,0,0
22,2021-10-21,2688.699951171875,2730.0,2660.0,2683.199951171875,534027,2722.4030798649937,2752.6631001369246,,,,,0,0,0,0,0,0,0,0,0
23,2021-10-22,2689.0,2709.699951171875,2575.050048828125,2588.14990234375,461012,2676.862273434134,2729.961879997075,,,,,0,0,0,0,0,0,0,0,0
24,2021-10-25,2607.800048828125,2619.449951171875,2510.0,2601.25,600208,2651.3633891800137,2713.267908385472,,,,,0,0,0,0,0,0,1,0,0
25,2021-10-26,2603.0,2703.300048828125,2595.199951171875,2673.199951171875,557597,2658.6987795737264,2708.344928514558,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,2673.0,2719.0,2667.39990234375,2676.35009765625,384103,2664.6129405939037,2704.5967398505286,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,2672.199951171875,2710.0,2581.14990234375,2596.949951171875,399294,2641.98108565283,2692.5067244026172,,,,,0,0,0,0,0,0,0,0,5
28,2021-10-29,2591.0,2677.699951171875,2551.10009765625,2601.75,498824,2628.5400289884715,2682.6890699472087,38.02742093358438,,,,0,0,0,0,0,1,1,0,5
29,2021-11-01,2615.39990234375,2656.5,2562.0,2615.10009765625,426471,2624.0532209869607,2675.6187082154206,39.574056494287206,,,,0,0,0,0,0,1,0,0,5
30,2021-11-02,2620.0,2760.0,2620.0,2700.0,1721025,2649.3945343911682,2678.093622250187,48.39452463335892,,,,0,0,0,0,0,0,1,0,5
31,2021-11-03,2714.800048828125,2740.0,2677.0,2729.449951171875,412402,2676.0977417625436,2683.167537003819,51.063025701866515,,,,0,0,0,0,0,0,0,0,5
32,2021-11-04,2750.0,2758.0,2735.14990234375,2747.949951171875,83270,2700.0592871174536,2689.4134991241444,52.71707248427339,,,,0,0,1,0,0,0,0,0,5
33,2021-11-08,2757.0,2797.449951171875,2710.0,2765.60009765625,368682,2721.91279594014,2696.5984744419384,54.303975418614236,,,,0,0,0,0,0,0,0,0,10
34,2021-11-09,2770.0,2797.300048828125,2744.050048828125,2772.800048828125,247777,2738.8786149748157,2703.6423398577226,54.967923166790776,,,,0,0,0,0,0,0,0,0,10
35,2021-11-10,2768.0,2863.449951171875,2750.14990234375,2819.64990234375,999177,2765.8059764663867,2714.172396613152,59.12924680733159,,,,0,0,0,0,0,0,1,0,10
36,2021-11-11,2827.0,2827.39990234375,2678.300048828125,2711.10009765625,695212,2747.569058532967,2713.8981024189816,48.05003805327507,,,,0,0,0,0,0,0,0,1,10
37,2021-11-12,2711.10009765625,2761.0,2600.89990234375,2654.300048828125,1015011,2716.477541696007,2708.6568971915754,43.46110703909117,,,,0,0,0,0,0,0,0,1,10
38,2021-11-15,2675.0,2675.0,2600.199951171875,2613.89990234375,364818,2682.2836410940245,2700.437712391596,40.498489863138914,,,,0,0,0,1,0,0,0,0,5
39,2021-11-16,2616.0,2659.89990234375,2597.550048828125,2623.85009765625,502182,2662.805279025041,2693.877619632798,41.555195469418685,,,,0,0,0,0,0,0,0,0,5
40,2021-11-17,2611.0,2649.0,2561.89990234375,2573.0,402163,2632.8696591214707,2683.6424083462043,37.85523690178233,,,,0,0,0,0,0,1,0,0,5
41,2021-11-18,2580.0,2618.0,2546.0,2551.85009765625,464455,2605.86282173581,2672.6000546609766,36.40340994407044,,,,0,0,0,0,0,1,0,0,0
42,2021-11-22,2574.60009765625,2617.800048828125,2515.550048828125,2580.25,666304,2597.3251477033677,2664.936835578411,39.745160182169556,,,,0,0,0,0,0,1,1,0,0
43,2021-11-23,2560.0,2643.949951171875,2557.60009765625,2613.699951171875,613754,2602.7834439917374,2660.722723600084,43.51023207176432,,,,0,0,0,0,0,0,1,0,5
44,2021-11-24,2627.199951171875,2643.64990234375,2585.300048828125,2595.800048828125,289155,2600.4556375107118,2655.4262786430636,41.997894600493275,,,,0,0,0,0,0,0,0,0,5
45,2021-11-25,2597.0,2672.0,2581.050048828125,2651.449951171875,638614,2617.453781463071,2655.1043035773123,48.04419623544786,,,,0,0,0,0,0,0,1,0,5
46,2021-11-26,2621.0,2634.0,2461.050048828125,2471.5,660403,2568.8024457986876,2640.339179983225,35.24861284041137,,,,0,0,0,0,0,1,0,1,5
47,2021-11-29,2460.0,2475.0,2375.0,2384.699951171875,671934,2507.4348843724333,2619.910739093785,30.964714473150252,-54.5195558092978,-29.635660587221082,-24.883895222076717,0,0,0,0,0,1,0,1,5
48,2021-11-30,2385.0,2508.199951171875,2380.75,2418.35009765625,1340870,2477.7399350736914,2603.8972566472253,34.29840085914808,-63.09551027986845,-36.32763052575056,-26.767879754117892,0,0,0,0,0,1,1,0,5
49,2021-12-01,2435.300048828125,2488.5,2416.300048828125,2476.85009765625,629938,2477.4433224654094,2593.8576285208574,39.745861347594044,-64.42885910689802,-41.94787624198005,-22.48098286491797,0,0,0,0,0,1,0,0,5
50,2021-12-02,2479.949951171875,2538.949951171875,2452.050048828125,2518.050048828125,480127,2490.978902051077,2587.896597582059,43.3107377147838,-61.452667819698945,-45.84883455752383,-15.603833262175115,0,0,0,0,0,0,0,0,5
51,2021-12-03,2529.949951171875,2578.0,2511.050048828125,2528.050048828125,514212,2503.335953491233,2583.212001691811,44.1740769630734,-57.62285791867771,-48.20363922975461,-9.419218688923102,0,0,0,0,0,0,0,0,5
52,2021-12-06,2530.60009765625,2561.64990234375,2510.5,2519.300048828125,271441,2508.6573193254085,2578.2301164686364,43.54911618631439,-54.66362955840532,-49.49563729548475,-5.167992262920571,0,0,0,0,0,0,0,0,5
53,2021-12-07,2569.0,2594.85009765625,2501.10009765625,2584.64990234375,761675,2533.988182622388,2578.7286019133458,49.31643168459006,-46.50910472721989,-48.898330781831774,2.389226054611882,1,0,0,0,0,0,1,0,5
54,2021-12-08,2594.0,2637.300048828125,2588.14990234375,2627.14990234375,433388,2565.042091068472,2582.475042845855,52.70085915415398,-36.19990031843099,-46.35864468915162,10.158744370720626,0,0,0,0,0,0,0,0,10
55,2021-12-09,2627.0,2664.0,2612.449951171875,2635.699951171875,412226,2588.594712049627,2586.5796117919745,53.375383529881674,-27.028298663507485,-42.492575484022794,15.464276820515309,0,0,1,0,0,0,0,0,10
56,2021-12-10,2640.0,2661.0,2611.0,2650.10009765625,313881,2609.096507801208,2591.4632865394806,54.550963230508195,-18.385826437523065,-37.67122567472285,19.285399237199783,0,0,0,0,0,0,0,0,15
57,2021-12-13,2650.0,2804.699951171875,2650.0,2746.300048828125,2223741,2654.83102229386,2603.3343222688377,61.529403303900686,-3.731063472542246,-30.88319323428673,27.152129761744483,0,0,0,0,1,0,1,0,15
58,2021-12-14,2749.949951171875,2749.949951171875,2557.64990234375,2602.5,1497505,2637.3873479881613,2603.270521888656,49.33506498480517,-3.678121301396004,-25.442178847708583,21.76405754631258,0,0,0,0,0,0,0,1,15
59,2021-12-15,2605.800048828125,2620.35009765625,2530.10009765625,2549.550048828125,442087,2608.108248035683,2599.172350723574,45.74033640404227,-7.818654208921998,-21.917473919951266,14.098819711029268,0,0,0,0,0,0,0,0,10
60,2021-12-16,2570.0,2613.949951171875,2551.0,2572.85009765625,633859,2596.35553118033,2597.168740006299,47.55134578389235,-9.114866646376413,-19.356952465236297,10.242085818859884,0,0,0,1,0,0,0,0,10
61,2021-12-17,2574.0,2589.0,2490.300048828125,2516.25,724472,2569.6536873593295,2591.0218928247195,43.732816840254934,-14.541652082528799,-18.3938923886948,3.8522403061659993,0,0,0,0,0,0,0,0,5
62,2021-12-20,2489.25,2505.0,2430.0,2453.050048828125,652001,2530.785807757492,2580.5608710492893,39.881663715203445,-23.669281767497978,-19.448970264455433,-4.220311503042545,0,1,0,0,0,1,0,0,5
63,2021-12-21,2488.0,2569.0,2456.0,2554.64990234375,703294,2538.740505965387,2578.5997260125055,47.834590415376894,-22.445991561968185,-20.048374523957982,-2.3976170380102033,0,0,0,0,0,0,0,0,0
64,2021-12-22,2568.699951171875,2607.800048828125,2556.0,2590.0,481531,2555.8270039947897,2579.4611978239736,50.298213393869595,-18.411827723952683,-19.721065163956922,1.3092374400042388,1,0,0,0,0,0,0,0,0
65,2021-12-23,2591.0,2609.800048828125,2572.0,2599.25,342660,2570.3013360066157,2580.9543287339557,50.95097974543854,-14.303444913838575,-18.637541113933253,4.334096200094677,0,0,0,0,0,0,0,0,5
66,2021-12-24,2610.0,2625.0,2563.699951171875,2576.800048828125,354735,2572.467573614792,2580.641306240966,49.25999957682277,-12.712503547387769,-17.452533600624157,4.740030053236389,0,0,0,0,0,0,0,0,5
67,2021-12-27,2580.0,2609.550048828125,2536.0,2601.39990234375,302567,2582.111683194099,2582.203461720063,51.17229120706206,-9.358786201515613,-15.833784120802449,6.474997919286835,0,0,0,0,0,0,0,0,5
68,2021-12-28,2610.0,2625.0,2583.199951171875,2597.800048828125,224017,2587.341138406521,2583.3757757653957,50.87015435198595,-6.911744844012901,-14.04937626544454,7.137631421431639,0,0,1,0,0,0,0,0,5
