,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,13699.359142322804,13733.970964309476,13493.666028802043,13590.2333984375,5148,13590.2333984375,13590.2333984375,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,13624.203164171668,13749.250935898943,13513.445324701013,13534.9541015625,1734,13557.0658203125,13561.530686598557,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,13655.846852646511,13656.835761825501,13498.610293187405,13625.734375,2529,13589.59303042763,13584.598448473695,,,,,0,0,1,0,0,0,0,0,0
17,2021-10-13,13696.39308833454,13706.282180817092,13470.081593164012,13563.0390625,3960,13578.562920673075,13578.571386291553,,,,,0,0,0,1,0,0,0,1,0
18,2021-10-14,13563.039169042378,13745.838658725632,13411.538077873249,13636.3662109375,6981,13600.752809352784,13591.97424450742,,,,,0,0,1,0,0,0,1,0,0
19,2021-10-18,13745.83854354911,13941.642574601108,13675.18078465194,13902.2841796875,6859,13710.93645294878,13654.126849580733,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,13973.43546654469,14153.169710401675,13798.69502091127,13889.5751953125,4311,13774.184458380132,13696.000117337258,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,13943.619939444668,14240.292704113703,13747.222955526431,14159.2021484375,10312,13907.734607175606,13770.633441918326,,,,,0,0,0,0,0,0,1,0,10
22,2021-10-21,14177.99162320346,14659.590417965272,13775.456314485737,14543.0478515625,15283,14125.161460048303,13885.12221419249,,,,,0,0,0,0,0,0,1,0,10
23,2021-10-22,14522.131659682338,14532.8609382523,14141.450868483935,14356.9345703125,5662,14203.782573867004,13950.227727334646,,,,,0,0,0,0,0,0,0,0,10
24,2021-10-25,14358.962365754685,14431.10348896864,13961.420845711062,14340.716796875,5109,14249.961186734005,14000.874283361145,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,14340.71659764452,14398.518535874773,14190.8475954535,14260.763671875,4864,14253.58998350893,14032.805789664233,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,14047.455682868003,14322.372450191991,13825.000357313278,13898.8720703125,7135,14134.740000432485,14017.115478600279,,,,,0,0,0,0,0,0,0,1,5
27,2021-10-28,13811.106548957554,14041.522403597903,13810.117639710172,13845.0751953125,5136,14037.853180813554,13997.79330737582,,,,,0,0,0,0,0,0,0,0,5
28,2021-10-29,13933.731007175493,14294.682874997992,13411.883414988242,14070.0517578125,4743,14048.610606096312,14005.609901711281,61.22575993112845,,,,0,0,0,0,1,0,0,0,0
29,2021-11-01,14334.190781843574,14492.169039550181,13974.326308042693,14273.9658203125,5315,14123.843548388462,14033.68213528822,64.8387370485731,,,,0,0,0,0,1,0,0,0,0
30,2021-11-02,14398.51836422901,14547.942162334353,14043.499951264852,14178.2880859375,6691,14142.010165947588,14048.360902103972,61.923167096421125,,,,0,0,0,0,1,0,0,1,0
31,2021-11-03,14190.847409124995,14488.459834172107,13923.940422433523,14298.8857421875,5789,14194.337431388141,14073.112314616135,64.11360725398141,,,,0,0,0,0,1,0,0,0,0
32,2021-11-04,14398.518056326546,14504.282089179202,14042.708716734805,14251.6650390625,1010,14213.455257863761,14090.327380891373,62.59519453333417,,,,0,0,0,0,1,0,0,0,0
33,2021-11-08,14385.612485513133,14385.612485513133,14088.593036000892,14211.2177734375,1682,14212.709205362307,14101.728263767596,61.256947245819504,,,,0,0,0,0,1,0,0,0,0
34,2021-11-09,14397.925225660148,14397.925225660148,14166.468106120603,14321.9501953125,11531,14249.130170564407,14122.084977653125,63.554221894111095,,,,0,0,0,0,1,0,1,0,0
35,2021-11-10,14235.0,14539.0,14235.0,14453.900390625,19430,14317.396034807656,14152.204006585753,66.13135486849686,,,,0,0,0,0,1,0,1,0,5
36,2021-11-11,14545.0,14799.0,14500.0,14644.9501953125,20864,14426.59048472426,14196.196280991155,69.49480261163671,,,,0,0,0,0,1,0,1,0,5
37,2021-11-12,14754.849609375,14940.0,14700.0498046875,14867.2998046875,16118,14573.502318410545,14255.214840903782,72.87146512613847,,,,0,0,0,0,1,0,1,0,5
38,2021-11-15,14975.0,15248.7998046875,14750.650390625,15133.0,21601,14760.008931665809,14331.353583472366,76.25401488878838,,,,0,0,0,0,1,0,1,0,5
39,2021-11-16,15150.0,15243.7001953125,15098.0,15100.0,8023,14873.342279938386,14397.191797765412,75.00316783153771,,,,0,0,0,0,1,0,0,0,5
40,2021-11-17,15099.0,15173.2001953125,14957.5,15042.0,19555,14929.562509488138,14451.790392685203,72.74456037818075,,,,0,0,0,0,1,0,0,1,5
41,2021-11-18,15042.0,15530.5498046875,15000.0,15106.400390625,23757,14988.509161544978,14506.637561577647,73.69187920619349,,,,0,0,0,0,1,0,1,0,5
42,2021-11-22,15150.0,15225.650390625,14840.5498046875,15085.599609375,28035,15020.872897324924,14554.679904693192,72.81160212778494,,,,0,0,0,0,1,0,0,1,5
43,2021-11-23,15111.2998046875,15530.0,14959.75,15264.75,5233,15102.165688832916,14613.081482555377,75.52349181392503,,,,0,0,0,0,1,0,0,0,5
44,2021-11-24,15301.0,15339.7998046875,15073.25,15106.2001953125,8824,15103.510529001758,14653.31051083508,68.96712614809832,,,,0,0,0,0,1,0,0,0,5
45,2021-11-25,15100.0,15349.7998046875,14964.4501953125,15209.7001953125,23326,15138.90716648171,14698.363038963395,70.75211262238422,,,,0,0,0,0,1,0,1,0,5
46,2021-11-26,15209.7001953125,15323.900390625,15001.0,15118.0498046875,6970,15131.954701807266,14732.113484056365,67.07303022232554,,,,0,0,0,0,1,0,0,0,5
47,2021-11-29,15011.0,15324.0,14758.0,15067.2001953125,4867,15110.369844073537,14758.890669645452,65.05188295576117,336.8722067006147,340.6571114260474,-3.784904725432682,0,0,0,0,1,0,0,0,5
48,2021-11-30,15160.0,15188.9501953125,14716.2998046875,15040.099609375,11467,15086.94641642105,14781.232007656974,63.94592492167456,318.49572741600605,336.2248346240391,-17.729107208033042,0,0,0,0,1,0,0,1,5
49,2021-12-01,15150.650390625,15220.900390625,15052.7001953125,15124.9501953125,5558,15099.6143485181,14808.393597193784,65.90065017005311,307.23732768187074,330.42733323560543,-23.190005553734693,0,0,0,0,1,0,0,0,5
50,2021-12-02,15200.0,15395.0,15100.0,15272.400390625,6690,15157.209713466747,14844.880170999035,69.04175799388764,306.67777278482026,325.6774211454484,-18.999648360628157,0,0,0,0,1,0,0,0,5
51,2021-12-03,15152.0,15332.2001953125,15054.0,15123.2998046875,2547,15145.90640824028,14866.673966947134,62.74740365282825,290.85040784442754,318.71201848524424,-27.861610640816707,0,0,0,0,1,0,0,0,0
