,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,3251.800048828125,3323.949951171875,3221.0,3282.35009765625,360393,3282.35009765625,3282.35009765625,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,3304.0,3333.800048828125,3223.10009765625,3254.550048828125,292541,3265.670068359375,3267.9154569185694,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,3265.0,3355.0,3254.64990234375,3312.0,409385,3287.615825452302,3283.7546052213606,,,,,0,0,1,0,0,0,1,0,0
17,2021-10-13,3340.0,3349.0,3285.449951171875,3337.39990234375,225208,3308.295365084134,3298.7514860198494,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,3338.0,3367.800048828125,3300.85009765625,3314.25,146446,3310.581267587381,3302.3456553370006,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,3314.0,3406.89990234375,3306.35009765625,3329.85009765625,348603,3317.622358875705,3307.8545757659836,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,3333.5,3367.0,3233.60009765625,3260.949951171875,206821,3297.5571887853257,3299.5128314290496,,,,,0,0,0,1,0,0,0,0,10
21,2021-10-20,3235.0,3249.89990234375,3015.199951171875,3054.85009765625,542766,3213.369970974178,3260.0916026853324,,,,,0,0,0,0,0,0,0,1,10
22,2021-10-21,3083.0,3157.60009765625,3010.0,3135.199951171875,761938,3186.6174019937957,3241.5799181924767,,,,,0,0,0,0,0,0,1,0,5
23,2021-10-22,3139.0,3144.949951171875,3010.199951171875,3031.199951171875,175511,3133.8973384948235,3212.5495303061916,,,,,0,0,0,0,0,0,0,0,5
24,2021-10-25,3054.0,3054.0,2865.0,2999.35009765625,517853,3088.523692590067,3184.8974963498167,,,,,0,0,0,0,0,0,0,1,5
25,2021-10-26,3021.0,3070.60009765625,2906.0,3035.89990234375,401894,3070.8461824766423,3166.590794258761,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,3038.0,3065.64990234375,2957.35009765625,2967.199951171875,276901,3036.119002432348,3143.2321929559685,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,2993.550048828125,2993.550048828125,2895.0,2952.5,320931,3008.150194823767,3121.8106978277174,,,,,0,0,0,0,0,0,0,0,5
28,2021-10-29,2973.75,3020.0,2912.0,2999.949951171875,211146,3005.4105238007733,3108.6283500708973,32.52472756993744,,,,0,0,0,0,0,1,0,0,0
29,2021-11-01,2997.0,3012.300048828125,2946.0,2998.699951171875,160708,3003.1702555864654,3097.1289365058183,32.470630411969545,,,,0,0,0,0,0,1,0,0,0
30,2021-11-02,2825.0,2834.39990234375,2752.0,2781.89990234375,1683765,2929.338534986166,3065.130436684453,24.774130764599445,,,,0,0,0,0,0,1,0,1,0
31,2021-11-03,2805.0,2823.60009765625,2703.0,2731.75,782105,2863.4310944141575,3032.1930373067667,23.392852688525497,,,,0,0,0,0,0,1,0,1,0
32,2021-11-04,2741.60009765625,2777.5,2741.0,2767.699951171875,60963,2831.5063122879806,3006.6920766170183,26.554132615891803,,,,0,0,0,0,0,1,0,0,0
33,2021-11-08,2799.0,2799.0,2700.89990234375,2748.949951171875,345912,2803.9792470718476,2982.385035150943,25.952595929770194,,,,0,0,0,0,0,1,0,0,0
34,2021-11-09,2750.0,2794.5,2746.300048828125,2785.949951171875,552743,2797.9682766578057,2964.2271124881586,29.353585197189975,,,,0,0,0,0,0,1,1,0,0
35,2021-11-10,2780.0,2810.0,2755.550048828125,2797.64990234375,257233,2797.86213770022,2949.1068268844247,30.441543790618002,,,,0,0,0,0,0,1,0,0,5
36,2021-11-11,2785.0,2785.0,2729.449951171875,2749.300048828125,242561,2781.6733322427754,2931.268120448105,28.48902331340493,,,,0,0,0,0,0,1,0,0,5
37,2021-11-12,2769.89990234375,2784.0,2733.0,2737.85009765625,262891,2767.0647195823767,2914.2584449461056,28.030508827549173,,,,0,0,0,0,0,1,0,0,5
38,2021-11-15,2758.64990234375,2935.949951171875,2749.050048828125,2889.800048828125,1237334,2807.9781162551994,2912.1369331999003,41.48895617463254,,,,0,0,0,0,0,0,1,0,5
39,2021-11-16,2905.0,2932.89990234375,2882.0,2922.550048828125,283136,2846.1697687599835,2913.02886598388,43.92299102241515,,,,0,0,0,0,0,0,0,0,5
40,2021-11-17,2920.0,2924.199951171875,2864.0,2897.199951171875,208118,2863.180128962375,2911.6885658685196,42.450919002351,,,,0,0,0,0,0,0,0,0,5
41,2021-11-18,2880.0,2905.699951171875,2835.0,2870.75,202219,2865.7034489167954,2908.258486212737,40.91028466112828,,,,0,0,0,0,0,0,0,0,5
42,2021-11-22,2885.89990234375,2924.699951171875,2785.0,2872.0,507513,2867.802315696548,2905.249752493299,41.01922601464132,,,,0,0,0,0,0,0,1,0,5
43,2021-11-23,2862.0,2932.800048828125,2829.699951171875,2921.949951171875,238853,2885.851621650503,2906.6233041467026,45.354763238351495,,,,0,0,0,0,0,0,0,0,5
44,2021-11-24,2930.0,2974.0,2861.199951171875,2899.0,278739,2890.234429671509,2906.0013887535756,43.76302670637579,,,,0,0,0,0,0,0,0,0,5
45,2021-11-25,2890.949951171875,3031.89990234375,2864.800048828125,2997.800048828125,462081,2926.089719163156,2913.4345993801076,51.63275451252755,,,,0,0,1,0,0,0,1,0,5
46,2021-11-26,2991.300048828125,3013.699951171875,2876.0,2933.050048828125,235616,2928.4098326365497,2915.0120380883,46.991607051249495,,,,0,0,0,0,0,0,0,0,10
47,2021-11-29,2900.10009765625,2980.75,2841.800048828125,2954.699951171875,245770,2937.173214509188,2918.183547368088,48.65353234310377,-66.49712752458163,-119.86719960268505,53.37007207810342,0,0,0,0,0,0,0,0,10
48,2021-11-30,2967.0,3031.0,2842.699951171875,2869.5,789349,2914.615460847662,2914.3157628360727,42.94705224160967,-64.1663762216117,-108.72703492647038,44.56065870485868,0,0,0,0,0,0,0,1,10
49,2021-12-01,2870.0,2951.800048828125,2870.0,2943.10009765625,221968,2924.1103441310047,2916.5903829043573,48.55985572522225,-55.73781540230084,-98.12919102163647,42.39137561933563,0,0,0,0,0,0,0,0,10
50,2021-12-02,2944.449951171875,3044.949951171875,2893.199951171875,2953.25,416066,2933.823565718744,2919.4730644593865,49.3006074330475,-47.68937451185957,-88.04122771968109,40.35185320782152,0,0,0,0,0,0,1,0,10
51,2021-12-03,2970.0,2970.0,2872.0,2891.550048828125,277433,2919.73239055453,2917.287340353434,45.0533801415196,-45.76208075087334,-79.58539832591954,33.823317575046204,0,0,0,0,0,0,0,0,5
52,2021-12-06,2904.0,2906.949951171875,2833.14990234375,2852.800048828125,128756,2897.421606952457,2912.260607945215,42.572779735615676,-46.821755658922484,-73.03266979252012,26.21091413359764,0,0,0,1,0,0,0,0,5
53,2021-12-07,2860.0,2918.0,2857.800048828125,2902.75,112950,2899.197738128934,2911.5221254283124,46.650416259105405,-43.1337925371713,-67.05289434145035,23.91910180427905,0,0,0,0,0,0,0,0,5
54,2021-12-08,2895.0,2955.800048828125,2890.10009765625,2944.300048828125,105285,2914.2318426017646,2914.0582108456015,49.840935012433526,-36.43827573996987,-60.929970621154254,24.491694881184387,0,0,1,0,0,0,0,0,5
55,2021-12-09,2944.35009765625,2964.5,2915.60009765625,2936.14990234375,197500,2921.537862809422,2915.761865652015,49.21914620297832,-31.427403601428978,-55.0294572172092,23.60205361578022,0,0,0,0,0,0,0,1,10
