,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,1143.0,1150.9000244140625,1123.050048828125,1139.8499755859375,1720415,1139.8499755859375,1139.8499755859375,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,1149.0,1160.0999755859375,1120.1500244140623,1126.8499755859375,1101061,1132.0499755859375,1133.0999755859375,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,1126.0,1139.75,1102.199951171875,1112.0,1360143,1122.5526187294406,1125.5189592221384,,,,,0,0,0,0,0,0,0,1,0
17,2021-10-13,1121.0,1132.9000244140625,1092.0,1107.300048828125,1444602,1116.216935847356,1120.425748034697,,,,,0,0,0,0,0,0,0,1,0
18,2021-10-14,1117.0,1142.0,1103.0,1134.949951171875,1789269,1123.4082829624556,1123.7939706487211,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,1144.9000244140625,1154.0,1136.0,1140.75,1039242,1129.7451810679042,1127.1901280913437,,,,,0,0,1,0,0,0,0,0,5
20,2021-10-19,1142.75,1148.25,1105.0,1113.75,1097487,1124.082001369749,1124.7998709820752,,,,,0,0,0,1,0,0,0,0,10
21,2021-10-20,1111.0,1117.0,1083.050048828125,1103.25,850277,1116.8560557717092,1121.3276527971395,,,,,0,0,0,0,0,0,0,0,10
22,2021-10-21,1114.0,1114.3499755859377,1080.0999755859377,1088.9000244140623,1051526,1107.2885046926042,1116.5211663890834,,,,,0,0,0,0,0,0,0,0,10
23,2021-10-22,1088.0,1138.699951171875,1088.0,1129.5,2436016,1114.8229960693466,1118.312119108453,,,,,0,0,0,0,0,0,1,0,10
24,2021-10-25,1139.9000244140625,1148.449951171875,1101.800048828125,1129.5999755859375,1172076,1119.806267609876,1119.776157669581,,,,,0,0,1,0,0,0,0,0,10
25,2021-10-26,1130.949951171875,1144.8499755859375,1120.050048828125,1123.0999755859377,1015325,1120.9126979104108,1120.1845410720482,,,,,0,0,0,0,0,0,0,0,10
26,2021-10-27,1131.0,1153.0,1125.0999755859377,1137.050048828125,1195271,1126.3195967788276,1122.160332263581,,,,,0,0,0,0,0,0,0,0,10
27,2021-10-28,1143.300048828125,1157.0999755859375,1110.0,1125.9000244140625,2221276,1126.1792585972346,1122.5803441972832,,,,,0,0,0,0,0,0,0,1,10
28,2021-10-29,1119.800048828125,1119.800048828125,1035.050048828125,1055.0999755859377,5328926,1102.4319334849777,1115.280621274155,33.761253907233126,,,,0,0,0,1,0,1,0,1,10
29,2021-11-01,1069.9000244140623,1079.800048828125,1055.800048828125,1068.199951171875,1159482,1091.003874192607,1110.3555964229838,37.1586297615201,,,,0,0,0,0,0,1,0,0,5
30,2021-11-02,1072.699951171875,1085.0,1065.25,1071.449951171875,1121537,1084.4792776529034,1106.4063336720862,38.00813054675388,,,,0,0,0,0,0,1,0,0,0
31,2021-11-03,1079.0,1113.949951171875,1075.199951171875,1105.800048828125,1753014,1091.5910134592277,1106.346433798414,46.274715957224814,,,,0,0,0,0,0,0,0,0,0
32,2021-11-04,1125.0,1128.449951171875,1111.800048828125,1120.5999755859377,374627,1101.2650313831325,1107.720681473939,49.40521416352907,,,,0,0,0,0,0,0,0,0,0
33,2021-11-08,1126.0,1130.9000244140625,1097.449951171875,1103.4000244140623,1682661,1101.976909809021,1107.313210672906,46.04714397728111,,,,0,0,0,0,0,0,0,1,0
34,2021-11-09,1109.4000244140623,1109.4000244140623,1073.0999755859377,1083.050048828125,1822776,1095.6666910396332,1105.0703902591192,42.37711314668841,,,,0,0,0,0,0,0,0,1,0
35,2021-11-10,1085.199951171875,1093.300048828125,1070.0999755859377,1077.5,1300290,1089.610317881985,1102.5678139789493,41.40779419312061,,,,0,0,0,0,0,0,0,0,0
36,2021-11-11,1073.0,1077.0,1057.949951171875,1073.949951171875,900752,1084.3897304659463,1100.0128173045803,40.7654762369871,,,,0,0,0,0,0,0,0,0,0
37,2021-11-12,1085.0,1087.949951171875,1075.6500244140623,1085.699951171875,914220,1084.8264966465613,1098.7541072582944,43.86902637449971,,,,0,0,0,0,0,0,0,0,0
38,2021-11-15,1094.949951171875,1094.949951171875,1066.4000244140623,1085.75,605870,1085.1343432890897,1097.6261360632777,43.882513605765055,,,,0,0,0,0,0,0,0,0,0
39,2021-11-16,1084.949951171875,1089.0,1073.0999755859377,1080.5999755859377,563315,1083.6228474824056,1096.1677645962527,42.74436452485165,,,,0,0,0,0,0,0,0,0,0
40,2021-11-17,1079.0,1080.75,1060.0,1061.9000244140623,657952,1076.3817790099708,1093.2661723731076,38.80841574569373,,,,0,0,0,0,0,1,0,0,0
41,2021-11-18,1065.0,1066.9000244140623,1025.0,1028.949951171875,1620485,1060.5709842073106,1087.8773719303251,33.03598842409172,,,,0,0,0,0,0,1,0,1,0
42,2021-11-22,1031.550048828125,1036.5999755859377,992.0,1007.2999877929688,1523389,1042.8138464947885,1081.191050519781,29.890086385736737,,,,0,0,0,0,0,1,0,1,0
43,2021-11-23,999.0,1010.0,985.25,1006.5999755859376,1175544,1030.7424932385836,1075.0561118716596,29.791303768150616,,,,0,0,0,0,0,1,0,0,0
44,2021-11-24,1008.0,1016.2999877929688,998.0,999.5499877929688,1963684,1020.3449552739461,1068.8962604560263,28.760405523395942,,,,0,0,0,0,0,1,0,1,0
45,2021-11-25,1003.0,1008.0,988.9000244140624,1003.25,1156788,1014.6466236415903,1063.5806874354882,30.126986094930057,,,,0,0,0,0,0,1,0,0,0
46,2021-11-26,990.0,995.0,951.0,955.9000244140624,2208386,995.0643936403578,1054.9212046933797,23.827632547998302,,,,0,0,0,0,0,1,0,1,0
