,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,461.8999938964844,464.0,454.25,458.0,16521128,458.0,458.0,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,460.0,474.95001220703125,458.6499938964844,469.25,20686981,464.75,463.84134615384613,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,470.0,484.3999938964844,468.1000061035156,483.0,33763609,473.3947368421052,470.72486446525375,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,486.1499938964844,486.1499938964844,478.0,481.70001220703125,17638983,476.8446204552283,473.79303616451244,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,482.0,493.8999938964844,482.0,490.6000061035156,23431826,482.12512395054245,477.6906418153775,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,494.0,501.0,491.70001220703125,497.95001220703125,20084248,487.9077522908835,481.7484321218841,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,500.3500061035156,504.20001220703125,483.25,488.20001220703125,20645100,488.011228482662,482.89581219592293,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,488.7999877929688,507.5,483.1000061035156,499.8999938964844,34080545,492.1350555976548,485.6356072030369,,,,,0,0,0,0,0,0,1,0,5
22,2021-10-21,504.8999938964844,506.5,491.75,502.95001220703125,20808243,495.8363195022044,488.2019821266717,,,,,0,0,0,0,0,0,0,0,5
23,2021-10-22,504.6000061035156,508.70001220703125,500.0,502.95001220703125,24080485,498.24939685694983,490.2370667397875,,,,,0,0,0,0,0,0,0,0,5
24,2021-10-25,506.5,515.4500122070311,497.8500061035156,506.5,35619415,501.0317649172698,492.34637433574176,,,,,0,0,0,0,0,0,1,0,5
25,2021-10-26,507.6000061035156,518.2000122070311,507.6000061035156,512.5499877929689,21107457,504.90099403248183,494.8287065854105,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,513.7000122070311,526.8499755859375,512.75,519.1500244140625,29463032,509.675201809152,497.67794458211443,,,,,0,0,0,0,0,0,1,0,5
27,2021-10-28,519.5999755859375,520.5499877929689,497.6000061035156,501.3500061035156,28140401,506.890597948527,498.09036079131454,,,,,0,0,0,0,0,0,0,1,5
28,2021-10-29,501.5,512.6500244140625,488.3999938964844,502.1499938964844,31355893,505.3067796982156,498.529513650837,71.67402614174239,,,,0,0,0,0,1,0,1,0,5
29,2021-11-01,508.5,516.9500122070311,501.0,515.7000122070311,20679604,508.776472930228,500.3256888520936,75.22378225112563,,,,0,0,0,0,1,0,0,0,5
30,2021-11-02,514.7999877929689,525.0,512.0499877929689,521.7000122070311,26797820,513.08869608651,502.4953693317893,76.62091364687844,,,,0,0,0,0,1,0,1,0,5
31,2021-11-03,524.0,542.2999877929689,515.2000122070311,527.6500244140625,80775924,517.9457586760215,504.9806049049762,77.9488716760254,,,,0,0,0,0,1,0,1,0,5
32,2021-11-04,531.5,535.9000244140625,528.0499877929689,530.4500122070311,9796046,522.1157242285861,507.43622430846284,78.56587228515006,,,,0,0,0,0,1,0,0,0,5
33,2021-11-08,534.4500122070311,534.4500122070311,516.4500122070311,523.25,36802110,522.4939298896724,508.92758355292295,72.91599082549993,,,,0,0,0,0,1,0,0,1,5
34,2021-11-09,526.25,532.0,522.2000122070311,529.1500244140625,25451967,524.7130729710857,510.79689075493195,74.532215822911,,,,0,0,0,0,1,0,0,0,5
35,2021-11-10,525.5499877929689,528.5,521.5,524.4000244140625,15805538,524.6087095031509,512.0316530963922,70.86573315707616,,,,0,0,0,0,1,0,0,0,5
36,2021-11-11,522.8499755859375,522.8499755859375,507.1000061035156,509.6000061035156,23086898,519.6053625477689,511.81455617263094,60.82548374726318,,,,0,0,0,0,1,0,0,0,5
37,2021-11-12,512.0,513.0,502.70001220703125,511.3500061035156,19836221,516.8534135917988,511.7737024516797,61.519719420473315,,,,0,0,0,0,1,0,0,0,0
38,2021-11-15,512.4000244140625,515.9000244140625,505.5,506.5499877929688,13328183,513.4188023076063,511.3205994782131,58.45953118801772,,,,0,0,0,0,0,0,0,0,0
39,2021-11-16,507.3999938964844,507.3999938964844,493.5,495.1000061035156,19553216,507.3123756879168,509.9312286575072,51.835698806924505,,,,0,0,0,1,0,0,0,0,0
40,2021-11-17,493.8500061035156,505.3999938964844,491.0,498.1499938964844,20488483,504.2581946676314,508.9336624631832,53.3519308491176,,,,0,0,0,0,0,0,1,0,0
41,2021-11-18,499.1000061035156,506.20001220703125,492.2999877929688,503.7999877929688,22471070,504.1054572505285,508.50353227488444,56.108419371852236,,,,0,0,0,0,0,0,1,0,5
42,2021-11-22,506.0,506.0,477.5,486.3999938964844,28800269,498.2035899643155,506.66937789657464,46.91423946983315,,,,0,0,0,0,0,0,0,1,5
43,2021-11-23,485.25,495.3999938964844,480.0,493.0499877929688,20000371,496.4857136149781,505.5492154269419,50.26833043249711,,,,0,0,0,0,0,0,0,0,5
44,2021-11-24,495.7999877929688,500.0,489.0499877929688,493.1499938964844,13963769,495.37380317633443,504.53767678383076,50.31916692817509,,,,0,0,0,0,0,0,0,0,5
45,2021-11-25,490.0,495.45001220703125,486.2999877929688,490.5499877929688,12894211,493.765860988292,503.4050519899279,48.919085043958546,,,,0,0,0,0,0,0,0,0,5
46,2021-11-26,486.25,487.8999938964844,467.1000061035156,470.5,26305817,486.01056200860313,500.75888765698477,39.73703112340996,,,,0,0,0,0,0,1,0,1,5
47,2021-11-29,470.0,477.75,454.2999877929688,465.1000061035156,22407465,479.04036952661767,497.9093431743727,37.685403568371115,-3.633797721363635,4.34985439291476,-7.983652114278395,0,0,0,0,0,1,0,1,0
48,2021-11-30,468.0,477.25,458.0,460.5499877929688,23026652,472.87690471590446,494.9412370136254,35.99886427054549,-5.881179816044664,2.3036475511228747,-8.18482736716754,0,0,0,0,0,1,0,1,0
49,2021-12-01,464.45001220703125,477.25,464.0,475.2999877929688,17156956,473.68459944472164,493.3891295939962,44.64709507486301,-6.398289094600557,0.5632602219781881,-6.961549316578745,0,0,0,0,0,0,0,0,0
50,2021-12-02,474.5,478.1499938964844,470.95001220703125,477.0,12962679,474.7897333004648,492.1003915948966,45.560158912138334,-6.594903206929871,-0.8683724638034238,-5.726530743126447,0,0,0,0,0,0,0,0,0
51,2021-12-03,475.75,481.5,470.0499877929688,473.1499938964844,16653993,474.24315338791723,490.6170152427941,43.79814043537612,-6.980913004540355,-2.09088057195081,-4.890032432589544,0,0,0,0,0,0,0,0,0
52,2021-12-06,473.1499938964844,477.0,463.7999877929688,465.2999877929688,14353300,471.26209778520126,488.6435733544513,40.369864432576385,-7.829999082099221,-3.238704273980492,-4.591294808118729,0,0,0,0,0,0,0,0,0
53,2021-12-07,469.20001220703125,479.70001220703125,469.20001220703125,476.70001220703125,13644942,473.0747360897421,487.7161761630487,46.87344109772872,-7.496603046220457,-4.090284028428485,-3.406319017791972,0,0,0,0,0,0,0,0,0
54,2021-12-08,480.8999938964844,492.3999938964844,480.25,491.5499877929688,20397660,479.2331536954532,488.0128048923516,53.92318809588343,-5.96535051500166,-4.46529732574312,-1.5000531892585398,0,0,0,0,0,0,1,0,0
55,2021-12-09,492.2999877929688,493.5,486.1000061035156,488.6499938964844,12560970,482.37210055529886,488.06194328040016,52.4591934739018,-4.9290085804044566,-4.558039576675387,-0.37096900372906916,0,0,0,0,0,0,0,0,5
56,2021-12-10,488.5,495.95001220703125,484.3999938964844,494.70001220703125,13261408,486.481404549324,488.5723009885962,55.192325514966335,-3.578266190002296,-4.362084899340769,0.7838187093384734,1,0,0,0,0,0,0,0,5
57,2021-12-13,497.75,500.45001220703125,486.3500061035156,487.7999877929688,14047645,486.9209323050575,488.51308922645376,51.552172326236914,-3.0296435731166866,-4.095596634095953,1.0659530609792665,0,0,0,0,0,0,0,0,10
58,2021-12-14,486.0,490.3500061035156,481.7999877929688,488.5499877929688,11642447,487.463950807495,488.5159108490566,51.92334036471918,-2.5054561260055266,-3.7775685324778676,1.272112406472341,0,0,0,0,0,0,0,0,10
59,2021-12-15,490.0,491.0,483.5,484.7999877929688,8639835,486.575963128936,488.23243440418304,49.866230481292476,-2.365361047773092,-3.4951270355369126,1.1297659877638204,0,0,0,0,0,0,0,0,10
60,2021-12-16,488.3500061035156,490.5499877929688,478.25,481.1499938964844,11107781,484.76730670854545,487.69332957643934,47.87795739176679,-2.519811869415662,-3.3000640023126624,0.7802521328970005,0,0,0,0,0,0,0,0,5
61,2021-12-17,480.0499877929688,481.3999938964844,466.5,467.7999877929688,12648603,479.1115337167288,486.1821674913105,41.379261177569845,-3.6770622949782705,-3.375463660845784,-0.30159863413248633,0,1,0,0,0,0,0,1,5
62,2021-12-20,459.0,464.0,443.0,449.20001220703125,22336114,469.1410265233741,483.37818139875134,34.377858783780724,-6.025594871206351,-3.9054899029178975,-2.120104968288454,0,0,0,0,0,1,0,1,0
63,2021-12-21,457.0499877929688,458.25,444.5,446.0,16617447,461.42735100348517,480.549107898365,33.33289955839944,-8.052217152615981,-4.734835352857514,-3.3173817997584667,0,0,0,0,0,1,0,1,0
64,2021-12-22,450.0,457.2999877929688,449.0,455.8500061035156,13102553,459.5682360348848,478.6826983727529,39.435414078991684,-8.762508001273375,-5.540369882540686,-3.2221381187326887,0,0,0,0,0,1,0,0,0
65,2021-12-23,461.0,465.0,457.75,461.7999877929688,14471377,460.31215328809805,477.4088417347045,42.83917875964042,-8.744503625407276,-6.181196631114004,-2.5633069942932725,0,0,0,0,0,0,0,0,0
66,2021-12-24,462.6000061035156,463.6000061035156,452.20001220703125,456.95001220703125,13221159,459.19143959388833,475.8672812314241,40.82509916237149,-9.017637809286043,-6.748484866748411,-2.269152942537632,0,0,0,0,0,0,0,0,0
67,2021-12-27,453.70001220703125,460.5,450.5499877929688,458.0499877929688,8856482,458.8109556601306,474.5264688552043,41.49690307200623,-9.041119384566002,-7.207011770311929,-1.8341076142540729,0,0,0,0,0,0,0,0,0
68,2021-12-28,461.20001220703125,462.8999938964844,459.0499877929688,461.20001220703125,8832210,459.60730784259533,473.5247886674215,43.475939981861934,-8.705199931773905,-7.5066494026043245,-1.1985505291695802,0,0,0,0,0,0,0,0,0
