,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,28219.19921875,28219.19921875,27721.94921875,27757.150390625,29947,27757.150390625,27757.150390625,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,27755.0,28096.25,27627.0,28022.44921875,25350,27916.3296875,27894.901705228367,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,28020.0,28089.599609375,27661.0,27705.80078125,30650,27816.60546875,27826.959579264727,,,,,0,0,0,1,0,0,0,1,0
17,2021-10-13,27880.5,28240.0,27684.400390625,27815.69921875,53052,27816.229026442306,27823.81167453783,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,27997.80078125,28300.0,27911.150390625,27956.44921875,46335,27870.057631072275,27854.570868117306,,,,,0,0,1,0,0,0,1,0,0
19,2021-10-18,28177.69921875,28300.0,27950.0,28191.30078125,35497,27987.444225798874,27922.015184056345,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,28200.05078125,28393.349609375,27556.19921875,27696.80078125,20380,27884.54035446516,27881.961969997752,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,27699.0,28027.25,27296.349609375,27457.400390625,36072,27736.379355112516,27813.554579635682,,,,,0,0,0,1,0,0,0,1,10
22,2021-10-21,27722.0,27786.75,27199.650390625,27618.69921875,26460,27696.105014980316,27784.672737504956,,,,,0,0,0,0,0,0,0,0,10
23,2021-10-22,27847.30078125,28014.25,27226.0,27738.19921875,27130,27710.38403631248,27778.259844229025,,,,,0,0,0,0,0,0,0,0,10
24,2021-10-25,27625.0,27738.150390625,26811.19921875,27275.0,20656,27563.55857208815,27712.986882999572,,,,,0,0,0,0,0,0,0,0,0
25,2021-10-26,27320.0,27995.0,27319.0,27777.900390625,28367,27635.560790992946,27720.962530215296,,,,,0,0,0,0,0,0,1,0,0
26,2021-10-27,27780.0,28480.099609375,27654.900390625,28107.75,50424,27793.77011003653,27766.274612534344,,,,,0,0,1,0,0,0,1,0,5
27,2021-10-28,28244.0,28437.30078125,27861.25,28193.05078125,39917,27927.321144492245,27814.206655244652,,,,,0,0,0,0,0,0,1,0,10
28,2021-10-29,28395.69921875,29000.0,27705.0,28635.25,35291,28163.837552309957,27903.023433337723,61.24155796095846,,,,0,0,0,0,1,0,0,0,10
29,2021-11-01,28800.0,29600.0,28600.0,29145.75,55692,28491.640761878207,28033.022840965652,66.02415134708389,,,,0,0,0,0,1,0,1,0,10
30,2021-11-02,29299.099609375,29424.94921875,28705.25,28868.150390625,21184,28617.27148151855,28117.79558031571,61.57469257320073,,,,0,0,0,0,1,0,0,0,10
31,2021-11-03,28922.0,29131.0,28700.0,28980.55078125,33175,28738.446573280668,28203.034273086534,62.671618184187196,,,,0,0,0,0,1,0,0,0,10
32,2021-11-04,29000.0,29219.69921875,28980.55078125,29047.19921875,2078,28841.410568106705,28284.42398882394,63.33990100061926,,,,0,0,0,0,1,0,0,0,5
33,2021-11-08,29050.0,29818.900390625,28978.44921875,29526.55078125,38204,29069.859340247556,28401.565986460057,67.8043438647521,,,,0,0,0,0,1,0,1,0,5
34,2021-11-09,29700.0,29760.0,29151.5,29229.650390625,18387,29123.133704458807,28478.111847130684,62.710396126717484,,,,0,0,0,0,1,0,0,0,5
35,2021-11-10,29099.0,29428.900390625,28965.0,29355.80078125,23034,29200.699763983488,28557.780052304824,63.949673950348554,,,,0,0,0,0,1,0,0,0,5
36,2021-11-11,29198.5,29298.400390625,28850.0,29010.55078125,18576,29137.31112150744,28598.20332620565,58.24453936147713,,,,0,0,0,0,0,0,0,0,5
37,2021-11-12,29228.44921875,29539.900390625,28869.599609375,29388.900390625,23683,29221.179193244465,28667.739247894962,62.222040746750615,,,,0,0,0,0,1,0,1,0,5
38,2021-11-15,29450.0,29748.0,29031.25,29077.19921875,12910,29173.183967699908,28703.255646173067,57.37322015906159,,,,0,0,0,0,0,0,0,0,5
39,2021-11-16,29239.849609375,29275.44921875,28002.25,28138.94921875,46214,28828.42994938809,28654.92012193624,45.80280885746085,,,,0,0,0,0,0,0,0,1,5
40,2021-11-17,28148.0,28294.44921875,27618.75,27691.05078125,29245,28449.29688690825,28573.305292122724,41.50016811687196,,,,0,0,0,1,0,0,0,1,5
41,2021-11-18,27692.0,28024.75,26935.05078125,27167.30078125,40803,28021.959837331335,28455.5017646574,37.11016317528449,,,,0,0,0,0,0,1,0,1,5
42,2021-11-22,27290.0,27290.0,26327.599609375,26603.05078125,23769,27548.986452069148,28301.78515043688,33.053534346081896,,,,0,0,0,0,0,1,0,0,5
43,2021-11-23,26520.0,26926.55078125,26205.5,26740.5,32528,27279.489562594204,28173.373157197097,34.91981343239053,,,,0,0,0,0,0,1,1,0,0
44,2021-11-24,26895.0,27000.0,26665.0,26883.75,29212,27147.575916434664,28068.16464427945,36.89430166911126,,,,0,0,0,0,0,1,0,0,5
45,2021-11-25,26700.0,26823.19921875,26302.099609375,26670.5,31286,26988.55024236355,27954.99157968626,35.183033260899016,,,,0,0,0,0,0,1,0,1,5
46,2021-11-26,26450.0,26539.900390625,25812.0,25945.80078125,29540,26640.96655156808,27793.416116121363,30.07737034664552,,,,0,0,0,0,0,1,0,0,5
47,2021-11-29,25900.0,25925.0,25198.25,25566.099609375,27395,26282.67720174806,27615.42855211678,27.800974877180696,-414.496934431103,81.01410914852467,-495.51104357962765,0,0,0,0,0,1,0,0,5
48,2021-11-30,25480.0,26350.0,25330.94921875,26102.25,97672,26222.53475986186,27495.210348751203,35.25273167081192,-465.37777455057585,-28.264267591295436,-437.1135069592804,0,0,0,0,0,1,1,0,5
49,2021-12-01,26350.0,26426.349609375,25850.0,26092.0,30525,26179.023153319842,27384.324672940587,35.17798012810637,-500.75589402251717,-122.76259287753979,-377.9933011449774,0,0,0,0,0,1,0,0,5
50,2021-12-02,26092.0,26749.0,26020.150390625,26289.80078125,40560,26215.94904056735,27298.258202964007,37.913943512506556,-506.98819431794254,-199.60771316562034,-307.3804811523222,0,0,0,0,0,1,0,0,5
51,2021-12-03,26280.55078125,26419.900390625,25563.650390625,25914.05078125,62632,26115.31626698432,27189.906885569362,34.9004234468843,-536.0677664090254,-266.89972381430135,-269.168042594724,0,0,0,0,0,1,0,1,5
52,2021-12-06,25933.5,26149.44921875,25529.94921875,25612.349609375,22538,25947.660691704295,27066.93756714239,32.65601929200864,-576.8092025113365,-328.8816195537084,-247.9275829576281,0,0,0,0,0,1,0,0,5
53,2021-12-07,25650.5,26089.849609375,25613.099609375,25746.55078125,22609,25880.624048823553,26964.411780931117,34.66861358473084,-591.4503002480596,-381.3953556925786,-210.05494455548103,0,0,0,0,0,1,0,0,5
54,2021-12-08,25939.849609375,26279.55078125,25850.0,26152.849609375,15145,25971.365907811694,26901.619792451496,40.46921479124223,-563.7697688779954,-417.87023832966196,-145.89953054833342,0,0,0,0,0,0,0,0,0
55,2021-12-09,26250.0,26465.0,25859.150390625,26416.5,23747,26119.74394450512,26864.208593487143,43.947111384176324,-514.6260761720696,-437.2214058981435,-77.40467027392611,0,0,0,0,0,0,0,0,0
56,2021-12-10,26305.0,26527.599609375,26182.69921875,26406.44921875,20165,26215.312371814296,26829.014468813497,43.84195852492505,-471.06027012130653,-443.98917874277606,-27.07109137853047,0,0,0,0,0,0,0,0,0
57,2021-12-13,26500.0,26636.099609375,26176.19921875,26433.650390625,25375,26288.091712718015,26798.70266799238,44.23087563906296,-429.38941383371275,-441.0692257609634,11.679811927250626,1,0,0,0,0,0,1,0,0
58,2021-12-14,26349.650390625,26500.0,25968.900390625,26461.400390625,24245,26345.86127270835,26772.909261372435,44.65199684810813,-389.63430518863606,-430.78224164649794,41.147936457861874,0,0,0,0,0,0,0,0,10
59,2021-12-15,26415.0,26415.05078125,26102.0,26251.30078125,26704,26314.341108638644,26733.117340138022,42.0622757446734,-370.8069461127052,-418.7871825397394,47.980236427034185,0,0,0,0,0,0,0,1,10
60,2021-12-16,26400.0,26500.0,25936.400390625,26366.05078125,24978,26331.577666267,26705.17678013124,43.97352590560789,-342.67659987244406,-403.5650660062803,60.88846613383623,0,0,0,0,0,0,0,0,10
61,2021-12-17,26175.0,26332.25,25857.05078125,26224.849609375,27863,26296.001647177458,26668.68958673736,42.131753640217454,-327.99591952184346,-388.4512367093929,60.45531718754944,0,0,0,0,0,0,0,1,10
