,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,2250.0,2274.800048828125,2217.0,2223.449951171875,296111,2223.449951171875,2223.449951171875,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,2224.0,2245.85009765625,2215.0,2236.75,113597,2231.4299804687503,2230.355745755709,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,2245.0,2285.0,2226.64990234375,2265.85009765625,283123,2247.734246504934,2243.108521771231,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,2270.0,2277.14990234375,2226.5,2249.300048828125,154295,2248.384656700721,2244.8394021692093,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,2264.0,2307.949951171875,2252.60009765625,2269.35009765625,392838,2256.433001332938,2250.5235335494426,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,2288.0,2309.0,2241.75,2265.89990234375,249084,2259.8923350857613,2253.603297581424,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,2282.75,2407.0,2270.10009765625,2311.60009765625,1566620,2278.1997459230056,2263.91772782729,,,,,0,0,0,0,0,0,1,0,10
21,2021-10-20,2311.5,2318.0,2202.0,2210.699951171875,291025,2254.7862564510433,2255.343025360696,,,,,0,0,0,1,0,0,0,0,5
22,2021-10-21,2232.0,2238.35009765625,2173.10009765625,2189.10009765625,158154,2232.3061099874976,2245.5243692480767,,,,,0,0,0,0,0,0,0,0,5
23,2021-10-22,2198.85009765625,2209.75,2146.0,2172.89990234375,126898,2212.154582455367,2235.5028996465494,,,,,0,0,0,0,0,0,0,0,5
24,2021-10-25,2195.0,2195.0,2102.699951171875,2157.60009765625,178253,2193.7570600657295,2225.398881548764,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,2158.10009765625,2189.449951171875,2151.699951171875,2169.25,136906,2185.5245895398616,2218.500106745613,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,2152.050048828125,2219.10009765625,2152.050048828125,2171.14990234375,161390,2180.70827982888,2212.9530388406597,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,2171.14990234375,2196.199951171875,2148.199951171875,2162.75,259957,2174.7016107835116,2207.3146401242097,,,,,0,0,0,0,0,0,0,1,0
28,2021-10-29,2155.550048828125,2208.60009765625,2126.64990234375,2186.64990234375,142622,2178.6934907265313,2205.079221687994,44.39024063464606,,,,0,0,0,0,0,0,0,0,0
29,2021-11-01,2197.0,2241.699951171875,2189.64990234375,2235.64990234375,268237,2197.707909555356,2208.277166016733,52.09696194067111,,,,0,0,0,0,0,0,1,0,0
30,2021-11-02,2236.550048828125,2261.699951171875,2236.550048828125,2250.64990234375,186090,2215.3731700039084,2212.578368789488,54.189915507912204,,,,0,0,1,0,0,0,0,0,5
31,2021-11-03,2255.85009765625,2323.449951171875,2251.5,2311.300048828125,373499,2247.3704468995948,2222.3318967259415,61.51217596003832,,,,0,0,0,0,1,0,1,0,10
32,2021-11-04,2330.0,2335.0,2280.10009765625,2305.85009765625,57391,2266.872461040344,2230.384259794956,60.57520864977073,,,,0,0,0,0,1,0,0,0,10
33,2021-11-08,2305.85009765625,2382.0,2302.699951171875,2373.85009765625,283781,2302.542400218651,2243.91417875499,67.27349822301687,,,,0,0,0,0,1,0,1,0,10
34,2021-11-09,2379.0,2422.35009765625,2361.449951171875,2408.5,516214,2337.8686825627983,2259.128042556816,70.06449238146573,,,,0,0,0,0,1,0,1,0,10
35,2021-11-10,2404.0,2440.0,2378.0,2389.699951171875,226362,2355.1480816149437,2270.9801113264443,66.73881964864081,,,,0,0,0,0,1,0,0,0,10
36,2021-11-11,2389.699951171875,2406.949951171875,2357.85009765625,2397.5,233636,2369.2666457749638,2282.275779943689,67.42958080125712,,,,0,0,0,0,1,0,0,0,5
