,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,826.9000244140625,828.9500122070312,812.4500122070312,818.75,1747911,818.75,818.75,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,821.4000244140625,826.5,813.0,816.25,1772719,817.25,817.451923076923,,,,,0,0,0,1,0,0,0,1,0
16,2021-10-12,817.5,823.0,813.5999755859375,816.1500244140625,1246493,816.7289589329769,816.984163527773,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,820.0,854.0,818.0499877929688,848.1500244140625,7233280,829.7807861328124,825.6967762965612,,,,,0,0,1,0,0,0,1,0,0
18,2021-10-14,859.9500122070312,860.0,846.0,849.5999755859375,2352197,837.3891005674243,831.2400268028777,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,863.0,863.0,842.0499877929688,843.9500122070312,1914236,839.7865464748295,833.7857355081227,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,849.0,862.0,840.0999755859375,843.2999877929688,1915361,841.0304992290421,835.4777959564061,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,841.0,851.9000244140625,822.5499877929688,826.9500122070312,1535158,836.1464349757291,834.1037586901781,,,,,0,0,0,0,0,0,0,0,10
22,2021-10-21,837.1500244140625,838.75,808.0,814.7999877929688,2257911,828.840919354943,831.2425160687446,,,,,0,0,0,1,0,0,0,1,10
23,2021-10-22,818.6500244140625,821.7999877929688,790.0,795.25,2948977,817.4463469178326,826.2758991551832,,,,,0,0,0,0,0,0,0,1,0
24,2021-10-25,793.0,800.5999755859375,773.5999755859375,788.9500122070312,2954698,807.836468687014,821.43471979315,,,,,0,0,0,0,0,0,0,1,0
25,2021-10-26,786.0999755859375,811.9000244140625,786.0999755859375,808.9000244140625,1776800,808.1937408833551,819.89463496401,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,812.0,821.2000122070312,809.6500244140625,818.75,1930632,811.7306674683654,819.7605411844381,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,818.0,822.5499877929688,805.9500122070312,809.7000122070312,1822874,811.0514557500774,818.6306240522689,,,,,0,0,0,0,0,0,0,0,0
28,2021-10-29,807.0,818.5,794.1500244140625,809.5,2220844,810.5331201319689,817.6429141883722,46.59299877794694,,,,0,0,0,0,0,0,0,1,0
