,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,385.8999938964844,397.5499877929688,380.0,382.95001220703125,93728117,382.95001220703125,382.95001220703125,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,390.1499938964844,420.8999938964844,388.0,415.75,113404983,402.6300048828125,399.98077509953424,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,423.0,435.70001220703125,413.6000061035156,420.8500061035156,97349265,411.2605317768297,407.47888717538564,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,462.8999938964844,523.8499755859375,462.8999938964844,506.8999938964844,197949387,450.987692964994,435.2726839540384,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,530.0,530.0,492.0,497.6000061035156,103630901,468.8815193357061,449.726647035708,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,507.0,525.0,503.6000061035156,509.6000061035156,72322623,483.76060547792827,461.7188033242089,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,512.4500122070311,517.4000244140625,476.0499877929688,481.8999938964844,57428637,483.1018459622058,465.30792345096944,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,481.7999877929688,497.0,471.25,486.8999938964844,55444814,484.41930028929016,468.7869410150972,,,,,0,0,0,0,0,0,0,0,5
22,2021-10-21,491.75,510.3999938964844,485.75,508.0,52608672,492.4894568174821,474.59917719847454,,,,,0,0,0,0,0,0,0,0,5
23,2021-10-22,509.8999938964844,510.70001220703125,487.3999938964844,490.8999938964844,42742785,491.95028579337185,476.8485312520385,,,,,0,0,0,0,0,0,0,0,0
24,2021-10-25,493.8999938964844,496.0,473.25,479.8999938964844,33107841,487.8865407907202,477.2443069237279,,,,,0,0,0,0,0,0,0,0,0
25,2021-10-26,483.5,510.0,483.25,508.6499938964844,58027770,494.8614498679406,481.1029904092598,,,,,0,0,0,0,0,0,1,0,0
