Date,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,macd_buy,macd_sell,ema_buy,ema_sell,rsi_buy,rsi_sell,volume_buy,volume_sell,scores
1996-01-01,1996-01-01,57.70473813524182,57.92221916048091,56.99430458521725,57.7772331237793,1024222,57.7772331237793,57.7772331237793,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1996-01-02,1996-01-02,57.7047243852942,57.92220535871167,56.55932905771756,56.70431900024414,1695431,57.13348464965821,57.22014309809757,,,,,0,0,0,1,0,0,0,1,0,0,0,1,0.0
1996-01-03,1996-01-03,56.70433347491287,57.9947151340338,56.55934349537533,56.71883010864258,1351411,56.93706934075606,57.040026208342674,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0.0
1996-01-04,1996-01-04,55.819907285826346,55.819907285826346,53.64510508917758,54.920989990234375,3478582,56.099620995154744,56.44763628275147,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0.0
1996-01-05,1996-01-05,54.25405292403758,54.51502778155648,53.28264059937965,53.83359146118164,3013803,55.22972340154421,55.84142850674298,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0.0
1996-01-08,1996-01-08,53.50011735436965,53.64510337477146,51.35431243130421,51.81827163696289,3675215,53.98313275674232,55.03562227327411,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0.0
1996-01-09,1996-01-09,50.745362635415226,52.00675075025,50.745362635415226,51.5717887878418,3696410,53.129383483634754,54.41959744392677,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0.0
1996-01-10,1996-01-10,51.57179729849912,52.55770625151921,50.74537100969121,51.29632186889648,3592305,52.493553864057816,53.91636035924975,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0.0
1996-01-11,1996-01-11,51.32531735842897,52.76068493056765,51.15133412672241,52.49971008300781,2771929,52.49566074176534,53.70638168867639,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0.0
1996-01-12,1996-01-12,52.49971430953324,53.32614063723098,51.97776063202028,52.29673385620117,3159319,52.42818158814949,53.511864007457206,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0.0
1996-01-15,1996-01-15,51.97775563450902,52.586700876330255,51.74577799586207,51.86176681518555,1335203,52.23716835604225,53.29784587886803,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0.0
1996-01-16,1996-01-16,51.86176503767673,52.195234851988886,51.35431200034247,51.7602767944336,1946566,52.0769697963436,53.108931290273986,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0.0
1996-01-17,1996-01-17,51.32530651172422,51.70227404112933,49.7304526773791,50.00592803955078,2551251,51.3830570600868,52.7454150191515,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0.0
1996-01-18,1996-01-18,49.31000351781436,49.65796999377138,48.13561075089961,48.94753646850586,3193071,50.568426355687095,52.31886806024809,,,,,0,0,0,0,0,0,0,1,0,0,0,1,0.0
