,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,3917.4832861075215,3982.258899534695,3892.531163266073,3928.11279296875,2934339,3928.11279296875,3928.11279296875,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,3747.808741566928,3750.303953778357,3652.9906775326112,3678.541748046875,11845402,3778.370166015625,3798.527827336238,,,,,0,0,0,1,0,0,0,1,0
16,2021-10-12,3698.9026066840734,3699.900691575245,3623.647103358919,3645.8544921875,5752877,3715.599583675986,3743.67378035574,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,3643.0099583220313,3668.4111708036617,3638.01953372159,3648.199951171875,3545655,3687.6028132512015,3716.983469882129,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,3625.0,3670.0,3608.199951171875,3611.449951171875,6442299,3658.368776149659,3692.5098116097843,,,,,0,0,0,0,0,0,0,1,0
19,2021-10-18,3603.449951171875,3652.699951171875,3601.449951171875,3647.14990234375,3590107,3654.2692478265976,3683.4245835614556,,,,,0,0,0,0,0,0,0,0,0
20,2021-10-19,3669.0,3690.10009765625,3625.199951171875,3634.14990234375,3135441,3647.145885584249,3674.661336940063,,,,,0,0,0,0,0,0,0,0,0
21,2021-10-20,3612.0,3630.0,3578.300048828125,3608.85009765625,2933693,3633.86231885966,3664.057515599115,,,,,0,0,0,0,0,0,0,0,0
22,2021-10-21,3604.10009765625,3607.449951171875,3511.25,3532.5,4871211,3599.1725179083155,3644.55780371347,,,,,0,0,0,0,0,0,0,1,0
23,2021-10-22,3560.0,3561.60009765625,3485.0,3498.85009765625,2691670,3565.141562323285,3624.4515584052,,,,,0,0,0,0,0,0,0,0,0
24,2021-10-25,3503.0,3514.550048828125,3450.0,3492.949951171875,2595594,3540.7962351262163,3607.395758287269,,,,,0,0,0,0,0,0,0,0,0
25,2021-10-26,3494.5,3529.0,3475.0,3482.60009765625,3878763,3521.2468487389524,3592.0626450469604,,,,,0,0,0,0,0,0,0,1,0
26,2021-10-27,3483.0,3511.25,3483.0,3489.75,2510813,3510.693674511428,3580.076737134205,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,3518.0,3518.0,3415.0,3421.64990234375,2424942,3480.9103948733455,3562.2835181864657,,,,,0,0,0,0,0,0,0,0,0
28,2021-10-29,3400.050048828125,3461.0,3385.949951171875,3397.75,3960501,3453.12681504732,3544.485021837904,7.280719073265776,,,,0,0,0,0,0,1,0,1,0
29,2021-11-01,3437.949951171875,3487.0,3412.949951171875,3476.39990234375,2020718,3460.896339438501,3537.3627590329093,18.413012594140056,,,,0,0,0,0,0,1,0,0,0
30,2021-11-02,3494.0,3513.60009765625,3469.75,3484.199951171875,3087414,3468.67210209835,3531.9662697711683,19.44597767818798,,,,0,0,0,0,0,1,1,0,0
31,2021-11-03,3504.199951171875,3519.89990234375,3466.050048828125,3492.25,1537639,3476.5367229118738,3528.042372339589,20.563790619378235,,,,0,0,0,0,0,1,0,0,5
32,2021-11-04,3512.949951171875,3513.25,3505.0,3508.64990234375,328991,3487.2459469117043,3526.1726576250467,22.91073730942444,,,,0,0,0,0,0,1,0,0,5
33,2021-11-08,3548.0,3548.0,3481.199951171875,3502.75,2526082,3492.415519246363,3523.9637229809546,22.65145725766124,,,,0,0,0,0,0,1,0,1,5
34,2021-11-09,3508.0,3535.0,3496.0,3505.699951171875,1782692,3496.8445511794257,3522.2754697966334,23.119945192599754,,,,0,0,0,0,0,1,0,0,5
