,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,2420.0,2420.0,2353.0,2358.199951171875,1845797,2358.199951171875,2358.199951171875,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,2377.0,2406.10009765625,2357.550048828125,2362.39990234375,1056932,2360.7199218749997,2360.3806950495787,,,,,0,0,1,0,0,0,0,0,0
16,2021-10-12,2365.0,2507.800048828125,2342.64990234375,2492.60009765625,3517011,2423.189478824013,2407.8858426593683,,,,,0,0,0,0,0,0,1,0,0
17,2021-10-13,2539.89990234375,2608.949951171875,2490.0,2537.199951171875,4023645,2470.5476750300477,2444.036416427288,,,,,0,0,0,0,0,0,1,0,0
18,2021-10-14,2575.300048828125,2584.0,2532.35009765625,2564.050048828125,1546459,2506.441951227414,2471.868072789141,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,2620.0,2677.89990234375,2575.5,2588.800048828125,2572741,2536.536714711584,2495.288614973765,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,2638.0,2638.0,2468.75,2484.89990234375,3546129,2518.254424174357,2493.4410362861754,,,,,0,0,0,0,0,0,0,1,10
21,2021-10-20,2487.10009765625,2505.550048828125,2403.0,2411.39990234375,2868983,2481.1900563324,2480.222176766108,,,,,0,0,0,0,0,0,0,0,5
22,2021-10-21,2433.89990234375,2435.949951171875,2380.050048828125,2395.699951171875,2303014,2451.9322930462804,2467.694127421946,,,,,0,0,0,1,0,0,0,0,5
23,2021-10-22,2417.39990234375,2494.949951171875,2398.0,2412.0,3063724,2438.3866261090993,2460.0088798912775,,,,,0,0,0,0,0,0,1,0,5
24,2021-10-25,2405.0,2412.0,2340.0,2379.14990234375,1446182,2418.410102533179,2449.521444887202,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,2390.0,2468.449951171875,2371.0,2454.75,2567357,2430.61748824188,2450.163855266075,,,,,0,0,0,0,0,0,1,0,5
26,2021-10-27,2468.0,2482.35009765625,2452.199951171875,2460.10009765625,2082690,2440.4957816676956,2451.3278842698487,,,,,0,0,0,0,0,0,0,0,5
27,2021-10-28,2470.0,2470.0,2360.0,2375.14990234375,3330380,2418.6389515972387,2442.7721903231713,,,,,0,0,0,0,0,0,0,1,5
28,2021-10-29,2400.0,2404.0,2346.550048828125,2383.550048828125,1450019,2406.9158791830437,2436.3658052852056,51.958592538659154,,,,0,0,0,0,0,0,0,0,5
29,2021-11-01,2441.449951171875,2441.449951171875,2390.35009765625,2406.300048828125,1276469,2406.7102894002,2433.2206801755015,53.711012612492105,,,,0,0,0,0,0,0,0,0,5
30,2021-11-02,2422.800048828125,2464.800048828125,2421.050048828125,2453.949951171875,1546219,2422.4728416719595,2435.324882207645,57.23006988404441,,,,0,0,0,0,0,0,0,0,5
31,2021-11-03,2462.0,2471.64990234375,2406.050048828125,2417.949951171875,1554405,2420.9641906924435,2433.6082696542016,53.896320555733645,,,,0,0,0,0,0,0,0,0,0
32,2021-11-04,2439.0,2444.800048828125,2422.0,2431.75,181506,2424.5610829945313,2433.4291055705758,54.978967662952435,,,,0,0,0,0,0,0,0,0,0
33,2021-11-08,2477.89990234375,2548.699951171875,2448.300048828125,2536.75,3449086,2461.968638186961,2443.173051232817,62.243903452991155,,,,0,0,1,0,1,0,1,0,0
34,2021-11-09,2528.949951171875,2543.800048828125,2491.14990234375,2512.10009765625,1097405,2478.682475563334,2449.5444791517943,59.804083613946254,,,,0,0,0,0,0,0,0,0,10
35,2021-11-10,2505.0,2526.85009765625,2472.199951171875,2484.60009765625,911235,2480.6552799404467,2452.726492845885,57.11435543994527,,,,0,0,0,0,0,0,0,0,10
36,2021-11-11,2484.0,2542.800048828125,2476.300048828125,2528.10009765625,1726010,2496.4716284914343,2459.4558321723034,60.16625304713591,,,,0,0,0,0,1,0,1,0,10
37,2021-11-12,2547.85009765625,2561.75,2523.0,2539.5,1673817,2510.8152710524437,2466.495120967236,60.950530469677844,,,,0,0,0,0,1,0,1,0,10
38,2021-11-15,2551.0,2572.699951171875,2531.699951171875,2539.39990234375,846885,2520.343858835233,2472.818853287979,60.939184995400474,,,,0,0,0,0,1,0,0,0,10
39,2021-11-16,2550.10009765625,2551.35009765625,2520.14990234375,2531.75,1133767,2524.1460062722417,2477.866585746407,60.01967705111252,,,,0,0,0,0,1,0,0,0,5
40,2021-11-17,2522.89990234375,2539.0,2491.10009765625,2499.35009765625,892518,2515.8805579205364,2479.6856841390068,56.15494537525533,,,,0,0,0,0,0,0,0,0,5
41,2021-11-18,2492.0,2520.0,2456.5,2478.199951171875,739912,2503.3202082882935,2479.5612004812047,53.723072349265486,,,,0,0,0,0,0,0,0,0,5
42,2021-11-22,2492.39990234375,2492.39990234375,2353.0,2391.300048828125,1361329,2465.9798630347295,2472.237279081482,45.08401988715672,,,,0,0,0,1,0,0,0,1,5
43,2021-11-23,2380.0,2410.949951171875,2365.050048828125,2387.699951171875,1247942,2439.8864230006748,2465.2842847633074,44.76287360012036,,,,0,0,0,0,0,0,0,1,0
44,2021-11-24,2400.0,2405.25,2365.0,2375.85009765625,614145,2418.5409070066034,2457.988170563573,43.660441676315386,,,,0,0,0,0,0,0,0,0,0
45,2021-11-25,2360.0,2403.199951171875,2355.14990234375,2397.800048828125,662071,2411.627271589215,2453.114559274349,46.29873801061279,,,,0,0,0,0,0,0,0,0,0
46,2021-11-26,2377.800048828125,2385.10009765625,2285.050048828125,2292.300048828125,1289322,2371.851469206751,2440.1821493242674,37.265881369179006,,,,0,0,0,0,0,1,0,1,0
47,2021-11-29,2290.0,2334.39990234375,2231.39990234375,2324.199951171875,1094276,2355.967613499162,2430.9138711722785,41.01329537779553,-25.812517656218006,-0.3105349535615763,-25.50198270265643,0,0,0,0,0,0,1,0,0
48,2021-11-30,2336.39990234375,2390.0,2336.39990234375,2375.5,2675375,2362.478413470808,2426.51137946068,46.543503496444664,-25.901503573598802,-5.428728677569022,-20.47277489602978,0,0,0,0,0,0,1,0,5
49,2021-12-01,2409.800048828125,2441.949951171875,2347.39990234375,2360.199951171875,2177426,2361.7189256901056,2421.271261650606,45.18293168358521,-26.89656477067274,-9.722295896189765,-17.174268874482976,0,0,0,0,0,0,0,1,5
50,2021-12-02,2369.0,2422.5,2360.050048828125,2386.5,1682636,2369.9792863146913,2418.5370684825816,47.99702816277265,-25.271647969889727,-12.832166310929757,-12.43948165895997,0,0,0,0,0,0,0,0,5
51,2021-12-03,2405.0,2405.449951171875,2355.050048828125,2369.25,1062389,2369.7361908269945,2414.6790348404884,46.317506623575554,-25.08663739412077,-15.28306052756796,-9.803576866552811,0,0,0,0,0,0,0,0,5
52,2021-12-06,2361.35009765625,2379.85009765625,2318.39990234375,2325.300048828125,547641,2354.924141484686,2407.7120149056254,42.26003864857517,-28.16177749354938,-17.858803920764245,-10.302973572785135,0,0,0,0,0,0,0,0,5
53,2021-12-07,2336.5,2385.85009765625,2325.35009765625,2380.550048828125,904175,2363.466111371682,2405.6029344779104,48.381736464224986,-25.842735947591336,-19.455590326129663,-6.3871456214616735,0,0,0,0,0,0,0,0,5
54,2021-12-08,2385.0,2418.0,2377.10009765625,2405.550048828125,926476,2377.4940913696023,2405.598842622439,50.91753182120687,-21.737016947794018,-19.911875650462534,-1.8251412973314842,0,0,0,0,0,0,0,0,0
55,2021-12-09,2424.0,2424.0,2355.85009765625,2373.14990234375,1250492,2376.0460283027805,2403.09646325174,47.65038343306284,-20.85719731482277,-20.10093998333458,-0.7562573314881895,0,0,0,0,0,0,0,1,0
56,2021-12-10,2385.39990234375,2385.39990234375,2296.300048828125,2339.35009765625,2288164,2363.814051092831,2398.195422088907,44.446401752390955,-22.626471796086662,-20.606046345884998,-2.020425450201664,0,0,0,0,0,0,0,1,0
57,2021-12-13,2352.60009765625,2386.0,2340.10009765625,2350.5,992852,2359.376033982606,2394.538706129627,45.74246221532554,-22.86535307682243,-21.057907692072483,-1.807445384749947,0,0,0,0,0,0,0,0,0
58,2021-12-14,2342.699951171875,2371.25,2318.75,2354.85009765625,765269,2357.86738852252,2391.5037298332213,46.26914538829401,-22.444920613916565,-21.335310276441298,-1.1096103374752673,0,0,0,0,0,0,0,0,0
59,2021-12-15,2355.10009765625,2368.25,2317.449951171875,2323.14990234375,567271,2346.294893037715,2386.2892246570527,42.99390017728774,-24.388529898803426,-21.945954200913725,-2.4425756978897013,0,0,0,0,0,0,0,0,0
60,2021-12-16,2344.10009765625,2364.800048828125,2325.25,2357.25,998086,2349.946595377806,2384.0788021071517,47.31429563687742,-22.91313303092238,-22.139389966915456,-0.7737430640069256,0,0,0,0,0,0,1,0,0
61,2021-12-17,2336.0,2339.300048828125,2257.10009765625,2280.39990234375,1591893,2326.76436428465,2376.203020146752,39.963431032003186,-27.626569109508637,-23.236825795434093,-4.389743314074543,0,0,0,0,0,1,0,1,5
