,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,3081.199951171875,3112.0,3051.050048828125,3075.300048828125,53696,3075.300048828125,3075.300048828125,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,3085.0,3203.0,3084.050048828125,3167.199951171875,101490,3130.4399902343753,3123.0173058143027,,,,,0,0,1,0,0,0,1,0,0
16,2021-10-12,3166.89990234375,3195.800048828125,3067.39990234375,3113.550048828125,155550,3122.4394916735196,3119.6158122988154,,,,,0,0,0,0,0,0,0,1,0
17,2021-10-13,3128.550048828125,3160.10009765625,3102.60009765625,3127.35009765625,65625,3124.4792818509613,3121.7779804997353,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,3135.0,3180.0,3109.5,3130.39990234375,51346,3126.752126684686,3123.7774397373323,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,3140.0,3140.0,3081.85009765625,3111.75,76368,3121.2701465578007,3121.3684394853626,,,,,0,0,0,1,0,0,0,0,10
20,2021-10-19,3120.0,3145.85009765625,3063.35009765625,3072.949951171875,99484,3104.1621220622496,3112.757462333598,,,,,0,0,0,0,0,0,0,1,10
21,2021-10-20,3095.25,3095.25,2935.60009765625,2982.25,189888,3061.8747610868113,3091.729476395239,,,,,0,0,0,0,0,0,0,1,0
22,2021-10-21,3012.050048828125,3029.10009765625,2951.35009765625,3012.550048828125,117058,3044.9940852154828,3079.9933470088054,,,,,0,0,0,0,0,0,0,0,0
23,2021-10-22,3022.550048828125,3057.35009765625,2953.050048828125,2969.39990234375,72499,3019.3513398218715,3064.732528016508,,,,,0,0,0,0,0,0,0,0,0
24,2021-10-25,2984.949951171875,3149.949951171875,2881.0,3084.0,202556,3041.1529419718454,3067.2315252367107,,,,,0,0,0,0,0,0,1,0,0
25,2021-10-26,3114.0,3114.800048828125,2935.050048828125,2944.25,252759,3008.601072775235,3052.1213071138563,,,,,0,0,0,0,0,0,0,1,5
26,2021-10-27,2928.949951171875,2958.949951171875,2810.0,2821.449951171875,438648,2945.8951681456606,3025.0981993722667,,,,,0,0,0,0,0,0,0,1,5
27,2021-10-28,2821.5,2849.0,2766.0,2783.300048828125,274092,2891.510501048422,2997.941389482825,,,,,0,0,0,0,0,0,0,1,5
28,2021-10-29,2803.35009765625,2890.0,2768.0,2860.39990234375,168887,2881.1165652829277,2983.0627697121936,37.739603474687385,,,,0,0,0,0,0,1,0,0,5
29,2021-11-01,2875.0,2890.0,2848.949951171875,2879.39990234375,74742,2880.54347180343,2972.2187822153264,39.16005014232224,,,,0,0,0,0,0,1,0,0,5
30,2021-11-02,2889.5,2899.0,2824.0,2839.050048828125,242634,2866.6982785049754,2958.7009928313987,37.21809057566038,,,,0,0,0,0,0,1,0,1,0
31,2021-11-03,2831.0,2844.5,2788.449951171875,2804.25,231376,2845.8680911427427,2943.4415070446457,35.579323591881156,,,,0,0,0,0,0,1,0,1,0
32,2021-11-04,2815.0,2828.10009765625,2815.0,2819.35009765625,5187,2837.0247708207758,2931.477299590334,36.878080586968046,,,,0,0,0,0,0,1,0,0,0
33,2021-11-08,2829.35009765625,2913.0,2784.699951171875,2902.75,159535,2858.9397710158223,2928.7680968895934,43.63685994141163,,,,0,0,0,0,0,0,1,0,0
34,2021-11-09,2902.0,2915.0,2834.39990234375,2847.35009765625,134575,2855.075771885779,2921.2420394079513,40.53218438486821,,,,0,0,0,0,0,0,0,0,5
35,2021-11-10,2830.0,2834.699951171875,2762.60009765625,2825.949951171875,518105,2845.365867182643,2912.592335233793,39.36701869542503,,,,0,0,0,0,0,1,0,1,5
36,2021-11-11,2825.949951171875,2898.800048828125,2810.25,2834.60009765625,315774,2841.7769575514794,2905.6292049336516,40.11637294431492,,,,0,0,0,0,0,0,1,0,5
37,2021-11-12,2834.60009765625,2840.0,2751.0,2791.35009765625,754595,2824.9670056882705,2895.579208023391,37.613335036976,,,,0,0,0,0,0,1,0,1,5
