,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,646.1500244140625,667.5499877929688,645.0,661.1500244140625,11045983,661.1500244140625,661.1500244140625,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,648.9500122070312,666.2999877929688,635.0,652.7999877929688,10211466,656.1400024414063,656.8144284761868,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,652.0,662.4000244140625,642.5499877929688,659.0999755859375,9340216,657.5420949835525,657.6356033618489,,,,,0,0,0,0,0,0,0,0,0
17,2021-10-13,665.0,674.7000122070312,656.0,672.5999755859375,9462941,663.7969069260816,661.818987898929,,,,,0,0,1,0,0,0,0,0,0
18,2021-10-14,697.0,739.8499755859375,695.0,708.25,59188803,680.8618383904769,672.58653111447,,,,,0,0,0,0,0,0,1,0,0
19,2021-10-18,719.0,720.7999877929688,702.4000244140625,709.75,10599446,691.4179636101974,680.030077527047,,,,,0,0,0,0,0,0,0,0,10
20,2021-10-19,717.0999755859375,729.9500122070312,708.0,711.5499877929688,10932574,698.5458148142966,685.6357301729577,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,713.5999755859375,722.75,695.75,701.9500122070312,8054391,699.7266204761381,688.2643652492418,,,,,0,0,0,0,0,0,0,0,10
22,2021-10-21,708.9500122070312,709.0,681.7000122070312,696.2999877929688,7958456,698.5539045492552,689.4554209157379,,,,,0,0,0,0,0,0,0,0,10
23,2021-10-22,701.75,705.5,678.25,682.4000244140625,5379151,693.0742522838351,688.4818448664789,,,,,0,0,0,0,0,0,0,0,5
24,2021-10-25,682.75,684.2000122070312,660.7999877929688,667.7000122070312,8810958,684.5172445208257,685.7864345868545,,,,,0,0,0,1,0,0,0,0,0
25,2021-10-26,671.0499877929688,678.7999877929688,665.0,668.1500244140625,6096983,679.0191286000286,683.6195237105901,,,,,0,0,0,0,0,0,0,0,0
26,2021-10-27,668.1500244140625,674.5499877929688,663.4500122070312,671.0999755859375,6315589,676.3657773970311,682.1528609059825,,,,,0,0,0,0,0,0,0,0,0
27,2021-10-28,671.0,671.5999755859375,655.0,656.9000244140625,5178771,669.8548901070603,679.3166668398288,,,,,0,0,0,0,0,0,0,0,0
28,2021-10-29,658.25,659.4000244140625,644.25,646.75,6761317,662.1356319236579,675.7937512222546,44.80892953011274,,,,0,0,0,0,0,0,0,0,0
29,2021-11-01,651.0999755859375,656.9500122070312,647.5,655.4500122070312,4401233,659.903694029176,673.6656290014355,48.30120623812487,,,,0,0,0,0,0,0,0,0,0
30,2021-11-02,657.0,661.0,651.0999755859375,653.7999877929688,4039689,657.8670581814281,671.6490929347303,47.68492895221974,,,,0,0,0,0,0,0,0,0,0
31,2021-11-03,659.4000244140625,661.8499755859375,650.2000122070312,652.5,3435591,656.0768274468172,669.7571963136079,47.17423974237078,,,,0,0,0,0,0,0,0,0,0
32,2021-11-04,655.0,657.6500244140625,647.4000244140625,653.7000122070312,782905,655.284198150703,668.2090514200169,47.730724274505576,,,,0,0,0,0,0,0,0,0,0
33,2021-11-08,652.9500122070312,661.0,647.5,658.3499755859375,4752230,656.3064313772761,667.2792656323725,49.931716924739284,,,,0,0,0,0,0,0,1,0,0
34,2021-11-09,663.0999755859375,666.25,656.7000122070312,658.4500122070312,4142065,657.0211016017404,666.4631135600442,49.980515314140675,,,,0,0,0,0,0,0,1,0,5
35,2021-11-10,655.9000244140625,659.0,651.5499877929688,652.5999755859375,4045695,655.5471959317275,665.2047505141585,47.09012253430201,,,,0,0,0,0,0,0,0,1,5
36,2021-11-11,649.75,649.75,636.7999877929688,641.7999877929688,6033898,650.9643848683993,663.1151783011609,42.23421985881517,,,,0,0,0,0,0,0,0,1,5
37,2021-11-12,648.0,662.5,645.7999877929688,660.0499877929688,6063253,653.9930990918818,662.8456176100547,51.36155721604033,,,,0,0,0,0,0,0,1,0,5
38,2021-11-15,661.5499877929688,666.0,657.1500244140625,658.9000244140625,4717998,655.6288056434024,662.5033783940951,50.81669623077295,,,,0,0,0,0,0,0,0,0,5
39,2021-11-16,658.4000244140625,668.75,654.6500244140625,661.4500122070312,5663547,657.569259062002,662.4131525799083,52.03187192473894,,,,0,0,0,0,0,0,1,0,5
40,2021-11-17,661.4500122070312,668.0,658.0,661.7999877929688,4427497,658.9795267943701,662.361233364698,52.20640406520243,,,,0,0,0,0,0,0,0,0,5
41,2021-11-18,663.4000244140625,665.9500122070312,645.25,651.4500122070312,3921249,656.4696591478943,661.4470255286723,46.78495793364623,,,,0,0,0,0,0,0,0,0,5
