,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,rsi_buy,rsi_sell,volume_buy,volume_sell,totalScore
14,2021-10-08,13.300000190734865,13.5,13.149999618530273,13.199999809265135,82980014,13.199999809265135,13.199999809265135,,,,,0,0,0,0,0,0,0,0,0
15,2021-10-11,13.300000190734865,13.350000381469727,13.050000190734865,13.050000190734865,58760797,13.110000038146973,13.12211539195134,,,,,0,0,0,1,0,0,0,0,0
16,2021-10-12,13.100000381469727,13.350000381469727,13.0,13.199999809265135,107152589,13.152631508676627,13.150098506895526,,,,,0,0,1,0,0,0,1,0,0
17,2021-10-13,13.300000190734865,13.350000381469727,13.199999809265135,13.25,76105307,13.193076881995568,13.178026598714288,,,,,0,0,0,0,0,0,0,0,0
18,2021-10-14,13.25,13.449999809265135,13.199999809265135,13.199999809265135,82128218,13.195734498625118,13.183122276871712,,,,,0,0,0,0,0,0,0,0,0
19,2021-10-18,13.449999809265135,14.350000381469727,13.350000381469727,13.949999809265135,327306508,13.471353251234929,13.336721730214336,,,,,0,0,0,0,0,0,1,0,10
20,2021-10-19,14.100000381469727,14.25,13.5,13.600000381469727,146859092,13.516901458102907,13.383544473539756,,,,,0,0,0,0,0,0,0,0,10
21,2021-10-20,13.600000381469727,13.75,13.300000190734865,13.5,100540663,13.51103889047863,13.402308344425473,,,,,0,0,0,0,0,0,0,0,10
22,2021-10-21,13.600000381469727,14.449999809265135,13.5,14.300000190734865,248334945,13.781049588458975,13.535365983021101,,,,,0,0,0,0,0,0,1,0,5
23,2021-10-22,14.550000190734865,14.649999618530273,13.399999618530273,13.75,332024855,13.770517075755174,13.564983388398291,,,,,0,0,0,0,0,0,0,1,5
24,2021-10-25,14.0,14.100000381469727,13.199999809265135,13.350000381469727,156375061,13.628705356208739,13.537100024292942,,,,,0,0,0,0,0,0,0,0,5
25,2021-10-26,13.350000381469727,13.649999618530273,13.25,13.449999809265135,103292300,13.568674159317865,13.526398390489943,,,,,0,0,0,0,0,0,0,0,5
26,2021-10-27,13.5,13.600000381469727,13.0,13.050000190734865,148970323,13.394889892736026,13.470588427318274,,,,,0,0,0,1,0,0,0,0,5
27,2021-10-28,13.100000381469727,13.100000381469727,12.649999618530273,12.75,122032074,13.1791877100504,13.389657771375802,,,,,0,0,0,0,0,0,0,0,5
28,2021-10-29,12.949999809265135,13.050000190734865,12.550000190734865,12.800000190734865,105143336,13.05250256469989,13.325871265066214,45.238098481886354,,,,0,0,0,0,0,0,0,0,0
29,2021-11-01,12.850000381469727,13.25,12.699999809265135,13.050000190734865,95919811,13.05166716820481,13.297012884464374,48.537009056625486,,,,0,0,0,0,0,0,0,0,0
30,2021-11-02,13.050000190734865,13.25,13.0,13.050000190734865,60470098,13.051110944503783,13.271938938921291,48.537009056625486,,,,0,0,0,0,0,0,0,0,0
31,2021-11-03,13.100000381469727,13.149999618530273,12.949999809265135,13.0,50990867,13.034062427302631,13.245071851198107,47.868142293802904,,,,0,0,0,0,0,0,0,0,0
32,2021-11-04,13.050000190734865,13.25,13.0,13.149999618530273,25871499,13.072725598397287,13.235905512284008,50.09020136215837,,,,0,0,0,0,0,0,0,0,0
33,2021-11-08,13.199999809265135,13.449999809265135,13.050000190734865,13.100000381469727,68845607,13.081819927680225,13.223088625465643,49.33533788802048,,,,0,0,0,0,0,0,0,1,0
34,2021-11-09,13.149999618530273,13.25,13.050000190734865,13.100000381469727,40719001,13.08788129416114,13.211710684367228,49.33533788802048,,,,0,0,0,0,0,0,0,0,0
35,2021-11-10,13.100000381469727,13.149999618530273,13.0,13.0,42806649,13.058583613595331,13.19249361373542,47.66901389412061,,,,0,0,0,0,0,0,0,0,0
36,2021-11-11,13.25,13.600000381469727,13.199999809265135,13.25,122452763,13.122394761609044,13.197627771609177,52.03100702755942,,,,0,0,0,0,0,0,1,0,0
37,2021-11-12,13.300000190734865,13.399999618530273,13.050000190734865,13.149999618530273,43718885,13.131596927220798,13.19343923004031,50.227515578572756,,,,0,0,0,0,0,0,0,0,5
38,2021-11-15,13.199999809265135,13.25,13.0,13.050000190734865,48088769,13.104396937881361,13.180997383678715,48.42009976558322,,,,0,0,0,0,0,0,0,0,5
39,2021-11-16,13.100000381469727,13.199999809265135,13.0,13.050000190734865,58369877,13.086264210102792,13.169776852267423,48.420099765583224,,,,0,0,0,0,0,0,0,0,5
40,2021-11-17,13.0,13.149999618530273,12.949999809265135,13.0,33082573,13.057508967282393,13.155401139378563,47.43037050380587,,,,0,0,0,0,0,0,0,0,5
41,2021-11-18,13.050000190734865,13.050000190734865,12.800000190734865,12.850000381469727,59537598,12.988338627035898,13.129812824196051,44.4921949624709,,,,0,0,0,0,0,0,0,1,5
42,2021-11-22,12.850000381469727,12.899999618530273,12.5,12.550000190734865,84612273,12.842224671938308,13.08169989937577,39.25464333030517,,,,0,0,0,0,0,1,0,1,0
43,2021-11-23,12.550000190734865,12.699999809265135,12.449999809265135,12.550000190734865,69774910,12.744816003541695,13.037968861920833,39.25464333030517,,,,0,0,0,0,0,1,0,0,0
44,2021-11-24,12.600000381469727,12.949999809265135,12.449999809265135,12.600000381469727,61441021,12.696543961688848,13.002239034741544,40.60611125807457,,,,0,0,0,0,0,0,0,0,0
45,2021-11-25,12.600000381469727,12.800000190734865,12.550000190734865,12.75,49158856,12.714362682426486,12.981814489634411,44.58894564619502,,,,0,0,0,0,0,0,0,0,0
46,2021-11-26,12.649999618530273,12.699999809265135,12.399999618530273,12.449999809265135,74233939,12.626241588540145,12.939046921925978,38.961602959651096,,,,0,0,0,0,0,1,0,1,0
47,2021-11-29,12.350000381469727,12.449999809265135,12.149999618530273,12.149999618530273,68776074,12.467494101671031,12.875993194720886,34.29981400681746,-0.2624284156296035,-0.20930712833801776,-0.053121287291585745,0,0,0,0,0,1,0,1,0
48,2021-11-30,12.149999618530273,12.949999809265135,12.100000381469727,12.399999618530273,187690847,12.444995925173233,12.838176710695825,40.67054559580518,-0.26494652593812873,-0.22043500785803996,-0.04451151808008877,0,0,0,0,0,0,1,0,0
49,2021-12-01,12.25,12.699999809265135,12.149999618530273,12.449999809265135,111430763,12.446663887300861,12.807501867050664,41.884304651083845,-0.259911451552135,-0.22833029659685897,-0.03158115495527605,0,0,0,0,0,0,1,0,5
50,2021-12-02,12.600000381469727,12.699999809265135,12.5,12.600000381469727,42857712,12.497776067624649,12.79118525622615,45.48731601569319,-0.24103878122710576,-0.23087199352290833,-0.010166787704197433,0,0,0,0,0,0,0,0,5
51,2021-12-03,12.649999618530273,12.699999809265135,12.5,12.550000190734865,59708926,12.515184112203663,12.772306062853861,44.4970166154102,-0.22749423956409842,-0.23019644273114634,0.0027022031670479174,1,0,0,0,0,0,0,0,5
52,2021-12-06,12.600000381469727,12.899999618530273,12.5,12.600000381469727,82373982,12.543456205794314,12.758874973840083,45.76850519194958,-0.21030127302233304,-0.22621740878938368,0.015916135767050643,0,0,0,0,0,0,1,0,10
