,Entry_Date,Exit_Date,Entry,Exit,profit
50,2014-09-01,2014-10-21,1063.3544921875,1012.154052734375,-512.00439453125
51,2014-12-08,2015-01-02,1354.2203369140625,1270.6959228515625,-835.244140625
52,2015-02-02,2015-03-02,1503.438720703125,1445.763427734375,-576.7529296875
53,2015-04-24,2015-04-29,1354.9676513671875,1383.8050537109375,288.3740234375
54,2015-05-14,2015-06-26,1436.5494384765625,1494.772216796875,582.227783203125
55,2015-07-09,2015-08-26,1703.80908203125,1709.0439453125,52.3486328125
56,2015-10-27,2015-12-17,1979.1107177734373,1950.44384765625,-286.6687011718727
57,2016-01-07,2016-01-27,1921.477783203125,1887.07763671875,-344.00146484375
58,2016-04-07,2016-05-24,1760.60400390625,1759.0068359375,-15.9716796875
59,2016-06-21,2016-08-22,2009.345458984375,2712.998291015625,7036.5283203125
60,2016-09-08,2016-10-13,3123.64111328125,3111.86279296875,-117.783203125
61,2016-10-25,2016-11-16,3242.6220703125,2919.068115234375,-3235.53955078125
62,2017-01-12,2017-05-26,3013.045166015625,3999.975341796875,9869.3017578125
63,2017-06-29,2017-07-04,4091.20751953125,4125.0947265625,338.8720703125
64,2017-07-19,2017-08-23,4558.02294921875,5343.705078125,7856.8212890625
65,2017-09-01,2017-09-25,5487.50146484375,5103.34765625,-3841.5380859375
66,2017-12-01,2017-12-13,5091.6142578125,5048.974609375,-426.396484375
67,2017-12-27,2018-01-10,5318.7412109375,5192.17138671875,-1265.6982421875
68,2018-03-05,2018-05-08,5030.3017578125,5333.12109375,3028.193359375
69,2018-05-23,2018-07-04,5781.8330078125,6024.28857421875,2424.5556640625
70,2018-07-17,2018-08-31,6338.8828125,6740.17919921875,4012.9638671875
71,2018-11-22,2019-01-15,5716.58642578125,6502.34814453125,7857.6171875
72,2019-03-05,2019-05-08,6536.359375,7337.4541015625,8010.947265625
73,2019-05-23,2019-07-15,8004.24951171875,7708.25439453125,-2959.951171875
74,2019-09-17,2019-12-05,7144.7568359375,8958.2998046875,18135.4296875
75,2019-12-23,2020-03-05,9296.5771484375,8877.748046875,-4188.291015625
76,2020-06-08,2020-07-29,5439.63134765625,6327.06591796875,8874.345703125
77,2020-09-01,2020-09-11,6358.05859375,6126.9140625,-2311.4453125
78,2020-11-13,2021-01-01,7259.33984375,8868.2998046875,16089.599609375
79,2021-02-04,2021-03-15,9698.1982421875,9686.701171875,-114.970703125
